<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIVF.US,D,20240405,000000,1.42,1.44,0.97,1,2440622,0
NIVF.US,D,20240408,000000,1.05,1.05,0.839713,0.92,926004,0
NIVF.US,D,20240409,000000,0.9,1.05,0.821,0.9799,520491,0
NIVF.US,D,20240410,000000,0.98,1.08,0.9012,1.01,329858,0
NIVF.US,D,20240411,000000,0.9797,0.981924,0.86,0.9056,237585,0
NIVF.US,D,20240412,000000,0.9,0.9135,0.8322,0.861097,270508,0
NIVF.US,D,20240415,000000,0.85,0.8739,0.801,0.82,190347,0
NIVF.US,D,20240416,000000,0.79,0.79,0.6797,0.6918,283702,0
NIVF.US,D,20240417,000000,0.691,0.78,0.635,0.760199,335612,0
NIVF.US,D,20240418,000000,0.77,0.85,0.69,0.763,349920,0
NIVF.US,D,20240419,000000,0.752501,0.79,0.72,0.7471,80456,0
NIVF.US,D,20240422,000000,1.12,1.89,1.09,1.28,80497648,0
NIVF.US,D,20240423,000000,1.45,2.95,1.39,2.23,137078499,0
NIVF.US,D,20240424,000000,2.04,2.1,1.53,1.55,5420596,0
NIVF.US,D,20240425,000000,1.52,1.87,1.3,1.3,3472648,0
NIVF.US,D,20240426,000000,1.56,2.39,1.45,1.78,57782845,0
NIVF.US,D,20240429,000000,2,2.23,1.86,2.04,9097012,0
NIVF.US,D,20240430,000000,1.92,1.95,1.52,1.75,1929665,0
NIVF.US,D,20240501,000000,1.67,1.67,1.53,1.6,732366,0
NIVF.US,D,20240502,000000,1.55,1.57,1.09,1.27,1017971,0
NIVF.US,D,20240503,000000,1.26,1.33,1.12,1.21,703291,0
NIVF.US,D,20240506,000000,1.12,1.24,1.12,1.13,380291,0
NIVF.US,D,20240507,000000,1.13,1.17,1.08,1.085,341928,0
NIVF.US,D,20240508,000000,1.21,1.95,1.16,1.51,26386380,0
NIVF.US,D,20240509,000000,1.45,1.67,1.4,1.43,1348967,0
NIVF.US,D,20240510,000000,1.32,1.34,1.18,1.28,595405,0
NIVF.US,D,20240513,000000,1.21,1.43,1.21,1.29,704417,0
NIVF.US,D,20240514,000000,1.19,1.3081,1.1,1.24,497725,0
NIVF.US,D,20240515,000000,1.24,1.28,1.1601,1.27,240824,0
NIVF.US,D,20240516,000000,1.22,1.3,1.22,1.22,231731,0
NIVF.US,D,20240517,000000,1.23,1.2615,1.12,1.1299,274686,0
NIVF.US,D,20240520,000000,1.14,1.35,1.12,1.3199,435590,0
NIVF.US,D,20240521,000000,1.36,1.44,1.2058,1.21,184770,0
NIVF.US,D,20240522,000000,1.2102,1.2994,1.1469,1.16,184201,0
NIVF.US,D,20240523,000000,1.17,1.2,1.085,1.14,261682,0
NIVF.US,D,20240524,000000,1.14,1.18,1.04,1.06,237613,0
NIVF.US,D,20240528,000000,1.08,1.2498,1.08,1.15,283331,0
NIVF.US,D,20240529,000000,1.11,1.25,1.09,1.18,151932,0
NIVF.US,D,20240530,000000,1.19,1.25,1.1502,1.23,192705,0
NIVF.US,D,20240531,000000,1.2,1.39,1.2,1.37,260834,0
NIVF.US,D,20240603,000000,1.37,1.57,1.36,1.38,1966700,0
NIVF.US,D,20240604,000000,1.28,1.29,1.1,1.14,565176,0
NIVF.US,D,20240605,000000,1.1,1.14,1.1,1.12,210265,0
NIVF.US,D,20240606,000000,1.12,1.25,1.1014,1.19,240372,0
NIVF.US,D,20240607,000000,1.11,1.15,1.11,1.15,114611,0
NIVF.US,D,20240610,000000,1.19,1.1999,1.09,1.17,125235,0
NIVF.US,D,20240611,000000,1.16,1.1649,1.12,1.145,69355,0
NIVF.US,D,20240612,000000,1.13,1.17,1.12,1.135,32363,0
NIVF.US,D,20240613,000000,1.15,1.17,1,1.06,124475,0
NIVF.US,D,20240614,000000,1.09,1.09,1.03,1.04,121131,0
NIVF.US,D,20240617,000000,1.09,1.09,0.95,0.982,124666,0
NIVF.US,D,20240618,000000,0.97,0.9928,0.9049,0.93,231954,0
NIVF.US,D,20240620,000000,0.91,0.942,0.8352,0.844,235582,0
NIVF.US,D,20240621,000000,0.9302,1.24,0.903,1.05,3554055,0
NIVF.US,D,20240624,000000,0.98,1.08,0.9,1.03,464713,0
NIVF.US,D,20240625,000000,1.02,1.09,0.9902,1.08,342332,0
NIVF.US,D,20240626,000000,1.03,1.08,1.01,1.015,171053,0
NIVF.US,D,20240627,000000,1.01,1.03,0.97,1.02,69887,0
NIVF.US,D,20240628,000000,1.0102,1.02,0.9702,0.9801,39029,0
NIVF.US,D,20240701,000000,0.98,1,0.95,0.97,54057,0
NIVF.US,D,20240702,000000,0.9525,0.998,0.9,0.9108,136180,0
NIVF.US,D,20240703,000000,0.95,0.99,0.9311,0.963,112615,0
NIVF.US,D,20240705,000000,0.96,0.98,0.96,0.966,69711,0
NIVF.US,D,20240708,000000,0.99,1.06,0.97,1.0001,144392,0
NIVF.US,D,20240709,000000,1.01,1.25,1,1.11,497143,0
NIVF.US,D,20240710,000000,1.15,1.1599,1.07,1.12,104555,0
NIVF.US,D,20240711,000000,1.09,1.11,1.01,1.06,127444,0
NIVF.US,D,20240712,000000,1.06,1.0846,0.98,1.02,81162,0
NIVF.US,D,20240715,000000,1.012,1.02,0.96,0.97,43807,0
NIVF.US,D,20240716,000000,0.99465,0.99465,0.9501,0.9654,53738,0
NIVF.US,D,20240717,000000,0.95,0.98,0.93,0.9416,92124,0
NIVF.US,D,20240718,000000,0.95,0.974,0.92,0.940101,67941,0
NIVF.US,D,20240719,000000,0.94414,0.96,0.92,0.920101,22286,0
NIVF.US,D,20240722,000000,0.92,0.94,0.89,0.9042,31061,0
NIVF.US,D,20240723,000000,0.89,0.93,0.8503,0.8709,5051055,0
NIVF.US,D,20240724,000000,0.96,1.27,0.83,1,10348966,0
NIVF.US,D,20240725,000000,0.88,0.9993,0.875,0.97792,591754,0
NIVF.US,D,20240726,000000,0.9324,1.06,0.932,1.03,357079,0
NIVF.US,D,20240729,000000,0.998,1.03,0.96,0.99,149665,0
NIVF.US,D,20240730,000000,0.9501,0.9976,0.89,0.9104,120943,0
NIVF.US,D,20240731,000000,0.8831,0.95,0.88,0.928,64296,0
NIVF.US,D,20240801,000000,0.9,0.9389,0.882,0.914,40439,0
NIVF.US,D,20240802,000000,0.85,0.9,0.85,0.8719,40011,0
NIVF.US,D,20240805,000000,0.805,0.875,0.805,0.84,97613,0
NIVF.US,D,20240806,000000,0.84,0.9086,0.8015,0.852,27075,0
NIVF.US,D,20240807,000000,0.852,0.8946,0.8091,0.83,20482,0
NIVF.US,D,20240808,000000,0.849,0.849,0.8005,0.83,33461,0
NIVF.US,D,20240809,000000,0.8188,0.85,0.81,0.84,26191,0
NIVF.US,D,20240812,000000,0.852,0.852,0.815101,0.84,31890,0
NIVF.US,D,20240813,000000,0.86,0.91,0.83,0.88275,16840,0
NIVF.US,D,20240814,000000,0.832,0.868,0.832,0.837804,13221,0
NIVF.US,D,20240815,000000,0.922,0.922,0.8419,0.8521,46979,0
NIVF.US,D,20240816,000000,0.85,0.8799,0.83,0.8524,40726,0
NIVF.US,D,20240819,000000,0.9,0.9,0.842,0.868,60209,0
NIVF.US,D,20240820,000000,0.8657,0.8657,0.8212,0.831,123214,0
NIVF.US,D,20240821,000000,0.832,0.867199,0.832,0.85468,27674,0
NIVF.US,D,20240822,000000,0.85,0.93,0.8414,0.93,76649,0
NIVF.US,D,20240823,000000,0.95,1.23,0.9,1.134,537454,0
NIVF.US,D,20240826,000000,1.16,1.18,0.9501,0.967,178076,0
NIVF.US,D,20240827,000000,0.956101,0.99,0.86,0.9498,110318,0
NIVF.US,D,20240828,000000,0.93,0.95,0.83,0.9035,137790,0
NIVF.US,D,20240829,000000,0.9124,0.92,0.8617,0.8798,54397,0
NIVF.US,D,20240830,000000,0.939,0.94,0.8601,0.8602,48169,0
NIVF.US,D,20240903,000000,0.87,0.88,0.8357,0.836,24898,0
NIVF.US,D,20240904,000000,0.83,0.85,0.675,0.74,260894,0
NIVF.US,D,20240905,000000,0.7187,0.7898,0.6916,0.7052,60224,0
NIVF.US,D,20240906,000000,0.7,0.736,0.656,0.681,37465,0
NIVF.US,D,20240909,000000,0.74,0.74,0.65,0.70005,67530,0
NIVF.US,D,20240910,000000,0.702,0.713,0.67,0.675,34523,0
NIVF.US,D,20240911,000000,0.665,0.7001,0.66,0.7,44099,0
NIVF.US,D,20240912,000000,0.7245,0.73,0.6826,0.7003,16906,0
NIVF.US,D,20240913,000000,0.700001,0.71,0.6765,0.6986,23188,0
NIVF.US,D,20240916,000000,0.6803,0.717,0.66,0.6974,21004,0
NIVF.US,D,20240917,000000,0.68,0.714,0.67,0.67,12225,0
NIVF.US,D,20240918,000000,0.67,0.709,0.6603,0.683,23039,0
