<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIXT.US,D,20240912,000000,25.22,25.23,24.7995,25.1516,54782,0
NIXT.US,D,20240913,000000,25.57,25.7265,25.46,25.72,110100,0
NIXT.US,D,20240916,000000,26.38,26.38,25.61,25.81,123387,0
NIXT.US,D,20240917,000000,25.85,26.16,25.85,25.96,87763,0
NIXT.US,D,20240918,000000,26.04,26.4999,25.91,26.03,115055,0
NIXT.US,D,20240919,000000,26.19,26.61,26.19,26.35,116428,0
NIXT.US,D,20240920,000000,26.49,26.49,26,26.0938,111042,0
NIXT.US,D,20240923,000000,26.58,26.58,26.035,26.18,57147,0
NIXT.US,D,20240924,000000,26.25,26.4,26.23,26.31,74160,0
NIXT.US,D,20240925,000000,26.4,26.4,25.88,25.898,53486,0
NIXT.US,D,20240926,000000,26.3,26.3,26.1554,26.25,28493,0
NIXT.US,D,20240927,000000,26.56,26.66,26.4,26.49,44915,0
NIXT.US,D,20240930,000000,26.65,26.65,26.23,26.4219,30823,0
NIXT.US,D,20241001,000000,26.25,26.25,25.8,25.9644,23660,0
NIXT.US,D,20241002,000000,25.79,26.01,25.7855,25.93,47634,0
NIXT.US,D,20241003,000000,25.62,25.74,25.59,25.708,24457,0
NIXT.US,D,20241004,000000,25.8,26.11,25.8,26.0375,32656,0
NIXT.US,D,20241007,000000,26.04,26.04,25.533,25.6488,22618,0
NIXT.US,D,20241008,000000,25.5804,25.731,25.55,25.6819,26662,0
NIXT.US,D,20241009,000000,25.76,25.83,25.68,25.77,26613,0
NIXT.US,D,20241010,000000,25.52,25.6897,25.52,25.6675,24650,0
NIXT.US,D,20241011,000000,25.77,26.02,25.77,26.0177,7349,0
NIXT.US,D,20241014,000000,26.16,26.22,25.8835,26.22,20568,0
NIXT.US,D,20241015,000000,26.29,26.58,26.29,26.3146,23504,0
NIXT.US,D,20241016,000000,26.5,26.64,26.4,26.6203,40852,0
NIXT.US,D,20241017,000000,26.82,26.82,26.45,26.5764,38540,0
NIXT.US,D,20241018,000000,26.79,26.82,26.69,26.7728,25882,0
NIXT.US,D,20241021,000000,26.81,26.81,26.24,26.32,25088,0
NIXT.US,D,20241022,000000,26.25,26.25,26.08,26.1461,27020,0
NIXT.US,D,20241023,000000,26.03,26.12,25.87,25.9444,23833,0
NIXT.US,D,20241024,000000,25.82,26.03,25.82,25.93,63488,0
NIXT.US,D,20241025,000000,26.06,26.09,25.85,25.85,27458,0
NIXT.US,D,20241028,000000,26.085,26.295,26.085,26.19,56320,0
NIXT.US,D,20241029,000000,26.14,26.14,26.0035,26.09,24348,0
