<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIXXW.US,D,20241007,000000,0.01,0.01,0.01,0.01,100,0
NIXXW.US,D,20241009,000000,0.0055,0.0092,0.0055,0.0092,5209,0
NIXXW.US,D,20241014,000000,0.0057,0.0057,0.0057,0.0057,750,0
NIXXW.US,D,20241016,000000,0.0056,0.0056,0.0056,0.0056,6000,0
NIXXW.US,D,20241017,000000,0.0151,0.04,0.0151,0.0219,518390,0
NIXXW.US,D,20241018,000000,0.0107,0.019,0.0106,0.012,65723,0
NIXXW.US,D,20241021,000000,0.01385,0.019,0.013,0.0131,74325,0
NIXXW.US,D,20241022,000000,0.0131,0.0157,0.0115,0.0115,11051,0
NIXXW.US,D,20241024,000000,0.013,0.0131,0.0115,0.0131,5755,0
NIXXW.US,D,20241025,000000,0.013,0.013,0.0125,0.0126,13998,0
NIXXW.US,D,20241028,000000,0.0126,0.0126,0.0126,0.0126,3000,0
NIXXW.US,D,20241029,000000,0.0126,0.013,0.0126,0.013,335,0
