<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NNAGU.US,D,20230821,000000,10.16,10.22,10.16,10.2,247641,0
NNAGU.US,D,20230822,000000,10.21,10.21,10.2,10.2,32162,0
NNAGU.US,D,20230823,000000,10.21,10.2299,10.2008,10.22,102367,0
NNAGU.US,D,20230824,000000,10.21,10.23,10.21,10.2181,7720,0
NNAGU.US,D,20230825,000000,10.22,10.22,10.21,10.21,2357,0
NNAGU.US,D,20230828,000000,10.23,10.23,10.2,10.21,59103,0
NNAGU.US,D,20230829,000000,10.22,10.28,10.2,10.24,106688,0
NNAGU.US,D,20230830,000000,10.23,10.23,10.225,10.225,21304,0
NNAGU.US,D,20230831,000000,10.19,10.2318,10.19,10.2301,5997,0
NNAGU.US,D,20230905,000000,10.24,10.24,10.24,10.24,10283,0
NNAGU.US,D,20230906,000000,10.24,10.25,10.21,10.25,21507,0
NNAGU.US,D,20230908,000000,10.25,10.25,10.22,10.25,50802,0
NNAGU.US,D,20230911,000000,10.25,10.265,10.25,10.265,4093,0
NNAGU.US,D,20230912,000000,10.25,10.26,10.25,10.26,10461,0
NNAGU.US,D,20230913,000000,10.26,10.27,10.25,10.27,37313,0
NNAGU.US,D,20230914,000000,10.25,10.27,10.25,10.27,1195,0
NNAGU.US,D,20230915,000000,10.27,10.42,10.27,10.33,70302,0
NNAGU.US,D,20230918,000000,10.3297,10.39,10.3085,10.34,8905,0
NNAGU.US,D,20230919,000000,10.34,10.34,10.26,10.31,40023,0
NNAGU.US,D,20230921,000000,10.3308,10.34,10.31,10.3103,627,0
NNAGU.US,D,20230922,000000,10.34,10.35,10.34,10.35,8502,0
NNAGU.US,D,20230925,000000,10.35,10.35,10.35,10.35,4005,0
NNAGU.US,D,20230926,000000,10.36,10.37,10.36,10.37,15623,0
NNAGU.US,D,20230927,000000,10.37,10.38,10.36,10.36,103998,0
NNAGU.US,D,20230929,000000,10.36,10.36,10.3,10.36,165631,0
NNAGU.US,D,20231002,000000,10.37,10.37,10.3446,10.37,2816,0
NNAGU.US,D,20231003,000000,10.38,10.4101,10.37,10.41,59842,0
NNAGU.US,D,20231004,000000,10.31,10.41,10.3,10.41,3555,0
NNAGU.US,D,20231009,000000,10.3934,10.4394,10.39,10.4394,905,0
NNAGU.US,D,20231010,000000,10.4,10.5,10.37,10.39,273759,0
NNAGU.US,D,20231011,000000,10.5878,10.5994,10.37,10.42,5801,0
NNAGU.US,D,20231012,000000,10.79,10.79,10.39,10.49,2316,0
NNAGU.US,D,20231016,000000,10.4105,10.4105,10.4105,10.4105,133,0
NNAGU.US,D,20231017,000000,10.37,10.79,10.35,10.39,3458,0
NNAGU.US,D,20231019,000000,10.3301,10.3301,10.3301,10.3301,130,0
NNAGU.US,D,20231024,000000,10.29,10.29,10.29,10.29,2351,0
NNAGU.US,D,20231025,000000,10.32,10.32,10.3,10.3,200,0
NNAGU.US,D,20231030,000000,10.38,10.38,10.38,10.38,1027,0
NNAGU.US,D,20231031,000000,10.38,10.38,10.29,10.3,9475,0
NNAGU.US,D,20231101,000000,10.35,10.35,10.35,10.35,246,0
NNAGU.US,D,20231109,000000,10.28,10.28,10.28,10.28,300,0
NNAGU.US,D,20231110,000000,10.28,10.2801,10.28,10.2801,1968,0
NNAGU.US,D,20231117,000000,10.28,10.2801,10.28,10.2801,399,0
NNAGU.US,D,20231121,000000,10.28,10.28,10.25,10.28,8261,0
NNAGU.US,D,20231127,000000,10.28,10.28,10.28,10.28,1000,0
NNAGU.US,D,20231205,000000,10.29,10.29,10.29,10.29,132,0
NNAGU.US,D,20231206,000000,10.29,10.29,10.29,10.29,10894,0
NNAGU.US,D,20231212,000000,10.32,10.32,10.32,10.32,567,0
