<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NNE.US,D,20240508,000000,3.6,6.27,3.51,5.19,5722800,0
NNE.US,D,20240509,000000,5,5.44,4.09,5.05,997288,0
NNE.US,D,20240510,000000,4.99,5.0899,4.45,4.51,587438,0
NNE.US,D,20240513,000000,4.78,4.78,4,4.13,619927,0
NNE.US,D,20240514,000000,4.02,4.25,3.25,3.26,1087486,0
NNE.US,D,20240515,000000,3.58,4.2,3.45,4.12,824081,0
NNE.US,D,20240516,000000,4.2,4.2795,3.78,4.08,366025,0
NNE.US,D,20240517,000000,4.1,4.565,3.8001,3.92,385075,0
NNE.US,D,20240520,000000,4.02,4.18,3.83,3.83,278441,0
NNE.US,D,20240521,000000,3.91,3.99,3.85,3.86,67762,0
NNE.US,D,20240522,000000,3.97,4,3.8599,3.93,124651,0
NNE.US,D,20240523,000000,3.91,4.15,3.81,3.98,196852,0
NNE.US,D,20240524,000000,3.97,4.49,3.95,4.4,389232,0
NNE.US,D,20240528,000000,4.98,5.96,4.58,5.49,4410254,0
NNE.US,D,20240529,000000,5.31,7.2357,5.0208,6.91,2557122,0
NNE.US,D,20240530,000000,6.88,9.49,6.75,8.75,2651718,0
NNE.US,D,20240531,000000,9.24,10.71,6.57,7.47,2236052,0
NNE.US,D,20240603,000000,7.4,7.7499,6.08,6.4,854125,0
NNE.US,D,20240604,000000,6.19,7,6.15,6.7,469169,0
NNE.US,D,20240605,000000,6.99,8.1,6.74,7.77,656074,0
NNE.US,D,20240606,000000,8.15,8.69,7.52,7.65,561777,0
NNE.US,D,20240607,000000,7.6,7.65,6.6,6.75,344032,0
NNE.US,D,20240610,000000,6.96,7.47,6.6105,7.39,247274,0
NNE.US,D,20240611,000000,7.46,7.9,7.0102,7.49,389260,0
NNE.US,D,20240612,000000,7.74,7.8582,7.05,7.1,284561,0
NNE.US,D,20240613,000000,7.21,7.41,6.68,7.07,219867,0
NNE.US,D,20240614,000000,7.11,9.5,7.11,9.37,1773994,0
NNE.US,D,20240617,000000,10.02,10.38,8.25,9.41,1593483,0
NNE.US,D,20240618,000000,9.6,11.75,9.41,11.6,1704904,0
NNE.US,D,20240620,000000,13.12,16.5,11.55,15.22,4240154,0
NNE.US,D,20240621,000000,14.87,16,12.5,15.73,1866238,0
NNE.US,D,20240624,000000,16.5,22.48,16.16,20.87,6134230,0
NNE.US,D,20240625,000000,24.1,37.51,21.8,29.1,12172727,0
NNE.US,D,20240626,000000,30.08,31.68,20.59,24.02,3869450,0
NNE.US,D,20240627,000000,20.97,21.22,16.1,16.22,3946161,0
NNE.US,D,20240628,000000,15.85,25.68,15.41,23.44,9413711,0
NNE.US,D,20240701,000000,27.7,32.39,23.2,28.1,14862795,0
NNE.US,D,20240702,000000,28.22,29,25,25.93,3663077,0
