<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTBLQ.US,D,20141001,000000,210.7,214.55,204.75,204.75,35493.514818117,0
NTBLQ.US,D,20141002,000000,210,210,203,204.75,686.714296015,0
NTBLQ.US,D,20141003,000000,209.65,213.5,183.75,213.5,613.971437781,0
NTBLQ.US,D,20141006,000000,208.25,211.75,204.75,211.75,532.628579418,0
NTBLQ.US,D,20141007,000000,211.75,229.6,210,229.6,1140.742874254,0
NTBLQ.US,D,20141008,000000,240.8,240.8,215.25,234.15,611.342866313,0
NTBLQ.US,D,20141009,000000,217.35,227.5,210,215.25,730.685725246,0
NTBLQ.US,D,20141010,000000,210,216.3,210,216.3,157.71428808,0
NTBLQ.US,D,20141013,000000,227.5,227.5,206.5,210.35,332.114290696,0
NTBLQ.US,D,20141014,000000,206.85,212.8,206.5,206.5,116.28571603,0
NTBLQ.US,D,20141015,000000,237.3,255.15,210,211.4,43.571429225,0
NTBLQ.US,D,20141016,000000,208.25,213.5,208.25,208.25,191.628574303,0
NTBLQ.US,D,20141017,000000,222.95,239.05,222.95,227.15,93.14285854,0
NTBLQ.US,D,20141020,000000,229.25,229.25,224.35,227.5,134.428573445,0
NTBLQ.US,D,20141021,000000,225.75,225.75,225.75,225.75,7.71428583,0
NTBLQ.US,D,20141022,000000,213.5,213.5,208.6,210,17.085714542,0
NTBLQ.US,D,20141023,000000,211.75,227.15,204.75,213.85,1658.628596308,0
NTBLQ.US,D,20141024,000000,215.6,225.05,210.7,225.05,1471.228593497,0
NTBLQ.US,D,20141027,000000,217,235.9,210,231,1416.771449823,0
NTBLQ.US,D,20141028,000000,234.15,241.5,221.042,236.95,767.085725792,0
NTBLQ.US,D,20141029,000000,229.25,239.4,229.25,238,1189.542874986,0
NTBLQ.US,D,20141030,000000,235.55,259,235.55,243.25,1998.85717284,0
NTBLQ.US,D,20141031,000000,243.95,252,227.517,235.2,222.771431913,0
NTBLQ.US,D,20141103,000000,235.2,236.25,227.5,227.5,30.142857595,0
NTBLQ.US,D,20141104,000000,230.65,231.035,227.85,231,153.771430878,0
NTBLQ.US,D,20141106,000000,227.503,241.64,224,224.7,309.085718922,0
NTBLQ.US,D,20141107,000000,240.45,240.45,211.05,212.8,324.00000486,0
NTBLQ.US,D,20141110,000000,211.05,225.05,211.05,212.45,336.971433626,0
NTBLQ.US,D,20141111,000000,215.95,224.385,215.25,215.25,103.800001557,0
NTBLQ.US,D,20141112,000000,215.6,224,215.6,222.25,226.600003399,0
NTBLQ.US,D,20141113,000000,225.75,264.495,218.75,242.795,780.57144028,0
NTBLQ.US,D,20141114,000000,257.25,257.25,217,217,179.057145543,0
NTBLQ.US,D,20141117,000000,232.26,232.26,216.3,217.7,140.0000021,0
NTBLQ.US,D,20141118,000000,235.9,235.9,215.25,220.85,244.685717956,0
NTBLQ.US,D,20141119,000000,236.25,236.25,217,217,267.42857544,0
NTBLQ.US,D,20141120,000000,224,224.7,215.25,217,479.257150046,0
NTBLQ.US,D,20141121,000000,236.25,236.25,215.25,215.25,506.771436173,0
NTBLQ.US,D,20141124,000000,222.25,234.85,215.25,217,238.00000357,0
NTBLQ.US,D,20141125,000000,222.25,234.15,217,219.8,751.885725564,0
NTBLQ.US,D,20141126,000000,221.9,221.9,217,217.7,194.00000291,0
NTBLQ.US,D,20141128,000000,217,226.94,213.5,217,111.4285731,0
NTBLQ.US,D,20141201,000000,223.3,223.3,210.003,217,841.800012627,0
NTBLQ.US,D,20141202,000000,220.85,220.85,210,210,68.742858174,0
NTBLQ.US,D,20141203,000000,210,226.1,206.5,206.5,236.314289259,0
NTBLQ.US,D,20141204,000000,210,210,210,210,8.5714287,0
