<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVAC.US,D,20240416,000000,12.25,12.25,12.25,12.25,228,0
NVAC.US,D,20240417,000000,11.34,11.34,11.31,11.31,4284,0
NVAC.US,D,20240419,000000,11.32,11.32,11.32,11.32,120,0
NVAC.US,D,20240508,000000,11.54,12.62,11.33,11.33,5029,0
NVAC.US,D,20240509,000000,11.54,11.54,11.31,11.54,6525,0
NVAC.US,D,20240510,000000,11.32,11.5,11.32,11.5,1784,0
NVAC.US,D,20240513,000000,12,12.5,11.8,12.5,6283,0
NVAC.US,D,20240514,000000,12.2918,12.2918,11.5182,11.5182,2034,0
NVAC.US,D,20240515,000000,11.32,11.32,11.32,11.32,1008,0
NVAC.US,D,20240516,000000,11.32,11.77,11.31,11.31,9973,0
NVAC.US,D,20240517,000000,11.36,11.37,11.31,11.34,2426,0
NVAC.US,D,20240520,000000,11.36,11.5001,11.36,11.37,1266,0
NVAC.US,D,20240521,000000,11.915,13,11.5,12.32,6080,0
NVAC.US,D,20240522,000000,11.44,11.44,11.4,11.4,2620,0
NVAC.US,D,20240523,000000,11.45,11.51,11.4,11.51,1458,0
NVAC.US,D,20240524,000000,11.98,11.9801,11.98,11.9801,310,0
NVAC.US,D,20240611,000000,11.41,11.41,11.41,11.41,326,0
NVAC.US,D,20240624,000000,11.7,11.7,11.5,11.5,983,0
NVAC.US,D,20240711,000000,11.5,11.5,11.5,11.5,449,0
NVAC.US,D,20240806,000000,11.64,11.65,11.64,11.65,1101,0
NVAC.US,D,20240812,000000,11.8,11.8,11.8,11.8,110,0
NVAC.US,D,20240819,000000,11.6,11.6,11.6,11.6,351,0
NVAC.US,D,20240910,000000,11.89,11.89,11.89,11.89,105,0
NVAC.US,D,20240911,000000,11.61,11.61,11.61,11.61,154,0
NVAC.US,D,20240912,000000,11.68,11.68,11.68,11.68,1002,0
NVAC.US,D,20240913,000000,11.99,12,11.97,12,607,0
NVAC.US,D,20240916,000000,12,12,11.68,11.68,11810,0
NVAC.US,D,20240918,000000,11.7,11.7,11.7,11.7,504,0
NVAC.US,D,20241016,000000,11.7,11.7,11.7,11.7,363,0
