<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDS.US,D,20220718,000000,987.49,987.49,900.855,960.93,924.33560835552,0
NVDS.US,D,20220719,000000,929.34,951.355,888.96,893.695,931.7029425959,0
NVDS.US,D,20220720,000000,904.94,904.94,836.42,840.705,1865.9098157833,0
NVDS.US,D,20220721,000000,835.47,852.085,820.935,826.665,392.25035766118,0
NVDS.US,D,20220722,000000,834.435,876.175,834.435,868.8,1617.6836196449,0
NVDS.US,D,20220725,000000,886.35,907.535,886.35,887.11,1314.6117130503,0
NVDS.US,D,20220726,000000,909.61,917.505,905.715,917.505,242.78496235302,0
NVDS.US,D,20220727,000000,885.52,888.635,822.385,829.655,1511.8925521539,0
NVDS.US,D,20220728,000000,829.24,849.18,814.705,819.89,466.74229275839,0
NVDS.US,D,20220729,000000,831.525,834.435,805.775,810.135,869.10467780833,0
NVDS.US,D,20220801,000000,827.58,827.58,773.17,794.12,1258.7547998553,0
NVDS.US,D,20220802,000000,816.365,816.365,770.055,788.68,539.78965251435,0
NVDS.US,D,20220803,000000,807.02,807.02,770.42,770.42,701.34132817765,0
NVDS.US,D,20220804,000000,765.275,774.83,751.775,754.535,196.46224641022,0
NVDS.US,D,20220805,000000,776.7,780.23,764.26,765.425,189.96165737458,0
NVDS.US,D,20220808,000000,842.525,852.085,805.775,825.32,3329.505399028,0
NVDS.US,D,20220809,000000,856.655,883.88,846.06,864.545,1475.5374060658,0
NVDS.US,D,20220810,000000,827.785,850.215,802.245,804.735,3481.1858098595,0
NVDS.US,D,20220811,000000,803.28,812.42,772.13,810.54,1185.7555926107,0
NVDS.US,D,20220812,000000,794.56,794.56,764.86,764.86,1201.83853141,0
NVDS.US,D,20220815,000000,764.24,768.375,748.245,750.005,411.07798960883,0
NVDS.US,D,20220816,000000,759.255,770.055,747.625,752.955,429.61670648822,0
NVDS.US,D,20220817,000000,780.23,794.765,771.505,784.645,773.08857012648,0
NVDS.US,D,20220818,000000,778.775,779.605,755.93,762.84,752.3829902352,0
NVDS.US,D,20220819,000000,780.435,808.89,779.085,807.64,1334.7394628051,0
NVDS.US,D,20220822,000000,831.315,858.99,828.825,857.485,1227.6001249956,0
NVDS.US,D,20220823,000000,860.185,860.185,830.695,851.46,806.07304041839,0
NVDS.US,D,20220824,000000,856.81,872.02,832.77,859.56,8570.9062622026,0
NVDS.US,D,20220825,000000,882.615,882.615,766.105,766.105,4419.774561582,0
NVDS.US,D,20220826,000000,804.11,895.905,804.11,895.905,5593.9253989513,0
NVDS.US,D,20220829,000000,912.31,926.85,887.805,911.69,7409.9010604387,0
NVDS.US,D,20220830,000000,910.855,970.67,909.405,951.975,3514.5555002424,0
NVDS.US,D,20220831,000000,969.835,988.32,946.995,978.975,2930.1284696834,0
NVDS.US,D,20220901,000000,1050.41,1123.1,1038.36,1071.59,5120.8751272028,0
NVDS.US,D,20220902,000000,1055.4,1104.82,1054.15,1102.25,2400.6916071146,0
NVDS.US,D,20220906,000000,1091.53,1124.55,1088.74,1119.08,1210.1207633665,0
NVDS.US,D,20220907,000000,1106.07,1124.55,1082.1,1092.14,1148.9189214088,0
NVDS.US,D,20220908,000000,1115.2,1120.19,1065.96,1068.48,1231.1634108374,0
NVDS.US,D,20220909,000000,1046.46,1049.62,1020.5,1026.28,1674.0702104651,0
NVDS.US,D,20220912,000000,1024.45,1043.56,1016.14,1017.6,1426.8070645542,0
NVDS.US,D,20220913,000000,1077.62,1139.3,1068.68,1138.21,3066.9297544999,0
NVDS.US,D,20220914,000000,1124.55,1158.61,1120.19,1137.96,1760.2150533151,0
NVDS.US,D,20220915,000000,1147.19,1171.99,1131.82,1158.23,2855.492077052,0
NVDS.US,D,20220916,000000,1180,1192.67,1128.51,1131.2,3346.9847606572,0
NVDS.US,D,20220919,000000,1125.18,1127.31,1102.74,1110.22,1042.2129562016,0
NVDS.US,D,20220920,000000,1121.64,1142.41,1100.67,1131.82,1792.9587610501,0
NVDS.US,D,20220921,000000,1126.21,1137.01,1041.69,1124.96,7550.4100886311,0
NVDS.US,D,20220922,000000,1141.58,1209.07,1141.16,1195.99,4055.0674404273,0
NVDS.US,D,20220923,000000,1212.19,1230.05,1197.24,1199.31,2254.6931926255,0
NVDS.US,D,20220926,000000,1200.56,1236.49,1187.68,1234.02,2062.7091297732,0
NVDS.US,D,20220927,000000,1198.9,1230.68,1176.06,1214.16,751.32363498495,0
NVDS.US,D,20220928,000000,1204.09,1204.09,1162.97,1176.26,1160.2829140933,0
NVDS.US,D,20220929,000000,1208.03,1261.62,1201.8,1231.01,4150.8909380637,0
NVDS.US,D,20220930,000000,1252.68,1252.68,1181.66,1241.97,1508.2329612894,0
NVDS.US,D,20221003,000000,1220.92,1246.04,1174.81,1198.48,1815.1089162826,0
NVDS.US,D,20221004,000000,1155.28,1155.28,1112.71,1118.4,2049.1301215654,0
NVDS.US,D,20221005,000000,1147.4,1173.14,1101.08,1101.08,1374.7060472464,0
NVDS.US,D,20221006,000000,1106.07,1123.1,1068.48,1121.92,1468.9405120074,0
NVDS.US,D,20221007,000000,1182.7,1235.84,1173.77,1232.86,1856.6645335993,0
NVDS.US,D,20221010,000000,1232.54,1316.65,1228.29,1285.29,2375.8449112451,0
NVDS.US,D,20221011,000000,1299.2,1336.33,1261.41,1297.24,1790.50298297,0
NVDS.US,D,20221012,000000,1289.65,1329.42,1282.38,1308.34,1042.9833963837,0
NVDS.US,D,20221013,000000,1386.43,1406.36,1234.08,1246.46,3443.38608843,0
NVDS.US,D,20221014,000000,1229.42,1341.36,1229.22,1337,2347.0015569315,0
NVDS.US,D,20221017,000000,1295.88,1295.88,1234.2,1241.26,1379.1842308043,0
NVDS.US,D,20221018,000000,1178.13,1270.13,1169.41,1233.97,1254.8544464339,0
NVDS.US,D,20221019,000000,1241.06,1246.04,1185.82,1220.96,1039.3238055191,0
NVDS.US,D,20221020,000000,1205.75,1207.88,1132.19,1201.12,1457.720976857,0
NVDS.US,D,20221021,000000,1211.98,1238.02,1166.5,1167.96,1172.5136519825,0
NVDS.US,D,20221024,000000,1162.55,1214.47,1142.84,1151.55,1469.662799678,0
NVDS.US,D,20221025,000000,1126.83,1134.94,1073.88,1073.88,1295.3507085003,0
NVDS.US,D,20221026,000000,1119.56,1127.46,1064.12,1113.54,1902.0241993146,0
NVDS.US,D,20221027,000000,1032.55,1085.92,1016.27,1083.64,1809.2824624062,0
NVDS.US,D,20221028,000000,1077.41,1091.32,1015.32,1017.18,1331.1761769633,0
NVDS.US,D,20221031,000000,1019.68,1065.57,1017.18,1046.46,2633.7016096585,0
NVDS.US,D,20221101,000000,1016.77,1043.76,1011.78,1042.94,803.47280480414,0
NVDS.US,D,20221102,000000,1018.22,1074.71,980.635,1074.5,3530.301371462,0
NVDS.US,D,20221103,000000,1093.4,1101.29,1020.92,1053.11,1615.2278415648,0
NVDS.US,D,20221104,000000,996.835,1026.73,977,983.96,1966.1633444662,0
NVDS.US,D,20221107,000000,973.37,997.455,961.74,971.845,964.88002293331,0
NVDS.US,D,20221108,000000,926.02,974.405,921.24,943.045,1480.8823348284,0
NVDS.US,D,20221109,000000,979.805,1021.75,979.58,1010.6,1854.0161454737,0
NVDS.US,D,20221110,000000,913.765,937.23,831.525,831.525,5474.5071707412,0
NVDS.US,D,20221111,000000,827.785,848.76,791.235,793.73,3494.6685130445,0
NVDS.US,D,20221114,000000,799.13,815.74,780.85,790.82,3317.8043387639,0
NVDS.US,D,20221115,000000,768.185,787.915,754.27,773.155,2728.0323794423,0
NVDS.US,D,20221116,000000,805.36,824.67,793.355,824.67,6271.7201490665,0
NVDS.US,D,20221117,000000,831.315,839.83,796.01,831.315,6363.1136156564,0
NVDS.US,D,20221118,000000,825.92,867.015,822.405,850.565,2221.9494848905,0
NVDS.US,D,20221121,000000,871.84,872.205,845.665,854.99,1710.6179665988,0
NVDS.US,D,20221122,000000,847.725,868.075,805.15,807.85,2077.9253233677,0
NVDS.US,D,20221123,000000,803.49,804.525,775.87,776.545,2527.9105421675,0
NVDS.US,D,20221125,000000,788.12,795.39,779.19,789.67,762.68762766947,0
NVDS.US,D,20221128,000000,803.47,823.22,790.615,817.795,2126.5593598565,0
NVDS.US,D,20221129,000000,825.5,837.34,811.795,830.03,1319.6195742333,0
NVDS.US,D,20221130,000000,828.62,832.03,745.545,747.37,2197.0546365095,0
NVDS.US,D,20221201,000000,740.565,761.125,727.85,733.475,1731.0346314218,0
NVDS.US,D,20221202,000000,760.915,769.22,745.34,747.415,3424.6547615052,0
NVDS.US,D,20221205,000000,758.425,769.43,747.63,762.565,1618.6466698724,0
NVDS.US,D,20221206,000000,765.9,807.225,765.9,799.175,2201.7735826243,0
NVDS.US,D,20221207,000000,813.04,813.04,787.395,790.82,1607.4752872334,0
NVDS.US,D,20221208,000000,781.475,791.03,726.025,726.025,2876.293961966,0
NVDS.US,D,20221209,000000,726.65,735.37,706.115,735.165,3233.9226639486,0
NVDS.US,D,20221212,000000,732.255,744.995,707.125,707.76,5104.6477308694,0
NVDS.US,D,20221213,000000,656.66,695.08,644.41,678.26,6069.0462286889,0
NVDS.US,D,20221214,000000,683.245,705.465,672.03,701.31,3596.1740070231,0
NVDS.US,D,20221215,000000,723.95,744.6,716.265,735.995,5898.3937283758,0
NVDS.US,D,20221216,000000,743.47,761.67,729.97,758.01,4535.0035213025,0
NVDS.US,D,20221219,000000,754.895,778.15,753.025,775.87,3381.1248912221,0
NVDS.US,D,20221220,000000,784.8,795.805,770.675,783.55,3225.0144493442,0
NVDS.US,D,20221221,000000,778.775,778.985,751.155,760.5,2708.3861548012,0
NVDS.US,D,20221222,000000,784.385,849.075,781.665,824.88,5970.7188004611,0
NVDS.US,D,20221223,000000,835.68,855.2,826.88,837.34,4255.6226503044,0
NVDS.US,D,20221227,000000,837.94,905.88,837.94,902.385,10326.965440007,0
NVDS.US,D,20221228,000000,917.89,920.075,893.925,909.155,6753.105866764,0
NVDS.US,D,20221229,000000,879.665,891.24,857.82,862.19,4236.0957338536,0
NVDS.US,D,20221230,000000,881.63,889.385,861.755,862.73,4916.048291129,0
