<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCCIM.US,D,20241004,000000,24.79,24.82,24.71,24.78,75873,0
OCCIM.US,D,20241007,000000,24.84,24.84,24.73,24.7948,29457,0
OCCIM.US,D,20241008,000000,24.75,24.83,24.71,24.7715,24891,0
OCCIM.US,D,20241009,000000,24.8,24.85,24.72,24.7594,13057,0
OCCIM.US,D,20241010,000000,24.799,24.799,24.722,24.74,9490,0
OCCIM.US,D,20241011,000000,24.95,24.96,24.76,24.85,17299,0
OCCIM.US,D,20241014,000000,24.95,25.05,24.8626,25,22109,0
OCCIM.US,D,20241015,000000,25,25,24.85,24.95,18287,0
OCCIM.US,D,20241016,000000,25,25.1,24.95,25.07,5997,0
OCCIM.US,D,20241017,000000,25.32,25.32,25.03,25.11,9595,0
OCCIM.US,D,20241018,000000,25.11,25.2,25.1,25.2,1855,0
OCCIM.US,D,20241021,000000,25.14,25.14,25.13,25.14,694,0
OCCIM.US,D,20241022,000000,25.17,25.17,25.0165,25.0884,3613,0
OCCIM.US,D,20241023,000000,25.05,25.05,24.955,25.01,6838,0
OCCIM.US,D,20241024,000000,24.99,24.99,24.9,24.9499,13500,0
OCCIM.US,D,20241025,000000,24.95,25.04,24.93,24.96,16417,0
OCCIM.US,D,20241028,000000,25,25,24.9902,24.9902,1042,0
OCCIM.US,D,20241029,000000,24.955,25.02,24.91,24.925,4391,0
