<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCTO.US,D,20220519,000000,690,690,687.5,687.5,46.54,0
OCTO.US,D,20220531,000000,442,442,430,430,13.1,0
OCTO.US,D,20220601,000000,423,423,423,423,10.78,0
OCTO.US,D,20220602,000000,385,394.5,385,394.5,13.44,0
OCTO.US,D,20220603,000000,409.5,409.5,404,404,9.72,0
OCTO.US,D,20220606,000000,405.5,405.5,405.5,405.5,7.22,0
OCTO.US,D,20220609,000000,415,435,415,435,14.48,0
OCTO.US,D,20220613,000000,385,385,385,385,3.54,0
OCTO.US,D,20220617,000000,300,342,300,341.5,17.86,0
OCTO.US,D,20220627,000000,314.5,315,309.75,309.75,25.38,0
OCTO.US,D,20220628,000000,307.495,314.995,306.9,307.5,36.74,0
OCTO.US,D,20220629,000000,315,315,314.995,314.995,30.38,0
OCTO.US,D,20220630,000000,155,156.5,95,101.5,61982,0
OCTO.US,D,20220701,000000,97.5,99.5,66.5,69.5,53410.6,0
OCTO.US,D,20220705,000000,68,75,61.5,62,34585.82,0
OCTO.US,D,20220706,000000,59,84.5,55,60.5,112763.46,0
OCTO.US,D,20220707,000000,73,83.26,64,66.5,347597.68,0
OCTO.US,D,20220708,000000,64,67.5,62,64,57246.9,0
OCTO.US,D,20220711,000000,59,60.5,56.5,57,31875.42,0
OCTO.US,D,20220712,000000,56,57.5,52,52.5,30032.92,0
OCTO.US,D,20220713,000000,49.245,51,45.5,48.75,28090.96,0
OCTO.US,D,20220714,000000,47.5,48.5,44,45.74,23572.06,0
OCTO.US,D,20220715,000000,47,47,44.8,46.2,19556.04,0
OCTO.US,D,20220718,000000,46,53,46,48.995,46630.26,0
OCTO.US,D,20220719,000000,48.82,59.705,48.5,58.5,62996.06,0
OCTO.US,D,20220720,000000,60.5,62,54.5,55,58588.44,0
OCTO.US,D,20220721,000000,53,56.5,51.5,54.5,31558.42,0
OCTO.US,D,20220722,000000,54.5,54.5,49,51,22056.96,0
OCTO.US,D,20220725,000000,49.5,55.5,48.01,51,24949.98,0
OCTO.US,D,20220726,000000,48.5,49.575,43.5,44.19,32724.86,0
OCTO.US,D,20220727,000000,45.415,89,45.415,63.5,1156590.72,0
OCTO.US,D,20220728,000000,72,73,56.5,67.5,699881.92,0
OCTO.US,D,20220729,000000,61,63,52,55.5,173737.32,0
OCTO.US,D,20220801,000000,53,55.5,50,54,114189.7,0
OCTO.US,D,20220802,000000,57,67.5,55.5,56.5,251605.62,0
OCTO.US,D,20220803,000000,57,58,53,55,90765.2,0
OCTO.US,D,20220804,000000,54.5,59.5,53,55.5,85719.34,0
OCTO.US,D,20220805,000000,54.5,57.5,52.5,53.5,45987.8,0
OCTO.US,D,20220808,000000,54,56.5,53,54.5,51152.6,0
OCTO.US,D,20220809,000000,53.5,54.5,50.5,52.5,37561.48,0
OCTO.US,D,20220810,000000,53.5,55.5,52,55.5,45371.22,0
OCTO.US,D,20220811,000000,56.5,61.995,55,56,57348.54,0
OCTO.US,D,20220812,000000,56.5,60,56.5,59.5,44712.98,0
OCTO.US,D,20220815,000000,54.25,55,52.5,54,41970.68,0
OCTO.US,D,20220816,000000,54,65,52.5,56,183692.3,0
OCTO.US,D,20220817,000000,56.5,61.5,54,54.5,114518,0
OCTO.US,D,20220818,000000,56,57,53.5,55.5,58655.96,0
OCTO.US,D,20220819,000000,53.5,54.5,49.32,51,69381.84,0
OCTO.US,D,20220822,000000,50.5,51.5,48.25,48.6,32896.82,0
OCTO.US,D,20220823,000000,48.25,49,43.425,44.255,48695.88,0
OCTO.US,D,20220824,000000,45,46.245,44.505,45.13,18917.26,0
OCTO.US,D,20220825,000000,46,46.915,44.5,44.745,17606.56,0
OCTO.US,D,20220826,000000,45.4,45.495,43,43.285,19752.54,0
OCTO.US,D,20220829,000000,41.5,44,41.5,43.34,19831.94,0
OCTO.US,D,20220830,000000,42.5,43.495,39.25,39.415,25479.24,0
OCTO.US,D,20220831,000000,39.505,40,39,39.35,7640.8,0
OCTO.US,D,20220901,000000,39.045,39.886,36.255,38.34,14792.58,0
OCTO.US,D,20220902,000000,40,41.25,37.35,38.765,14047.68,0
OCTO.US,D,20220906,000000,39.605,39.99,38.315,39.25,7194.98,0
OCTO.US,D,20220907,000000,38.995,39.95,38.015,38.855,6084.98,0
OCTO.US,D,20220908,000000,38.05,40,37.1,37.82,6631.2,0
OCTO.US,D,20220909,000000,38.86,40,38.155,39.41,9837.44,0
OCTO.US,D,20220912,000000,40,43,38.5,40.635,21145.2,0
OCTO.US,D,20220913,000000,38.55,39.5,38.05,38.74,10646.48,0
OCTO.US,D,20220914,000000,38.5,40.655,37.525,39.685,9983.18,0
OCTO.US,D,20220915,000000,45,46,39.51,40.775,104611.82,0
OCTO.US,D,20220916,000000,40.21,40.89,36.665,37,21569.08,0
OCTO.US,D,20220919,000000,36.965,37.935,33,33.515,19026.6,0
OCTO.US,D,20220920,000000,34,36,33.5,35,12412,0
OCTO.US,D,20220921,000000,34.745,37.3,33,34.5,13324.22,0
OCTO.US,D,20220922,000000,34.57,35.9,32.745,34.66,11284.4,0
OCTO.US,D,20220923,000000,34.06,35.5,32.75,34.57,13601.2,0
OCTO.US,D,20220926,000000,33.535,36.5,33,33.5,7961.42,0
OCTO.US,D,20220927,000000,33.705,34.975,33.15,34.025,5457.2,0
OCTO.US,D,20220928,000000,32.93,35.465,32.6,34.51,6307.24,0
OCTO.US,D,20220929,000000,34.525,34.865,33.25,34.185,5442.64,0
OCTO.US,D,20220930,000000,34.25,35.5,33.65,34.635,7423.52,0
OCTO.US,D,20221003,000000,34.05,36.5,34.05,35.32,5651.52,0
OCTO.US,D,20221004,000000,36.41,36.515,35.3,35.84,6424.86,0
OCTO.US,D,20221005,000000,35.26,37,35,36.515,4922.24,0
OCTO.US,D,20221006,000000,36.5,38,36,37.55,6265.34,0
OCTO.US,D,20221007,000000,37.93,37.93,35.5,36.41,5530.9,0
OCTO.US,D,20221010,000000,35.5,37.5,33.95,36.81,7786.02,0
OCTO.US,D,20221011,000000,36.815,37.125,35.25,36.5,3006.56,0
OCTO.US,D,20221012,000000,36.5,36.575,34.5,36.035,3744.08,0
OCTO.US,D,20221013,000000,34.32,37.25,34.32,37.005,3719.24,0
OCTO.US,D,20221014,000000,36.5,38,36.055,37.61,6672.4,0
OCTO.US,D,20221017,000000,37.5,39.245,36.55,39.07,6760.24,0
OCTO.US,D,20221018,000000,39.5,40,35.55,36.595,10600.84,0
OCTO.US,D,20221019,000000,36.345,36.865,35,35.5,4458.6,0
OCTO.US,D,20221020,000000,35.425,35.75,34.25,35.265,3531.4,0
OCTO.US,D,20221021,000000,35.3,35.3,32.9915,33.925,7134.94,0
OCTO.US,D,20221024,000000,33.75,33.75,30.55,31.75,6333.36,0
OCTO.US,D,20221025,000000,31.525,33.5,31.5,32.815,8568.02,0
OCTO.US,D,20221026,000000,32,33.77,31.1,31.225,7337.64,0
OCTO.US,D,20221027,000000,31.715,31.995,28.055,28.86,12592.62,0
OCTO.US,D,20221028,000000,28.525,28.995,26,28.55,12181.62,0
OCTO.US,D,20221031,000000,27.875,28.005,26.08,27.135,4265.48,0
OCTO.US,D,20221101,000000,28,28.075,26.5,27.31,7104.54,0
OCTO.US,D,20221102,000000,27.5,27.5,26.055,26.055,5364.04,0
OCTO.US,D,20221103,000000,26.785,27,22.8025,23.37,13104.6,0
OCTO.US,D,20221104,000000,23.35,23.9,22.55,22.98,4753.7,0
OCTO.US,D,20221107,000000,22.98,24.905,20.71,22.4,7149.5,0
OCTO.US,D,20221108,000000,21.75,23.495,21.5,21.875,4142.28,0
OCTO.US,D,20221109,000000,21.5,21.55,18.505,19.21,7718.8,0
OCTO.US,D,20221110,000000,19.275,21.5,19.255,21.35,5619.78,0
OCTO.US,D,20221111,000000,20.95,23,20.555,22.625,4773.7,0
OCTO.US,D,20221114,000000,22.805,23,21.23,22.2,3358.1,0
OCTO.US,D,20221115,000000,22.5,23.6,21.915,22.5,3814.82,0
OCTO.US,D,20221116,000000,22.5,22.5,21.05,21.5,2483.56,0
OCTO.US,D,20221117,000000,21.45,22,20.24,20.6,3095.82,0
OCTO.US,D,20221118,000000,21.5,21.5,20.005,20.16,2589.62,0
OCTO.US,D,20221121,000000,20.5,20.5,18.5,18.77,4419.7,0
OCTO.US,D,20221122,000000,19,19,17.55,18.745,11097.96,0
OCTO.US,D,20221123,000000,18.44,18.44,17.5,17.8,5562.02,0
OCTO.US,D,20221125,000000,17.75,17.8,16.5,16.71,4031.28,0
OCTO.US,D,20221128,000000,16.665,17,15,15.15,10714.12,0
OCTO.US,D,20221129,000000,15.45,15.45,14.05,14.505,11076.72,0
OCTO.US,D,20221130,000000,15,15,14.25,14.75,4747.22,0
OCTO.US,D,20221201,000000,15,15.25,14.57,14.965,4743.44,0
OCTO.US,D,20221202,000000,14.965,15,14.495,14.995,4750.88,0
OCTO.US,D,20221205,000000,15,15,14.4,14.5,2746.22,0
