<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONCT.US,D,20050225,000000,14798,16030,14798,15988,41.9,0
ONCT.US,D,20050228,000000,15442,15470,14602,14686,37.65,0
ONCT.US,D,20050301,000000,15022,15022,14462,14588,30.85,0
ONCT.US,D,20050302,000000,14518,14672,14364,14378,15.5,0
ONCT.US,D,20050303,000000,14420,14658,14140,14140,10.85,0
ONCT.US,D,20050304,000000,14462,14546,13916,13986,19.2,0
ONCT.US,D,20050307,000000,14042,14056,13986,13986,28.2,0
ONCT.US,D,20050308,000000,14350,14406,14000,14266,29.2,0
ONCT.US,D,20050309,000000,14280,14560,14224,14448,22.05,0
ONCT.US,D,20050310,000000,14518,14560,14280,14462,10.7,0
ONCT.US,D,20050311,000000,14266,14266,13874,14140,15.3,0
ONCT.US,D,20050314,000000,14000,14560,14000,14518,17.45,0
ONCT.US,D,20050315,000000,14700,14714,13986,14364,17,0
ONCT.US,D,20050316,000000,14700,15526,14280,15372,14.75,0
ONCT.US,D,20050317,000000,15400,15526,14322,14406,7.5,0
ONCT.US,D,20050318,000000,14602,14952,14140,14224,45.05,0
ONCT.US,D,20050321,000000,14000,14420,14000,14014,28.2,0
ONCT.US,D,20050322,000000,14084,14462,14000,14112,11.65,0
ONCT.US,D,20050323,000000,14014,14210,13944,14070,39.3,0
ONCT.US,D,20050324,000000,14322,14336,14014,14028,11.1,0
ONCT.US,D,20050328,000000,14280,14280,13944,13958,39.6,0
ONCT.US,D,20050329,000000,14070,14070,13790,13874,48.85,0
ONCT.US,D,20050330,000000,13720,14000,13720,13720,67.3,0
ONCT.US,D,20050331,000000,13720,13888,12572,12740,59.85,0
ONCT.US,D,20050401,000000,13426,13650,13020,13020,33.55,0
ONCT.US,D,20050404,000000,13426,13440,12950,13034,23.2,0
ONCT.US,D,20050405,000000,13090,13202,12964,13202,44.75,0
ONCT.US,D,20050406,000000,13384,13510,13216,13356,25.25,0
ONCT.US,D,20050407,000000,13356,13426,13244,13314,8,0
ONCT.US,D,20050408,000000,13482,13482,13216,13300,18.55,0
ONCT.US,D,20050411,000000,13118,13356,13118,13230,7.65,0
ONCT.US,D,20050412,000000,13118,13300,13020,13174,21.7,0
ONCT.US,D,20050413,000000,13090,13286,13020,13020,26.05,0
ONCT.US,D,20050414,000000,13174,13300,13020,13020,30.15,0
ONCT.US,D,20050415,000000,13272,13272,12600,12670,34.5,0
ONCT.US,D,20050418,000000,12880,13020,12320,12320,19.35,0
ONCT.US,D,20050419,000000,12600,12600,12390,12600,14.45,0
ONCT.US,D,20050420,000000,12600,12600,12362,12418,7.35,0
ONCT.US,D,20050421,000000,12600,12670,12376,12628,7.55,0
ONCT.US,D,20050422,000000,12614,12642,12222,12292,18.95,0
ONCT.US,D,20050425,000000,12572,13020,12306,12306,7.95,0
ONCT.US,D,20050426,000000,12250,12502,12180,12236,14.65,0
ONCT.US,D,20050427,000000,12390,12726,12180,12502,15.15,0
ONCT.US,D,20050428,000000,12782,12782,12152,12152,14.1,0
ONCT.US,D,20050429,000000,12152,12796,12082,12530,15.45,0
ONCT.US,D,20050502,000000,12572,12670,12474,12572,21.8,0
ONCT.US,D,20050503,000000,12740,12796,12348,12390,22.15,0
ONCT.US,D,20050504,000000,12586,12642,12390,12600,18.55,0
ONCT.US,D,20050505,000000,12656,14546,12558,14350,113.95,0
ONCT.US,D,20050506,000000,14630,14630,13440,13580,57,0
ONCT.US,D,20050509,000000,13986,14140,13300,14056,36.2,0
ONCT.US,D,20050510,000000,14056,14700,14056,14560,63.95,0
ONCT.US,D,20050511,000000,14448,14770,14406,14560,39.3,0
ONCT.US,D,20050512,000000,14560,14658,13664,13664,15.95,0
ONCT.US,D,20050513,000000,14000,14420,14000,14014,31.5,0
ONCT.US,D,20050516,000000,15400,16450,14112,14168,211.4,0
ONCT.US,D,20050517,000000,14112,14336,13188,13664,64.25,0
ONCT.US,D,20050518,000000,13692,13944,13398,13594,36.15,0
ONCT.US,D,20050519,000000,13664,13706,13160,13286,48.4,0
ONCT.US,D,20050520,000000,13230,13370,13062,13300,79,0
ONCT.US,D,20050523,000000,12782,13412,12782,12894,47.4,0
ONCT.US,D,20050524,000000,12894,13230,12824,13020,19.95,0
ONCT.US,D,20050525,000000,12992,13202,12894,12894,17.25,0
ONCT.US,D,20050526,000000,12908,13118,12908,13006,5.3,0
ONCT.US,D,20050527,000000,13104,13104,12978,13006,10.35,0
ONCT.US,D,20050531,000000,12964,12964,12600,12656,38.2,0
ONCT.US,D,20050601,000000,12810,13202,12698,13202,59.85,0
ONCT.US,D,20050602,000000,13286,13300,13034,13258,5.9,0
ONCT.US,D,20050603,000000,13300,13300,12908,13146,42.15,0
ONCT.US,D,20050606,000000,13006,13244,12908,13216,16.75,0
