<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OS.US,D,20240724,000000,26,27.95,25.51,26.85,11022500,0
OS.US,D,20240725,000000,25.61,27.516,24.5,26.96,2286722,0
OS.US,D,20240726,000000,27.01,28.71,26.52,28,1123214,0
OS.US,D,20240729,000000,28.26,28.48,27.24,27.85,868550,0
OS.US,D,20240730,000000,27.6,28.62,27.5,28.05,2746188,0
OS.US,D,20240731,000000,27.97,28.58,27.58,27.85,425351,0
OS.US,D,20240801,000000,27.95,28.21,27.16,27.77,680762,0
OS.US,D,20240802,000000,27.44,27.76,26.11,27.49,900767,0
OS.US,D,20240805,000000,26.24,27.19,26,26.84,401776,0
OS.US,D,20240806,000000,27.11,27.8415,26.91,27.26,184579,0
OS.US,D,20240807,000000,27.3,27.94,27,27.04,324788,0
OS.US,D,20240808,000000,27.1,27.73,27,27.25,303779,0
OS.US,D,20240809,000000,27.33,27.9614,27,27.35,311325,0
OS.US,D,20240812,000000,27.41,27.805,27.08,27.35,158326,0
OS.US,D,20240813,000000,27.35,27.83,27.1,27.52,148648,0
OS.US,D,20240814,000000,27.4,28.9599,27.1996,28.31,387105,0
OS.US,D,20240815,000000,28.67,29.3599,28.11,29.02,296106,0
OS.US,D,20240816,000000,29.04,29.62,28.5878,28.71,329430,0
OS.US,D,20240819,000000,28.78,29.69,28.54,29.3,405665,0
OS.US,D,20240820,000000,29.96,29.9999,28.76,29.49,431558,0
OS.US,D,20240821,000000,29.51,29.99,29.14,29.7,294308,0
OS.US,D,20240822,000000,29.9,30.48,28.62,28.91,260178,0
OS.US,D,20240823,000000,29.25,30,28.97,29.6,313532,0
OS.US,D,20240826,000000,29.91,30.25,29.77,29.91,161906,0
OS.US,D,20240827,000000,29.92,29.92,28.84,29.41,190179,0
OS.US,D,20240828,000000,29.48,29.75,29,29.55,233038,0
OS.US,D,20240829,000000,29.64,30.88,29.55,30.37,369339,0
OS.US,D,20240830,000000,30.91,31.115,29.85,31,288659,0
OS.US,D,20240903,000000,31.5,31.9,30.25,30.76,651873,0
OS.US,D,20240904,000000,30.57,32.495,28.5,29.57,1065208,0
OS.US,D,20240905,000000,29.58,30.315,28.72,29.02,782656,0
OS.US,D,20240906,000000,28.8,29.62,28,28.51,589064,0
OS.US,D,20240909,000000,29,29.11,27.43,27.89,829729,0
OS.US,D,20240910,000000,28,28.68,27.49,28.07,584467,0
OS.US,D,20240911,000000,27.81,29.17,27.81,28.88,169250,0
OS.US,D,20240912,000000,29.02,29.4381,28.305,29.21,380130,0
OS.US,D,20240913,000000,29.24,30.83,29.24,29.87,420614,0
OS.US,D,20240916,000000,29.93,30.805,29.86,30.41,236990,0
OS.US,D,20240917,000000,30.28,31.37,29.78,30.4,193703,0
OS.US,D,20240918,000000,30.42,31.96,30.39,30.72,347656,0
OS.US,D,20240919,000000,31.88,32.63,30.57,30.65,284318,0
OS.US,D,20240920,000000,30.45,33.31,29.91,32.56,2767889,0
OS.US,D,20240923,000000,33.26,34.8211,32.6972,34.02,907527,0
OS.US,D,20240924,000000,33.97,34.52,32.52,33.96,527974,0
OS.US,D,20240925,000000,33.8,34.235,33.2,33.95,558642,0
OS.US,D,20240926,000000,34.41,35.17,33.69,33.72,764226,0
OS.US,D,20240927,000000,34.15,34.44,33.062,33.9,640605,0
OS.US,D,20240930,000000,34.21,34.82,33.66,33.9,563937,0
OS.US,D,20241001,000000,33.67,33.75,32.02,32.57,950551,0
OS.US,D,20241002,000000,32.59,33.05,32.15,32.86,606216,0
OS.US,D,20241003,000000,32.64,33.12,31.9,32.51,599676,0
OS.US,D,20241004,000000,32.89,33.09,31.45,31.89,900749,0
OS.US,D,20241007,000000,31.54,31.895,29.94,30.12,796717,0
OS.US,D,20241008,000000,30.19,30.45,29.47,29.58,538885,0
OS.US,D,20241009,000000,29.53,29.8373,28.89,29.13,1045134,0
OS.US,D,20241010,000000,29.03,29.55,27.85,28.45,1566277,0
OS.US,D,20241011,000000,28.49,29.79,28.4517,29.79,858108,0
OS.US,D,20241014,000000,29.96,31.23,29.82,30.4,624009,0
OS.US,D,20241015,000000,30.42,30.85,29.74,29.94,507096,0
OS.US,D,20241016,000000,29.94,30.04,29.125,29.5,435647,0
OS.US,D,20241017,000000,29.31,29.735,28.99,29.23,331164,0
OS.US,D,20241018,000000,29.16,29.62,28.91,28.95,354890,0
OS.US,D,20241021,000000,28.8,29.68,28.346,29.6,550804,0
OS.US,D,20241022,000000,29.55,30.19,29.09,30.12,464576,0
OS.US,D,20241023,000000,30.17,30.86,29.95,30.78,487331,0
OS.US,D,20241024,000000,30.8,31.1481,30.38,31.1,382776,0
OS.US,D,20241025,000000,31.36,32.125,31.11,31.7,748588,0
OS.US,D,20241028,000000,32,32.935,31.815,32.66,792321,0
OS.US,D,20241029,000000,32.585,33.06,31.82,31.85,453003,0
