<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTRK.US,D,20130429,000000,42.48,42.48,42.48,42.48,0.833333335,0
OTRK.US,D,20130430,000000,42.48,42.48,42.48,42.48,0.833333335,0
OTRK.US,D,20130501,000000,42.48,42.48,42.48,42.48,0.333333334,0
OTRK.US,D,20130502,000000,42.48,42.48,42.48,42.48,2.666666672,0
OTRK.US,D,20130503,000000,43.2,43.2,43.2,43.2,28.666666724,0
OTRK.US,D,20130506,000000,41.04,41.04,41.04,41.04,4.000000008,0
OTRK.US,D,20130507,000000,43.2,43.2,43.2,43.2,16.6666667,0
OTRK.US,D,20130508,000000,41.4,41.4,41.4,41.4,55.833333445,0
OTRK.US,D,20130509,000000,41.4,41.4,41.4,41.4,95.166666857,0
OTRK.US,D,20130510,000000,41.4,41.4,41.4,41.4,399.166667465,0
OTRK.US,D,20130513,000000,41.4,41.4,41.4,41.4,61.166666789,0
OTRK.US,D,20130514,000000,50.04,50.04,50.04,50.04,105.500000211,0
OTRK.US,D,20130515,000000,49.68,49.68,49.68,49.68,3.833333341,0
OTRK.US,D,20130516,000000,41.4,41.4,41.4,41.4,8.000000016,0
OTRK.US,D,20130517,000000,49.68,49.68,49.68,49.68,2.833333339,0
OTRK.US,D,20130520,000000,48.96,48.96,48.96,48.96,204.333333742,0
OTRK.US,D,20130521,000000,48.6,48.6,48.6,48.6,51.333333436,0
OTRK.US,D,20130522,000000,48.24,48.24,48.24,48.24,74.500000149,0
OTRK.US,D,20130523,000000,48.24,48.24,48.24,48.24,60.833333455,0
OTRK.US,D,20130524,000000,48.24,48.24,48.24,48.24,23.33333338,0
OTRK.US,D,20130528,000000,48.6,48.6,48.6,48.6,8.33333335,0
OTRK.US,D,20130529,000000,46.8,46.8,46.8,46.8,12.000000024,0
OTRK.US,D,20130530,000000,46.44,46.44,46.44,46.44,50.0000001,0
OTRK.US,D,20130531,000000,46.44,46.44,46.44,46.44,27.833333389,0
OTRK.US,D,20130603,000000,45,45,45,45,181.66666703,0
OTRK.US,D,20130604,000000,45,45,45,45,33.666666734,0
OTRK.US,D,20130605,000000,44.64,44.64,44.64,44.64,281.833333897,0
OTRK.US,D,20130606,000000,44.28,44.28,44.28,44.28,50.0000001,0
OTRK.US,D,20130607,000000,44.28,44.28,44.28,44.28,5.500000011,0
OTRK.US,D,20130610,000000,43.92,43.92,43.92,43.92,41.66666675,0
OTRK.US,D,20130611,000000,45.72,45.72,45.72,45.72,66.6666668,0
OTRK.US,D,20130613,000000,45.36,45.36,45.36,45.36,47.333333428,0
OTRK.US,D,20130614,000000,45.72,45.72,45.72,45.72,2.833333339,0
OTRK.US,D,20130617,000000,45.36,45.36,45.36,45.36,280.500000561,0
OTRK.US,D,20130618,000000,45.36,45.36,45.36,45.36,91.833333517,0
OTRK.US,D,20130619,000000,46.08,46.08,46.08,46.08,91.66666685,0
OTRK.US,D,20130620,000000,46.8,46.8,46.8,46.8,447.833334229,0
OTRK.US,D,20130621,000000,46.8,46.8,46.8,46.8,242.833333819,0
OTRK.US,D,20130624,000000,41.4,41.4,41.4,41.4,607.333334548,0
OTRK.US,D,20130625,000000,48.96,48.96,48.96,48.96,181.166667029,0
OTRK.US,D,20130626,000000,48.6,48.6,48.6,48.6,77.833333489,0
OTRK.US,D,20130627,000000,48.96,48.96,48.96,48.96,107.000000214,0
OTRK.US,D,20130628,000000,48.24,48.24,48.24,48.24,29.000000058,0
OTRK.US,D,20130701,000000,48.6,48.6,48.6,48.6,5.500000011,0
OTRK.US,D,20130702,000000,47.88,47.88,47.88,47.88,24.166666715,0
OTRK.US,D,20130705,000000,48.6,48.6,48.6,48.6,75.00000015,0
OTRK.US,D,20130708,000000,48.6,48.6,48.6,48.6,125.00000025,0
OTRK.US,D,20130709,000000,48.24,48.24,48.24,48.24,2.833333339,0
OTRK.US,D,20130710,000000,46.08,46.08,46.08,46.08,192.166667051,0
OTRK.US,D,20130711,000000,46.8,46.8,46.8,46.8,24.333333382,0
OTRK.US,D,20130712,000000,45,45,45,45,819.333334972,0
OTRK.US,D,20130715,000000,46.8,46.8,46.8,46.8,2.833333339,0
OTRK.US,D,20130716,000000,47.16,47.16,47.16,47.16,84.666666836,0
OTRK.US,D,20130717,000000,47.52,47.52,47.52,47.52,2.833333339,0
OTRK.US,D,20130718,000000,45.72,45.72,45.72,45.72,58.500000117,0
OTRK.US,D,20130719,000000,46.8,46.8,46.8,46.8,2.833333339,0
OTRK.US,D,20130722,000000,46.8,46.8,46.8,46.8,2.833333339,0
OTRK.US,D,20130723,000000,43.56,43.56,43.56,43.56,33.166666733,0
OTRK.US,D,20130724,000000,43.2,43.2,43.2,43.2,8.33333335,0
OTRK.US,D,20130725,000000,39.6,39.6,39.6,39.6,406.000000812,0
OTRK.US,D,20130726,000000,42.48,42.48,42.48,42.48,131.166666929,0
OTRK.US,D,20130729,000000,45,45,45,45,335.500000671,0
OTRK.US,D,20130730,000000,40.32,40.32,40.32,40.32,170.500000341,0
OTRK.US,D,20130731,000000,38.88,38.88,38.88,38.88,102.000000204,0
OTRK.US,D,20130801,000000,36,36,36,36,68.500000137,0
OTRK.US,D,20130802,000000,33.84,33.84,33.84,33.84,54.166666775,0
OTRK.US,D,20130805,000000,33.876,33.876,33.876,33.876,27.833333389,0
OTRK.US,D,20130806,000000,39.6,39.6,39.6,39.6,2.833333339,0
OTRK.US,D,20130807,000000,38.88,38.88,38.88,38.88,14.500000029,0
OTRK.US,D,20130809,000000,39.6,39.6,39.6,39.6,43.500000087,0
OTRK.US,D,20130812,000000,38.88,38.88,38.88,38.88,2.833333339,0
