<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OZEM.US,D,20240523,000000,25.31,25.35,24.864,24.92,47331,0
OZEM.US,D,20240524,000000,24.92,25.0288,24.83,24.96,46302,0
OZEM.US,D,20240528,000000,25.08,25.19,24.77,25.0007,241592,0
OZEM.US,D,20240529,000000,24.76,24.8299,24.51,24.78,51173,0
OZEM.US,D,20240530,000000,24.81,25,24.79,24.84,60647,0
OZEM.US,D,20240531,000000,25.06,25.245,24.83,24.9813,54376,0
OZEM.US,D,20240603,000000,25,25.89,24.99,25.61,140452,0
OZEM.US,D,20240604,000000,25.8,25.86,25.5634,25.7447,151146,0
OZEM.US,D,20240605,000000,25.9,26.14,25.6427,26.0688,132132,0
OZEM.US,D,20240606,000000,26.1,26.22,26,26.0553,105347,0
OZEM.US,D,20240607,000000,25.97,26.11,25.87,25.9381,78277,0
OZEM.US,D,20240610,000000,25.91,26.079,25.65,26.06,83456,0
OZEM.US,D,20240611,000000,26.06,26.06,25.7,25.88,47608,0
OZEM.US,D,20240612,000000,26.09,26.2,25.89,25.98,54971,0
OZEM.US,D,20240613,000000,26.05,26.17,25.935,26.17,44799,0
OZEM.US,D,20240614,000000,26.15,26.19,25.91,26.08,34886,0
OZEM.US,D,20240617,000000,26.05,26.07,25.87,25.9533,54723,0
OZEM.US,D,20240618,000000,25.98,25.98,25.7524,25.89,36126,0
OZEM.US,D,20240620,000000,25.98,26.09,25.7999,25.91,63165,0
OZEM.US,D,20240621,000000,26.06,26.326,26.035,26.27,43503,0
OZEM.US,D,20240624,000000,26.59,26.85,26.47,26.62,76489,0
OZEM.US,D,20240625,000000,26.92,27.15,26.8036,26.97,79102,0
OZEM.US,D,20240626,000000,26.9,26.9,26.4,26.5,55817,0
OZEM.US,D,20240627,000000,26.62,26.7,26.5,26.7,36586,0
OZEM.US,D,20240628,000000,26.75,26.81,26.6,26.65,34040,0
OZEM.US,D,20240701,000000,26.93,27.1994,26.93,27.11,46400,0
OZEM.US,D,20240702,000000,26.91,26.91,26.565,26.78,75055,0
OZEM.US,D,20240703,000000,26.79,27,26.33,26.53,69038,0
OZEM.US,D,20240705,000000,26.8,27.18,26.773,27.12,34693,0
OZEM.US,D,20240708,000000,27.2,27.44,27.19,27.29,70359,0
OZEM.US,D,20240709,000000,27.2,27.3,26.94,27.3,65677,0
OZEM.US,D,20240710,000000,27.29,27.69,27.265,27.69,45586,0
OZEM.US,D,20240711,000000,27.77,28.18,27.77,27.9,31689,0
OZEM.US,D,20240712,000000,28.17,28.51,28.14,28.41,94633,0
OZEM.US,D,20240715,000000,28.6,28.6599,28.35,28.49,66273,0
OZEM.US,D,20240716,000000,28.54,28.62,28.41,28.49,31309,0
OZEM.US,D,20240717,000000,27.87,27.94,27.61,27.69,69885,0
OZEM.US,D,20240718,000000,27.76,27.76,26.5525,26.77,119457,0
OZEM.US,D,20240719,000000,26.93,27.11,26.7701,26.85,40127,0
OZEM.US,D,20240722,000000,27.08,27.2,26.9225,27.14,30578,0
OZEM.US,D,20240723,000000,27.17,27.329,26.9901,27.2,43259,0
OZEM.US,D,20240724,000000,27.19,27.19,26.92,27.01,52640,0
OZEM.US,D,20240725,000000,27.36,27.36,26.76,27.02,42617,0
OZEM.US,D,20240726,000000,27.14,27.308,27.0695,27.095,30417,0
OZEM.US,D,20240729,000000,27.14,27.2483,26.7801,26.92,34374,0
OZEM.US,D,20240730,000000,27.13,27.19,26.38,26.67,57230,0
OZEM.US,D,20240731,000000,27.08,27.25,26.8628,27.08,17133,0
OZEM.US,D,20240801,000000,27.28,27.41,26.9,27.1,38217,0
OZEM.US,D,20240802,000000,26.72,26.72,26.21,26.52,32441,0
OZEM.US,D,20240805,000000,25.23,26.1457,25.17,25.73,78860,0
OZEM.US,D,20240806,000000,25.99,26.4556,25.9,26.17,25728,0
OZEM.US,D,20240807,000000,25.89,25.89,25.25,25.34,55776,0
OZEM.US,D,20240808,000000,26.34,26.6494,26.11,26.57,36398,0
OZEM.US,D,20240809,000000,26.83,27.24,26.83,27.15,35164,0
OZEM.US,D,20240812,000000,27.22,27.22,26.9003,27,22884,0
OZEM.US,D,20240813,000000,27.19,27.5,27.175,27.471,18321,0
