<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PITA.US,D,20240731,000000,4.9,5.75,4.12,4.63,2057571,0
PITA.US,D,20240801,000000,3.94,4.2204,3.58,3.81,213146,0
PITA.US,D,20240802,000000,3.78,4.2,2.9,3.7,1052841,0
PITA.US,D,20240805,000000,3.21,4.21,3,3.65,342088,0
PITA.US,D,20240806,000000,3.92,3.95,3.24,3.67,215397,0
PITA.US,D,20240807,000000,3.59,3.5999,2.8801,3.04,136865,0
PITA.US,D,20240808,000000,2.75,2.865,2.39,2.57,60046,0
PITA.US,D,20240809,000000,2.65,2.68,2.33,2.35,98456,0
PITA.US,D,20240812,000000,2.4,2.4899,1.99,2.07,150354,0
PITA.US,D,20240813,000000,2.13,2.2996,1.64,1.81,84857,0
PITA.US,D,20240814,000000,1.85,2.0099,1.67,1.8,73260,0
PITA.US,D,20240815,000000,1.7936,1.9599,1.7936,1.87,48648,0
PITA.US,D,20240816,000000,1.84,1.9394,1.84,1.91,50066,0
PITA.US,D,20240819,000000,1.92,2.1899,1.85,2.1,183015,0
PITA.US,D,20240820,000000,3.17,3.77,2.4,2.79,25777989,0
PITA.US,D,20240821,000000,2.6,2.6692,2.25,2.4,791163,0
PITA.US,D,20240822,000000,2.31,2.59,2.1,2.49,380036,0
PITA.US,D,20240823,000000,2.39,2.44,2.31,2.36,118586,0
PITA.US,D,20240826,000000,2.23,2.42,2.22,2.36,101899,0
PITA.US,D,20240827,000000,2.36,2.45,2.26,2.29,322280,0
PITA.US,D,20240828,000000,2.58,2.74,2.19,2.29,6417802,0
PITA.US,D,20240829,000000,2.14,2.43,2.1,2.37,374732,0
PITA.US,D,20240830,000000,2.29,2.32,2.17,2.25,103651,0
PITA.US,D,20240903,000000,2.19,2.41,2.16,2.41,112452,0
PITA.US,D,20240904,000000,2.33,2.3766,2.25,2.33,68723,0
PITA.US,D,20240905,000000,2.24,2.35,2.21,2.21,209098,0
PITA.US,D,20240906,000000,2.21,2.27,2.16,2.17,127987,0
PITA.US,D,20240909,000000,2.22,2.22,2.15,2.17,28255,0
PITA.US,D,20240910,000000,2.22,2.28,2.14,2.18,127160,0
PITA.US,D,20240911,000000,2.14,2.33,2.1257,2.23,86953,0
PITA.US,D,20240912,000000,2.18,2.35,2.13,2.25,73155,0
PITA.US,D,20240913,000000,2.29,2.3,2.19,2.23,41805,0
PITA.US,D,20240916,000000,2.22,2.25,2.16,2.17,67412,0
PITA.US,D,20240917,000000,2.19,2.2,2.11,2.16,68944,0
PITA.US,D,20240918,000000,2.16,2.165,1.93,1.975,53901,0
PITA.US,D,20240919,000000,1.9713,2.005,1.6,1.84,76603,0
PITA.US,D,20240920,000000,1.834,1.86,1.705,1.77,43720,0
PITA.US,D,20240923,000000,1.73,1.775,1.59,1.5943,44072,0
PITA.US,D,20240924,000000,1.6,1.71,1.51,1.705,38565,0
PITA.US,D,20240925,000000,1.7,1.92,1.67,1.79,43001,0
PITA.US,D,20240926,000000,1.8441,1.95,1.7886,1.91,52573,0
PITA.US,D,20240927,000000,1.91,1.91,1.8,1.83,16864,0
PITA.US,D,20240930,000000,1.79,1.81,1.67,1.72,21946,0
PITA.US,D,20241001,000000,1.69,1.72,1.47,1.47,31232,0
PITA.US,D,20241002,000000,1.41,1.47,1.23,1.23,39226,0
PITA.US,D,20241003,000000,1.27,1.45,1.261,1.365,61906,0
PITA.US,D,20241004,000000,1.37,1.54,1.3,1.35,42820,0
PITA.US,D,20241007,000000,1.31,1.31,1.165,1.17,83423,0
PITA.US,D,20241008,000000,1.17,1.251,1.02,1.045,53294,0
PITA.US,D,20241009,000000,1.05,1.0699,0.9502,0.9999,48645,0
PITA.US,D,20241010,000000,0.99,0.9982,0.86,0.902,73302,0
PITA.US,D,20241011,000000,0.93,0.95,0.905,0.9275,29386,0
PITA.US,D,20241014,000000,0.96,0.96,0.92,0.934,22098,0
PITA.US,D,20241015,000000,0.98,0.98,0.91,0.9285,61767,0
PITA.US,D,20241016,000000,0.97,1.05,0.91,1.05,53065,0
PITA.US,D,20241017,000000,1.08,1.1,1.01,1.06,46908,0
PITA.US,D,20241018,000000,1.1,1.29,1.1,1.28,196026,0
PITA.US,D,20241021,000000,1.3,1.3098,1.18,1.26,77840,0
PITA.US,D,20241022,000000,1.27,1.27,1.1414,1.1943,38730,0
PITA.US,D,20241023,000000,1.17,1.2,1.17,1.2,30951,0
PITA.US,D,20241024,000000,1.1518,1.198,1.14,1.15,62390,0
PITA.US,D,20241025,000000,1.18,1.18,1.13,1.13,10750,0
PITA.US,D,20241028,000000,1.11,1.1732,1.04,1.1,126986,0
PITA.US,D,20241029,000000,1.1,1.17,1.06,1.105,265620,0
