<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPYAU.US,D,20240515,000000,11.8,11.8,10.68,11,2138,0
PPYAU.US,D,20240516,000000,11.74,11.74,11,11.1,4138,0
PPYAU.US,D,20240517,000000,11.78,11.9,11.1,11.7,2604,0
PPYAU.US,D,20240520,000000,12,12,10.85,11,2754,0
PPYAU.US,D,20240521,000000,11.15,11.49,11.01,11.01,3010,0
PPYAU.US,D,20240522,000000,10.94,10.95,10.94,10.95,1532,0
PPYAU.US,D,20240529,000000,11,11.03,10.9,10.9,4498,0
PPYAU.US,D,20240531,000000,11.71,12.1199,11.71,12.1199,200,0
PPYAU.US,D,20240603,000000,11.15,11.15,11.15,11.15,500,0
PPYAU.US,D,20240617,000000,11.22,11.9,11.22,11.9,1503,0
PPYAU.US,D,20240621,000000,11.58,11.58,11.58,11.58,1503,0
PPYAU.US,D,20240627,000000,11.5,11.8,11.5,11.75,1098,0
PPYAU.US,D,20240709,000000,11.1,11.6,11.06,11.6,2412,0
PPYAU.US,D,20240719,000000,11.49,11.6,11.49,11.6,202,0
PPYAU.US,D,20240722,000000,11.69,11.69,11.69,11.69,200,0
PPYAU.US,D,20240725,000000,12.4,12.4,12.4,12.4,100,0
PPYAU.US,D,20240801,000000,11.89,11.89,11.89,11.89,300,0
PPYAU.US,D,20240819,000000,10.95,11.39,10.95,11.39,1164,0
PPYAU.US,D,20240821,000000,11.39,12.53,10.91,11.99,1508,0
PPYAU.US,D,20240822,000000,11.39,11.6,11.39,11.6,300,0
PPYAU.US,D,20240830,000000,11.39,12.45,11.2,11.2,700,0
PPYAU.US,D,20240904,000000,11.07,11.07,11.01,11.01,200,0
PPYAU.US,D,20240905,000000,11.01,11.01,11.01,11.01,100,0
PPYAU.US,D,20241016,000000,11.01,11.01,11.01,11.01,300,0
PPYAU.US,D,20241017,000000,11.01,11.01,11.01,11.01,200,0
