<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTHL.US,D,20240905,000000,3.76,4.48,3.57,3.78,2242800,0
PTHL.US,D,20240906,000000,4.2,4.2,3.5205,3.9,596406,0
PTHL.US,D,20240909,000000,3.65,3.99,3.36,3.54,167898,0
PTHL.US,D,20240910,000000,3.41,3.672,3.41,3.59,67080,0
PTHL.US,D,20240911,000000,3.63,3.9699,3.33,3.35,72235,0
PTHL.US,D,20240912,000000,3.32,3.96,3.32,3.88,264675,0
PTHL.US,D,20240913,000000,3.94,4.3989,3.8,4.1,174731,0
PTHL.US,D,20240916,000000,4.05,4.56,3.9416,4.49,321679,0
PTHL.US,D,20240917,000000,4.45,4.5,4.01,4.03,88187,0
PTHL.US,D,20240918,000000,4.21,4.33,4.0402,4.319,84594,0
PTHL.US,D,20240919,000000,4.24,4.3192,4.08,4.25,94867,0
PTHL.US,D,20240920,000000,4.2398,4.322,4.145,4.22,123829,0
PTHL.US,D,20240923,000000,4.325,4.75,4.02,4.34,1137778,0
PTHL.US,D,20240924,000000,4.1554,4.48,4.11,4.42,140905,0
PTHL.US,D,20240925,000000,4.48,5.51,4.4,5.45,382331,0
PTHL.US,D,20240926,000000,5.87,6.26,4.65,4.99,578311,0
PTHL.US,D,20240927,000000,5.11,5.11,4.7,4.83,29009,0
PTHL.US,D,20240930,000000,4.73,5.75,4.69,5.61,210994,0
PTHL.US,D,20241001,000000,5.86,6.139,5.1901,5.4,227180,0
PTHL.US,D,20241002,000000,5.73,6.45,5.4001,6.44,373867,0
PTHL.US,D,20241003,000000,6.4,6.45,5.8,5.92,178031,0
PTHL.US,D,20241004,000000,6,6.04,5.13,5.79,342019,0
PTHL.US,D,20241007,000000,5.645,6,5.5,5.7,115888,0
PTHL.US,D,20241008,000000,5.56,5.6,4.81,4.91,169534,0
PTHL.US,D,20241009,000000,5.04,5.45,4.6316,4.8,462256,0
PTHL.US,D,20241010,000000,4.98,5.12,4.82,5.03,140858,0
PTHL.US,D,20241011,000000,4.95,5.6,4.84,5.38,184082,0
PTHL.US,D,20241014,000000,5.5,5.5,5.0659,5.2,127557,0
PTHL.US,D,20241015,000000,5.32,5.84,5,5.43,343755,0
PTHL.US,D,20241016,000000,5.27,5.57,4.8801,4.99,168115,0
PTHL.US,D,20241017,000000,4.74,4.98,4.112,4.54,491488,0
PTHL.US,D,20241018,000000,4.38,4.68,4.2418,4.52,123284,0
PTHL.US,D,20241021,000000,4.39,5.15,4.3077,4.88,187674,0
PTHL.US,D,20241022,000000,4.89,5,4.5,4.97,110404,0
PTHL.US,D,20241023,000000,4.74,4.95,4.4,4.5,82887,0
PTHL.US,D,20241024,000000,4.8,4.83,4.3,4.48,128417,0
PTHL.US,D,20241025,000000,4.41,4.74,4.3,4.55,103747,0
PTHL.US,D,20241028,000000,4.68,4.68,4.44,4.61,118914,0
PTHL.US,D,20241029,000000,4.45,4.57,4.01,4.1,133151,0
