<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTIR.US,D,20240906,000000,25.07,25.619,23.44,24.5798,125018,0
PTIR.US,D,20240909,000000,28.5,31.68,28.2,31.53,160535,0
PTIR.US,D,20240910,000000,32.12,32.4,30,31.86,252396,0
PTIR.US,D,20240911,000000,30.46,31.98,29.74,31.9,120228,0
PTIR.US,D,20240912,000000,31.9,32.91,31.471,32.12,82417,0
PTIR.US,D,20240913,000000,32.06,33.939,32.06,33.1761,74297,0
PTIR.US,D,20240916,000000,33.63,35.7,33.279,34.6,130353,0
PTIR.US,D,20240917,000000,36.02,36.02,33.8,34.85,149320,0
PTIR.US,D,20240918,000000,33.84,36.0401,33.74,34.78,120879,0
PTIR.US,D,20240919,000000,35.92,36.55,34.42,35.6058,162711,0
PTIR.US,D,20240920,000000,34.07,36.34,33.341,36.18,86757,0
PTIR.US,D,20240923,000000,35.65,38.15,35.08,37.59,122414,0
PTIR.US,D,20240924,000000,37.74,37.74,34.7229,35.66,159493,0
PTIR.US,D,20240925,000000,35.35,36.029,34.641,35.94,149122,0
PTIR.US,D,20240926,000000,36.24,36.6199,34.938,35.84,54563,0
PTIR.US,D,20240927,000000,35.62,36.5599,34.91,35.38,53627,0
PTIR.US,D,20240930,000000,34.72,36.24,34.11,36.05,47036,0
PTIR.US,D,20241001,000000,36.38,36.61,33.89,34.7,60565,0
PTIR.US,D,20241002,000000,34.14,36.8699,34.08,36.63,102208,0
PTIR.US,D,20241003,000000,36.44,40.09,36.44,39.94,181041,0
PTIR.US,D,20241004,000000,40.94,42.05,40.37,41.56,166921,0
PTIR.US,D,20241007,000000,41.29,41.6,38.99,39.22,137494,0
PTIR.US,D,20241008,000000,40.03,44.4337,39.66,44.35,204503,0
PTIR.US,D,20241009,000000,44.68,48.3695,43.881,47.97,292610,0
PTIR.US,D,20241010,000000,47.51,49.58,46.3547,48.75,202442,0
PTIR.US,D,20241011,000000,48.5,50.66,46.731,48.72,240813,0
PTIR.US,D,20241014,000000,49.03,50.66,48.259,48.46,172115,0
PTIR.US,D,20241015,000000,48.69,49,44.28,46.32,278932,0
PTIR.US,D,20241016,000000,46.1,46.25,41.8,45.17,177359,0
PTIR.US,D,20241017,000000,45.75,46.6,44.5,45.25,145141,0
PTIR.US,D,20241018,000000,45.18,47.39,44.6122,47.39,135229,0
PTIR.US,D,20241021,000000,47.2,48.33,46.185,46.7,132260,0
PTIR.US,D,20241022,000000,46.64,48.4,45.97,47.25,101646,0
PTIR.US,D,20241023,000000,47.16,48.89,45.35,46.56,120277,0
PTIR.US,D,20241024,000000,47.09,48.94,46.7,48.58,110239,0
PTIR.US,D,20241025,000000,49.25,51.89,48.797,51.5,235040,0
PTIR.US,D,20241028,000000,51.94,52.04,51.115,51.78,169588,0
PTIR.US,D,20241029,000000,51.6,51.85,49.58,51.6,130955,0
