<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTLE.US,D,20241016,000000,4.25,4.67,4,4.07,2694300,0
PTLE.US,D,20241017,000000,4.1,4.49,4.04,4.14,302578,0
PTLE.US,D,20241018,000000,4.23,4.64,4.21,4.5,238559,0
PTLE.US,D,20241021,000000,4.37,4.8,4.3676,4.47,206305,0
PTLE.US,D,20241022,000000,4.45,4.59,4.26,4.3,144320,0
PTLE.US,D,20241023,000000,4.24,4.29,4.1532,4.18,90867,0
PTLE.US,D,20241024,000000,4.07,4.22,4.02,4.1101,41049,0
PTLE.US,D,20241025,000000,4.13,4.1682,4.07,4.11,15990,0
PTLE.US,D,20241028,000000,4.01,4.1799,4.01,4.14,37372,0
PTLE.US,D,20241029,000000,4.07,4.135,4.07,4.11,17225,0
