<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQA.US,D,20240719,000000,48.63,48.63,48.2516,48.2516,104514,0
QQA.US,D,20240722,000000,48.879,48.928,48.59,48.8655,106888,0
QQA.US,D,20240723,000000,48.89,48.8994,48.7222,48.7222,105681,0
QQA.US,D,20240724,000000,47.86,47.86,47.2835,47.2835,108586,0
QQA.US,D,20240725,000000,46.88,47.61,46.74,46.8973,112094,0
QQA.US,D,20240726,000000,47.2,47.37,47.16,47.2203,112597,0
QQA.US,D,20240729,000000,48,48,47.335,47.335,106087,0
QQA.US,D,20240730,000000,47.42,47.42,46.79,46.94,107074,0
QQA.US,D,20240731,000000,48.3,48.3,47.68,47.9754,110992,0
QQA.US,D,20240801,000000,48.165,48.1699,46.815,46.9705,106338,0
QQA.US,D,20240802,000000,46.97,46.97,45.7801,46.0301,111624,0
QQA.US,D,20240805,000000,45.09,45.29,44.7987,44.7987,113619,0
QQA.US,D,20240806,000000,45.58,45.7,45.2029,45.2029,114045,0
QQA.US,D,20240807,000000,45.56,45.56,44.9,44.9,90343,0
QQA.US,D,20240808,000000,45.705,45.9325,45.705,45.9325,90994,0
QQA.US,D,20240809,000000,46.01,46.42,45.97,46.42,111027,0
QQA.US,D,20240812,000000,46.42,46.555,46.243,46.2606,1954,0
QQA.US,D,20240813,000000,46.842,47.2342,46.842,47.2342,484,0
QQA.US,D,20240814,000000,46.99,47.3062,46.99,47.3062,635,0
QQA.US,D,20240815,000000,47.82,48.12,47.82,48.0603,2311,0
QQA.US,D,20240816,000000,48.2,48.26,47.84,48.1431,2661,0
QQA.US,D,20240819,000000,47.79,48.2,47.7735,48.1155,1871,0
QQA.US,D,20240820,000000,48.0746,48.2,48.02,48.0994,1955,0
QQA.US,D,20240821,000000,48.28,48.32,48.1895,48.24,1148,0
QQA.US,D,20240822,000000,49.34,49.34,47.7142,47.7142,2439,0
QQA.US,D,20240823,000000,48.18,48.29,48.0315,48.123,1161,0
QQA.US,D,20240826,000000,48.35,48.35,47.77,47.8085,1591,0
QQA.US,D,20240827,000000,48.0299,48.15,47.884,47.9198,2032,0
QQA.US,D,20240828,000000,47.97,47.97,47.42,47.5818,2596,0
QQA.US,D,20240829,000000,48.2,48.36,47.58,47.623,1897,0
QQA.US,D,20240830,000000,48.12,48.17,47.7,48.0142,1287,0
QQA.US,D,20240903,000000,47.26,47.35,46.82,46.8749,75619,0
QQA.US,D,20240904,000000,46.76,47.07,46.7,47.07,1696,0
QQA.US,D,20240905,000000,46.76,47.02,46.69,46.8886,374231,0
QQA.US,D,20240906,000000,45.85,46.03,45.8435,45.8435,793,0
QQA.US,D,20240909,000000,47.18,47.18,46.23,46.3963,4089,0
QQA.US,D,20240910,000000,45.58,46.7689,45.58,46.7689,3053,0
QQA.US,D,20240911,000000,46.69,47.6688,46.69,47.6688,1888,0
QQA.US,D,20240912,000000,47.89,48.2,47.5501,47.9579,3129,0
QQA.US,D,20240913,000000,48.02,48.175,48.017,48.175,594,0
QQA.US,D,20240916,000000,48.1,48.1,48.01,48.01,1639,0
QQA.US,D,20240917,000000,48.25,48.41,47.9629,48.06,2349,0
QQA.US,D,20240918,000000,48.1,48.33,47.9447,47.9447,1050,0
QQA.US,D,20240919,000000,48.75,49.12,48.75,49.0749,4750,0
QQA.US,D,20240920,000000,48.85,48.85,48.4027,48.6952,8608,0
QQA.US,D,20240923,000000,48.49,48.505,48.31,48.4043,4530,0
QQA.US,D,20240924,000000,48.55,48.55,48.265,48.4833,1899,0
QQA.US,D,20240925,000000,48.59,48.61,48.4901,48.535,657,0
QQA.US,D,20240926,000000,49.01,49.09,48.6535,48.7985,1937,0
QQA.US,D,20240927,000000,48.89,48.89,48.58,48.7025,4489,0
QQA.US,D,20240930,000000,49.16,49.16,48.52,48.7684,1719,0
QQA.US,D,20241001,000000,48.81,49.52,48.1,48.3139,2490,0
QQA.US,D,20241002,000000,48.3,48.55,48.22,48.4583,9816,0
QQA.US,D,20241003,000000,48.39,48.6,48.2133,48.3542,2851,0
QQA.US,D,20241004,000000,48.89,48.96,48.56,48.9045,18799,0
QQA.US,D,20241007,000000,48.9,48.95,48.33,48.4294,3701,0
QQA.US,D,20241008,000000,48.69,48.9713,48.69,48.9713,2331,0
QQA.US,D,20241009,000000,47.79,49.24,47.79,49.21,10771,0
QQA.US,D,20241010,000000,49.24,49.34,49.0401,49.185,3478,0
QQA.US,D,20241011,000000,49.045,49.68,49.045,49.305,2969,0
QQA.US,D,20241014,000000,49.59,50.68,49.2753,49.9,6901,0
QQA.US,D,20241015,000000,49.77,49.77,49.0305,49.1325,14812,0
QQA.US,D,20241016,000000,49.35,49.35,49.01,49.215,2702,0
QQA.US,D,20241017,000000,49.56,49.59,49.19,49.59,6518,0
QQA.US,D,20241018,000000,49.64,50.07,49.3021,49.4845,9996,0
QQA.US,D,20241021,000000,49.97,49.97,48.92,49.45,9558,0
QQA.US,D,20241022,000000,49.1,49.28,49.03,49.2,5879,0
QQA.US,D,20241023,000000,49.19,49.19,48.4201,48.6253,7504,0
QQA.US,D,20241024,000000,48.98,49.17,48.89,49.17,5930,0
QQA.US,D,20241025,000000,49.33,49.72,49.2001,49.32,8943,0
QQA.US,D,20241028,000000,49.6,49.66,49.07,49.4,7071,0
QQA.US,D,20241029,000000,49.4,49.5,49.3401,49.5,3888,0
