<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDACU.US,D,20241011,000000,10.01,10.02,10,10,2454000,0
RDACU.US,D,20241014,000000,10.01,10.01,10,10.01,82099,0
RDACU.US,D,20241015,000000,10.01,10.02,10.01,10.02,13452,0
RDACU.US,D,20241016,000000,10.02,10.02,9.98,10,205243,0
RDACU.US,D,20241017,000000,10,10.02,10,10,40878,0
RDACU.US,D,20241018,000000,10.01,10.01,10.01,10.01,1156,0
RDACU.US,D,20241021,000000,10.01,10.01,10.01,10.01,165,0
RDACU.US,D,20241022,000000,10.01,10.01,10.01,10.01,229,0
RDACU.US,D,20241023,000000,10.02,10.02,10.01,10.015,39332,0
RDACU.US,D,20241024,000000,10.01,10.01,10.01,10.01,3550,0
RDACU.US,D,20241025,000000,10.02,10.02,10.01,10.01,52635,0
RDACU.US,D,20241028,000000,10.02,10.0281,10.02,10.0281,1079,0
RDACU.US,D,20241029,000000,10.03,10.035,10.0277,10.035,44280,0
