<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REVB.US,D,20201118,000000,10290,10290,10290,10290,238.09524142857,0
REVB.US,D,20201127,000000,11340,11340,10290,10290,10.77333348416,0
REVB.US,D,20201130,000000,10489.5,10489.5,10489.5,10489.5,0.83428572596571,0
REVB.US,D,20201201,000000,10489.5,10500,10395,10395,15.164762117069,0
REVB.US,D,20201202,000000,10395,10447.5,10395,10447.5,16.501904992931,0
REVB.US,D,20201204,000000,10447.5,10447.7,10395,10395,3.0514286141486,0
REVB.US,D,20201207,000000,10489.5,10489.5,10489.5,10489.5,0.45619048257714,0
REVB.US,D,20201208,000000,10489.5,10531.5,10489.5,10489.5,9.2028572716971,0
REVB.US,D,20201209,000000,10552.4,10552.5,10489.5,10489.5,194.87714558542,0
REVB.US,D,20201210,000000,10500,10521,10500,10500,14.804762112029,0
REVB.US,D,20201211,000000,10594.5,10920,10531.5,10531.5,4.2333333926,0
REVB.US,D,20201214,000000,10708.4,10708.4,10708.4,10708.4,0.50761905472571,0
REVB.US,D,20201216,000000,10542,10542,10542,10542,0.61333334192,0
REVB.US,D,20201217,000000,10605,10605,10547.3,10547.3,0.70190477173143,0
REVB.US,D,20201218,000000,10510.5,10589.9,10510.5,10589.9,0.65714286634286,0
REVB.US,D,20201223,000000,10552.5,10815,10552.5,10794,10.814285865686,0
REVB.US,D,20201224,000000,10552.5,10767.8,10552.5,10579.6,1.7247619289086,0
REVB.US,D,20201228,000000,10605,10794,10395,10540.5,27.836190865897,0
REVB.US,D,20201229,000000,10552.6,10594.5,10531.5,10531.5,110.54285869046,0
REVB.US,D,20201230,000000,10552.5,10563,10521,10521,16.110476416023,0
REVB.US,D,20201231,000000,10500,10615.5,10489.5,10552.5,9.3104763208229,0
REVB.US,D,20210104,000000,10552.5,10668,10552.5,10668,7.7590477276743,0
REVB.US,D,20210105,000000,10668,10815,10668,10668,4.65333339848,0
REVB.US,D,20210106,000000,10794,10800.3,10657.5,10657.5,1.0485714432514,0
REVB.US,D,20210107,000000,10794,10801.9,10652.3,10662.8,9.6342858491657,0
REVB.US,D,20210108,000000,10762.5,10781.4,10762.5,10762.5,6.5019048529314,0
REVB.US,D,20210111,000000,10563,10741.4,10552.5,10741.4,1.2276190648057,0
REVB.US,D,20210112,000000,10804.5,10815,10804.5,10815,115.81333495472,0
REVB.US,D,20210113,000000,10605.1,10704.8,10605.1,10704.8,0.86857144073143,0
REVB.US,D,20210114,000000,10815,10815,10699.6,10699.6,1.1295238253371,0
REVB.US,D,20210115,000000,10783.5,10783.5,10710,10710,2.7695238482971,0
REVB.US,D,20210119,000000,10731,10731,10626,10636.5,13.239047804394,0
REVB.US,D,20210120,000000,10699.5,10794.6,10699.5,10794.6,3.4342857623657,0
REVB.US,D,20210121,000000,10626.1,10815,10626.1,10815,7.3828572462171,0
REVB.US,D,20210122,000000,10867.5,10867.5,10741.5,10762.5,1.0704762054629,0
REVB.US,D,20210125,000000,10762.4,10762.4,10584,10657.5,52.540953116526,0
REVB.US,D,20210126,000000,10668.1,10752,10668.1,10752,0.59809524646857,0
REVB.US,D,20210127,000000,10573.5,10699.5,10573.5,10636.5,5.6323810312343,0
REVB.US,D,20210128,000000,10647,10706.3,10584,10636.5,53.8000007532,0
REVB.US,D,20210129,000000,10594.5,10626,10594.5,10626,1.5276190690057,0
REVB.US,D,20210201,000000,10657.5,10657.5,10636.5,10636.5,3.3485714754514,0
REVB.US,D,20210202,000000,10762.5,10762.5,10762.5,10762.5,0.93142858446857,0
REVB.US,D,20210203,000000,10752,10762.5,10752,10752,4.5257143490743,0
REVB.US,D,20210204,000000,10752,11268.3,10752,11025,33.820952854446,0
REVB.US,D,20210205,000000,10998.8,10998.8,10794,10920,2.0857143149143,0
REVB.US,D,20210208,000000,11172,11172,10794,10794,26.362857511937,0
REVB.US,D,20210209,000000,10815,10962,10815,10825.5,31.881905208251,0
REVB.US,D,20210210,000000,10825.5,10878,10815,10867.5,6.8971429537029,0
REVB.US,D,20210211,000000,10872.8,11004,10815,11004,25.550476548183,0
REVB.US,D,20210212,000000,10899,10899,10794,10794,5.07333340436,0
REVB.US,D,20210216,000000,10815,10983,10762.5,10815,18.674285975726,0
REVB.US,D,20210217,000000,10815,10972.5,10773,10962,0.42190476781143,0
REVB.US,D,20210218,000000,10873.3,10993.5,10815,10888.5,10.587619195846,0
