<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFAIR.US,D,20240708,000000,0.08,0.09,0.08,0.08,361300,0
RFAIR.US,D,20240709,000000,0.08,0.08,0.07,0.07,637700,0
RFAIR.US,D,20240710,000000,0.07,0.07,0.06,0.06,600,0
RFAIR.US,D,20240711,000000,0.07,0.07,0.07,0.07,69505,0
RFAIR.US,D,20240716,000000,0.07,0.07,0.07,0.07,80728,0
RFAIR.US,D,20240718,000000,0.06,0.0659,0.06,0.0659,50000,0
RFAIR.US,D,20240722,000000,0.06,0.06,0.06,0.06,20006,0
RFAIR.US,D,20240724,000000,0.06,0.06,0.06,0.06,50014,0
RFAIR.US,D,20240729,000000,0.068249,0.068249,0.068249,0.068249,1000,0
RFAIR.US,D,20240730,000000,0.07,0.07,0.0601,0.0601,2500,0
RFAIR.US,D,20240801,000000,0.0601,0.0601,0.0601,0.0601,2000,0
RFAIR.US,D,20240802,000000,0.06,0.06,0.06,0.06,1000,0
RFAIR.US,D,20240805,000000,0.0601,0.062,0.0601,0.0619,929,0
RFAIR.US,D,20240812,000000,0.09,0.09,0.09,0.09,195,0
RFAIR.US,D,20240813,000000,0.066,0.066,0.0601,0.0601,1025,0
RFAIR.US,D,20240814,000000,0.0841,0.0841,0.0841,0.0841,121,0
RFAIR.US,D,20240815,000000,0.09,0.09,0.066,0.066,702,0
RFAIR.US,D,20240816,000000,0.0761,0.08,0.0761,0.079006,5701,0
RFAIR.US,D,20240819,000000,0.0601,0.08,0.06,0.06,112055,0
RFAIR.US,D,20240820,000000,0.06,0.062,0.06,0.061,103205,0
RFAIR.US,D,20240821,000000,0.065051,0.065051,0.06,0.0601,24929,0
RFAIR.US,D,20240822,000000,0.0698,0.0698,0.0698,0.0698,242,0
RFAIR.US,D,20240823,000000,0.06,0.07,0.06,0.0601,13884,0
RFAIR.US,D,20240826,000000,0.065,0.07,0.065,0.07,200251,0
RFAIR.US,D,20240827,000000,0.08,0.08,0.0602,0.0602,2400,0
RFAIR.US,D,20240828,000000,0.060101,0.08,0.0601,0.0601,3556,0
RFAIR.US,D,20240903,000000,0.0799,0.0799,0.0601,0.0639,3039,0
RFAIR.US,D,20240904,000000,0.0768,0.08,0.076,0.08,2769,0
RFAIR.US,D,20240905,000000,0.0602,0.0799,0.0602,0.0799,5070,0
RFAIR.US,D,20240909,000000,0.0652,0.0652,0.0652,0.0652,1050,0
RFAIR.US,D,20240912,000000,0.074,0.074,0.0602,0.0713,3983,0
RFAIR.US,D,20240916,000000,0.0601,0.064757,0.0601,0.064757,14557,0
RFAIR.US,D,20240918,000000,0.0623,0.0628,0.0602,0.0627,2020,0
RFAIR.US,D,20240920,000000,0.0713,0.0714,0.0713,0.0714,250,0
RFAIR.US,D,20240924,000000,0.0602,0.0602,0.0602,0.0602,2000,0
RFAIR.US,D,20240926,000000,0.067101,0.067101,0.0626,0.064823,2140,0
RFAIR.US,D,20240927,000000,0.0602,0.0629,0.0602,0.0628,1700,0
RFAIR.US,D,20240930,000000,0.074,0.074,0.0633,0.0633,2000,0
RFAIR.US,D,20241007,000000,0.0629,0.0629,0.06,0.0602,401100,0
RFAIR.US,D,20241008,000000,0.0636,0.065,0.0602,0.065,2701,0
RFAIR.US,D,20241009,000000,0.065,0.065,0.065,0.065,810,0
RFAIR.US,D,20241010,000000,0.062101,0.07,0.062,0.0621,2362,0
RFAIR.US,D,20241011,000000,0.0628,0.0628,0.0628,0.0628,155,0
RFAIR.US,D,20241014,000000,0.0627,0.0627,0.0627,0.0627,829,0
RFAIR.US,D,20241015,000000,0.062,0.062,0.062,0.062,1000,0
RFAIR.US,D,20241018,000000,0.0636,0.0636,0.062,0.062,3700,0
RFAIR.US,D,20241021,000000,0.0601,0.0601,0.0601,0.0601,2800,0
RFAIR.US,D,20241024,000000,0.062,0.062,0.06,0.0602,252500,0
