<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVMDW.US,D,20231121,000000,1.05,1.05,0.99,0.99,1350,0
RVMDW.US,D,20231124,000000,0.836,0.8736,0.836,0.8736,200,0
RVMDW.US,D,20231127,000000,0.7315,0.7644,0.7315,0.7644,300,0
RVMDW.US,D,20231130,000000,0.7694,0.7694,0.55,0.55,3450,0
RVMDW.US,D,20231201,000000,0.35,0.5,0.35,0.41,2414,0
RVMDW.US,D,20231204,000000,0.360001,0.4001,0.0318,0.35,256517,0
RVMDW.US,D,20231205,000000,0.2112,1,0.13,0.35,19792,0
RVMDW.US,D,20231206,000000,0.17,0.6,0.17,0.3,1434,0
RVMDW.US,D,20231207,000000,0.2999,0.3301,0.2999,0.3301,13094,0
RVMDW.US,D,20231208,000000,0.33,0.3301,0.33,0.33,135645,0
RVMDW.US,D,20231211,000000,0.33,0.3301,0.33,0.3301,732,0
RVMDW.US,D,20231212,000000,0.33,0.395001,0.33,0.395001,570,0
RVMDW.US,D,20231213,000000,0.33,0.41,0.33,0.33,2382,0
RVMDW.US,D,20231214,000000,0.33,0.34,0.33,0.33,204041,0
RVMDW.US,D,20231215,000000,0.3345,0.3345,0.33,0.33001,1583,0
RVMDW.US,D,20231218,000000,0.33,0.362,0.33,0.362,1162,0
RVMDW.US,D,20231219,000000,0.3301,0.3301,0.2,0.326,2057,0
RVMDW.US,D,20231220,000000,0.33,0.4,0.33,0.4,447,0
RVMDW.US,D,20231221,000000,0.33,0.365001,0.33,0.365001,818,0
RVMDW.US,D,20231222,000000,0.39,0.4,0.33,0.4,3110,0
RVMDW.US,D,20231226,000000,0.33,0.375,0.33,0.33,2755,0
RVMDW.US,D,20231227,000000,0.33,0.3301,0.33,0.33,1403,0
RVMDW.US,D,20231228,000000,0.365001,0.365001,0.33,0.3603,6140,0
RVMDW.US,D,20231229,000000,0.365001,0.365001,0.33,0.33,1035,0
RVMDW.US,D,20240102,000000,0.25,0.4,0.25,0.4,936,0
RVMDW.US,D,20240103,000000,0.3312,0.3312,0.2839,0.33,119276,0
RVMDW.US,D,20240104,000000,0.35,0.41,0.221,0.221,217071,0
RVMDW.US,D,20240105,000000,0.2511,0.3399,0.2322,0.2322,13052,0
RVMDW.US,D,20240108,000000,0.28,0.28,0.21,0.211,1276,0
RVMDW.US,D,20240109,000000,0.28,0.28,0.21,0.231,1939,0
RVMDW.US,D,20240110,000000,0.27,0.4899,0.21,0.2487,1794,0
RVMDW.US,D,20240111,000000,0.24,0.24,0.18,0.2011,20755,0
RVMDW.US,D,20240112,000000,0.2001,0.2499,0.2001,0.2499,2599,0
RVMDW.US,D,20240116,000000,0.19,0.2799,0.19,0.19,1828,0
RVMDW.US,D,20240117,000000,0.18,0.3249,0.18,0.3249,265,0
RVMDW.US,D,20240118,000000,0.2997,0.2997,0.23,0.23,1476,0
RVMDW.US,D,20240122,000000,0.21,0.273,0.2001,0.273,1272,0
RVMDW.US,D,20240123,000000,0.24,0.24,0.2,0.2,3657,0
RVMDW.US,D,20240125,000000,0.161,0.18,0.161,0.18,862,0
RVMDW.US,D,20240126,000000,0.21,0.25,0.1914,0.1914,5583,0
RVMDW.US,D,20240129,000000,0.2398,0.2398,0.2014,0.2014,7734,0
RVMDW.US,D,20240130,000000,0.19,0.19,0.18,0.18,663,0
RVMDW.US,D,20240201,000000,0.1601,0.162,0.1601,0.1611,1133,0
RVMDW.US,D,20240202,000000,0.2399,0.2399,0.18,0.1899,2306,0
RVMDW.US,D,20240205,000000,0.1601,0.2798,0.1601,0.25,21365,0
RVMDW.US,D,20240206,000000,0.25,0.25,0.25,0.25,10065,0
RVMDW.US,D,20240207,000000,0.2,0.2,0.2,0.2,192,0
RVMDW.US,D,20240208,000000,0.201,0.201,0.201,0.201,321,0
RVMDW.US,D,20240209,000000,0.161101,0.200521,0.161,0.161,2363,0
RVMDW.US,D,20240212,000000,0.181,0.239,0.18,0.239,2004,0
RVMDW.US,D,20240213,000000,0.21,0.21,0.162,0.162,2403,0
RVMDW.US,D,20240214,000000,0.1693,0.1846,0.16,0.1778,16440,0
RVMDW.US,D,20240215,000000,0.2088,0.2593,0.1888,0.1888,23497,0
RVMDW.US,D,20240216,000000,0.26,0.26,0.202,0.202,8257,0
RVMDW.US,D,20240220,000000,0.1617,0.19,0.1617,0.19,694,0
RVMDW.US,D,20240221,000000,0.18,0.21,0.18,0.21,472,0
RVMDW.US,D,20240222,000000,0.171,0.205,0.171,0.1804,924,0
RVMDW.US,D,20240223,000000,0.172,0.211001,0.172,0.21,3552,0
RVMDW.US,D,20240226,000000,0.2097,0.210001,0.161,0.161,360,0
RVMDW.US,D,20240227,000000,0.21,0.245,0.2053,0.2053,2713,0
RVMDW.US,D,20240229,000000,0.21,0.249,0.150201,0.229,5336,0
RVMDW.US,D,20240301,000000,0.2,0.2488,0.2,0.2401,5368,0
RVMDW.US,D,20240304,000000,0.19505,0.24,0.1701,0.24,5705,0
RVMDW.US,D,20240305,000000,0.132701,0.132701,0.122,0.132,7700,0
RVMDW.US,D,20240306,000000,0.15,0.1561,0.12,0.1561,1714,0
RVMDW.US,D,20240307,000000,0.17,0.17,0.17,0.17,280,0
RVMDW.US,D,20240308,000000,0.1693,0.1693,0.144,0.15,919,0
RVMDW.US,D,20240311,000000,0.131,0.229,0.122,0.1361,2562,0
RVMDW.US,D,20240312,000000,0.1685,0.1685,0.1685,0.1685,147,0
RVMDW.US,D,20240313,000000,0.1683,0.1758,0.1451,0.1451,913,0
