<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RZLV.US,D,20240819,000000,10.12,11.9999,8.2,8.2,48442,0
RZLV.US,D,20240820,000000,9.01,9.32,7.84,8.05,40892,0
RZLV.US,D,20240821,000000,8.63,12.29,8,8.84,217193,0
RZLV.US,D,20240822,000000,11.01,11.9573,10.0001,10.31,238567,0
RZLV.US,D,20240823,000000,11,11.07,9.5,10.05,65482,0
RZLV.US,D,20240826,000000,10.05,10.36,9.6801,10.05,73509,0
RZLV.US,D,20240827,000000,10.08,10.08,8.25,8.9,67100,0
RZLV.US,D,20240828,000000,8.63,8.7,7.01,7.89,54034,0
RZLV.US,D,20240829,000000,8,8.3,7.08,7.29,40624,0
RZLV.US,D,20240830,000000,7.49,8.89,7.27,8.78,51904,0
RZLV.US,D,20240903,000000,9.5,9.5,8.12,8.7,33686,0
RZLV.US,D,20240904,000000,8.8,9.03,8.0101,8.5,18567,0
RZLV.US,D,20240905,000000,8.78,8.78,8.33,8.7,59132,0
RZLV.US,D,20240906,000000,8.99,9.56,8.71,9.3,42285,0
RZLV.US,D,20240909,000000,9.8,10,7.57,7.58,128173,0
RZLV.US,D,20240910,000000,7.7,8.16,6.8,7,51278,0
RZLV.US,D,20240911,000000,6.91,7.135,6.41,6.62,14603,0
RZLV.US,D,20240912,000000,6.98,6.99,6.15,6.51,34161,0
RZLV.US,D,20240913,000000,6.9,6.9,6.3299,6.33,24737,0
RZLV.US,D,20240916,000000,6.4,6.4,4.89,5.6858,37644,0
RZLV.US,D,20240917,000000,5.91,7.6,5.0049,5.15,364257,0
RZLV.US,D,20240918,000000,5.15,5.15,4.75,4.75,59113,0
RZLV.US,D,20240919,000000,8.13,10.76,5.62,7,7604573,0
RZLV.US,D,20240920,000000,6.05,6.9944,6.05,6.36,421668,0
RZLV.US,D,20240923,000000,6.21,6.21,5.48,5.53,161998,0
RZLV.US,D,20240924,000000,5.44,5.58,4.81,4.92,174660,0
RZLV.US,D,20240925,000000,5.32,8.12,5.3,7.52,3173486,0
RZLV.US,D,20240926,000000,8.4,9,6.9,7.23,712483,0
RZLV.US,D,20240927,000000,7,7.95,7,7.38,219445,0
RZLV.US,D,20240930,000000,7.15,7.7267,6.51,6.71,126688,0
RZLV.US,D,20241001,000000,6.97,7.2499,6.0101,6.62,41973,0
RZLV.US,D,20241002,000000,6.45,7.2,6.3701,6.82,43547,0
RZLV.US,D,20241003,000000,8.58,9.448,6.4112,7.18,5379172,0
RZLV.US,D,20241004,000000,7.06,7.5,6.32,6.91,565150,0
RZLV.US,D,20241007,000000,6.75,7.23,6.66,6.86,276844,0
RZLV.US,D,20241008,000000,7.9,8.0799,6.81,6.91,1136447,0
RZLV.US,D,20241009,000000,7.18,7.32,6.91,7.1,320596,0
RZLV.US,D,20241010,000000,7.01,7.24,6.92,7.06,165585,0
RZLV.US,D,20241011,000000,7.02,7.09,6.56,6.87,190019,0
RZLV.US,D,20241014,000000,6.67,7.08,6.6504,6.79,93089,0
RZLV.US,D,20241015,000000,6.78,6.9324,6.35,6.68,103384,0
RZLV.US,D,20241016,000000,6.55,6.59,6.01,6.07,162686,0
RZLV.US,D,20241017,000000,6.06,6.29,5.55,5.74,189839,0
RZLV.US,D,20241018,000000,5.52,5.72,5.14,5.28,275078,0
RZLV.US,D,20241021,000000,5.25,5.49,5.25,5.41,74663,0
RZLV.US,D,20241022,000000,5.42,5.4984,5.1,5.13,101484,0
RZLV.US,D,20241023,000000,5.06,5.18,4.93,5,92452,0
RZLV.US,D,20241024,000000,4.95,5.11,4.9006,5.1,68597,0
RZLV.US,D,20241025,000000,5.29,5.29,5.01,5.08,88792,0
RZLV.US,D,20241028,000000,5.06,5.26,4.85,5,110080,0
RZLV.US,D,20241029,000000,4.95,5.04,4.8,4.93,105972,0
