<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RZLVW.US,D,20240819,000000,0.14,0.195,0.14,0.195,383,0
RZLVW.US,D,20240820,000000,0.1401,0.1401,0.14,0.14,419,0
RZLVW.US,D,20240821,000000,0.1579,0.1698,0.1485,0.1485,2805,0
RZLVW.US,D,20240822,000000,0.183,0.183,0.1287,0.17,37322,0
RZLVW.US,D,20240823,000000,0.1911,0.1911,0.101,0.101,1561,0
RZLVW.US,D,20240827,000000,0.1911,0.1929,0.11,0.114,1233,0
RZLVW.US,D,20240828,000000,0.1126,0.1126,0.11,0.11,1907,0
RZLVW.US,D,20240829,000000,0.1133,0.1133,0.0922,0.1,1353,0
RZLVW.US,D,20240830,000000,0.1188,0.1255,0.1,0.1255,5372,0
RZLVW.US,D,20240903,000000,0.1174,0.119151,0.0887,0.105,35553,0
RZLVW.US,D,20240904,000000,0.1075,0.1075,0.085,0.095,4685,0
RZLVW.US,D,20240905,000000,0.1247,0.1247,0.0975,0.0975,4652,0
RZLVW.US,D,20240906,000000,0.1074,0.1221,0.1074,0.1125,43623,0
RZLVW.US,D,20240909,000000,0.1025,0.1025,0.0848,0.0848,6353,0
RZLVW.US,D,20240910,000000,0.1,0.1,0.1,0.1,147,0
RZLVW.US,D,20240911,000000,0.085,0.085001,0.085,0.085001,2416,0
RZLVW.US,D,20240916,000000,0.085,0.085,0.075,0.075,2537,0
RZLVW.US,D,20240917,000000,0.11,0.1164,0.0568,0.0581,161796,0
RZLVW.US,D,20240918,000000,0.0582,0.0582,0.0582,0.0582,1198,0
RZLVW.US,D,20240919,000000,0.1191,0.164151,0.1191,0.1298,763199,0
RZLVW.US,D,20240920,000000,0.1218,0.1611,0.1218,0.1552,117355,0
RZLVW.US,D,20240923,000000,0.14,0.14,0.1341,0.1341,1073,0
RZLVW.US,D,20240924,000000,0.101,0.15,0.101,0.15,10838,0
RZLVW.US,D,20240925,000000,0.1708,0.19,0.15,0.16,114352,0
RZLVW.US,D,20240926,000000,0.1899,0.1948,0.122,0.141,261991,0
RZLVW.US,D,20240927,000000,0.17,0.1919,0.1612,0.1915,124153,0
RZLVW.US,D,20240930,000000,0.18,0.18,0.18,0.18,2554,0
RZLVW.US,D,20241001,000000,0.1616,0.1616,0.1616,0.1616,101,0
RZLVW.US,D,20241002,000000,0.17,0.19,0.17,0.1799,32422,0
RZLVW.US,D,20241003,000000,0.19,0.35,0.15,0.2,549269,0
RZLVW.US,D,20241004,000000,0.27,0.27,0.155,0.185,74922,0
RZLVW.US,D,20241007,000000,0.1881,0.2322,0.1881,0.2,10798,0
RZLVW.US,D,20241008,000000,0.266,0.266,0.2279,0.23,35379,0
RZLVW.US,D,20241009,000000,0.255,0.2574,0.22,0.24,7997,0
RZLVW.US,D,20241010,000000,0.25,0.25,0.2,0.22,22397,0
RZLVW.US,D,20241011,000000,0.2375,0.2375,0.15,0.17,113485,0
RZLVW.US,D,20241014,000000,0.160999,0.182,0.160999,0.17,29703,0
RZLVW.US,D,20241016,000000,0.187899,0.187899,0.14,0.145,22262,0
RZLVW.US,D,20241017,000000,0.1336,0.1485,0.1269,0.1485,13794,0
RZLVW.US,D,20241018,000000,0.14204,0.14204,0.122701,0.1231,10120,0
RZLVW.US,D,20241021,000000,0.12,0.157,0.116,0.1493,27250,0
RZLVW.US,D,20241022,000000,0.1488,0.1488,0.1212,0.135051,3300,0
RZLVW.US,D,20241023,000000,0.1389,0.1489,0.134,0.1489,6705,0
RZLVW.US,D,20241024,000000,0.1393,0.1393,0.125,0.125,1010,0
RZLVW.US,D,20241025,000000,0.136,0.136,0.136,0.136,6473,0
RZLVW.US,D,20241028,000000,0.136,0.136,0.136,0.136,107,0
RZLVW.US,D,20241029,000000,0.1307,0.136,0.1301,0.1337,9460,0
