<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAIHW.US,D,20240918,000000,0.0404,0.0404,0.0404,0.0404,200,0
SAIHW.US,D,20240920,000000,0.0404,0.1092,0.035,0.1092,4600,0
SAIHW.US,D,20240923,000000,0.08,0.157125,0.08,0.157125,12130,0
SAIHW.US,D,20240930,000000,0.085,0.085,0.085,0.085,275,0
SAIHW.US,D,20241001,000000,0.1263,0.1466,0.091,0.1466,7176,0
SAIHW.US,D,20241002,000000,0.085,0.085,0.085,0.085,120,0
SAIHW.US,D,20241003,000000,0.1337,0.135,0.1337,0.134999,1800,0
SAIHW.US,D,20241004,000000,0.1337,0.1337,0.1098,0.1098,12401,0
SAIHW.US,D,20241007,000000,0.11,0.11,0.11,0.11,5000,0
SAIHW.US,D,20241008,000000,0.11,0.11,0.11,0.11,2503,0
SAIHW.US,D,20241009,000000,0.11,0.11,0.11,0.11,7909,0
SAIHW.US,D,20241010,000000,0.11,0.110001,0.11,0.11,4428,0
SAIHW.US,D,20241014,000000,0.110001,0.110001,0.11,0.11,1909,0
SAIHW.US,D,20241015,000000,0.11,0.110001,0.11,0.11,26099,0
SAIHW.US,D,20241016,000000,0.1164,0.23,0.1137,0.1322,48185,0
SAIHW.US,D,20241017,000000,0.13,0.13,0.11,0.1232,1500,0
SAIHW.US,D,20241018,000000,0.12,0.12,0.12,0.12,20130,0
SAIHW.US,D,20241021,000000,0.12,0.1231,0.11,0.1231,63315,0
SAIHW.US,D,20241022,000000,0.1212,0.158,0.12,0.158,70932,0
