<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBFM.US,D,20100921,000000,3600000,4400000,3600000,4400000,0,0
SBFM.US,D,20100923,000000,5600000,6000000,5600000,6000000,0,0
SBFM.US,D,20100928,000000,6000000,6240000,6000000,6240000,0,0
SBFM.US,D,20101005,000000,6240000,9520000,5600000,9520000,0,0
SBFM.US,D,20101006,000000,6800000,6800000,6800000,6800000,0,0
SBFM.US,D,20101007,000000,6800000,6800000,6800000,6800000,0,0
SBFM.US,D,20101013,000000,6400000,6400000,6400000,6400000,0,0
SBFM.US,D,20101014,000000,7200000,7200000,7200000,7200000,0,0
SBFM.US,D,20101015,000000,7200000,7600000,7200000,7600000,0,0
SBFM.US,D,20101018,000000,8080000,8080000,7920000,7920000,0,0
SBFM.US,D,20101019,000000,8080000,10000000,8080000,10000000,0,0
SBFM.US,D,20101020,000000,10000000,10000000,8400000,8400000,0,0
SBFM.US,D,20101021,000000,9200000,9200000,8720000,8720000,0,0
SBFM.US,D,20101022,000000,9200000,9440000,9120000,9440000,0,0
SBFM.US,D,20101025,000000,9520000,9520000,9520000,9520000,0,0
SBFM.US,D,20101028,000000,9200000,9200000,9200000,9200000,0,0
SBFM.US,D,20101029,000000,9120000,9120000,8800000,8800000,0,0
SBFM.US,D,20101101,000000,8400000,8400000,8080000,8080000,0,0
SBFM.US,D,20101103,000000,6800000,8320000,6800000,8320000,0,0
SBFM.US,D,20101109,000000,7920000,7920000,7920000,7920000,0,0
SBFM.US,D,20101115,000000,4080000,4080000,4080000,4080000,0,0
SBFM.US,D,20101116,000000,5600000,5600000,5600000,5600000,0,0
SBFM.US,D,20101118,000000,4080000,5600000,4080000,5600000,0,0
SBFM.US,D,20101119,000000,4080000,4080000,4080000,4080000,0,0
SBFM.US,D,20101130,000000,4080000,4080000,4000000,4000000,0,0
SBFM.US,D,20101208,000000,2800000,5200000,2800000,5200000,0,0
SBFM.US,D,20101210,000000,2800000,5200000,2800000,5200000,0,0
SBFM.US,D,20110104,000000,5600000,5600000,5600000,5600000,0,0
SBFM.US,D,20110105,000000,5600000,5600000,5600000,5600000,0,0
SBFM.US,D,20110110,000000,5600000,5600000,5600000,5600000,0,0
SBFM.US,D,20110111,000000,4400000,4400000,4400000,4400000,0,0
SBFM.US,D,20110113,000000,4000000,5600000,4000000,5600000,0,0
SBFM.US,D,20110121,000000,4000000,4000000,4000000,4000000,0,0
SBFM.US,D,20110125,000000,1000000,4080000,1000000,4080000,0,0
SBFM.US,D,20110126,000000,1000000,4080000,1000000,1000000,0,0
SBFM.US,D,20110127,000000,4080000,4080000,4080000,4080000,0,0
SBFM.US,D,20110202,000000,1040000,4400000,1040000,4400000,0,0
SBFM.US,D,20110204,000000,4400000,4400000,4400000,4400000,0,0
SBFM.US,D,20110207,000000,4720000,4720000,4720000,4720000,0,0
SBFM.US,D,20110216,000000,3120000,3120000,3120000,3120000,0,0
SBFM.US,D,20110218,000000,2320000,4800000,2320000,4800000,0,0
SBFM.US,D,20110224,000000,3520000,4720000,3520000,4720000,0,0
SBFM.US,D,20110225,000000,1600000,3920000,1600000,3920000,0,0
SBFM.US,D,20110228,000000,4160000,4160000,4160000,4160000,0,0
SBFM.US,D,20110301,000000,4800000,4800000,4800000,4800000,0,0
SBFM.US,D,20110302,000000,4800000,4800000,4800000,4800000,0,0
SBFM.US,D,20110304,000000,1600000,4640000,1600000,4640000,0,0
SBFM.US,D,20110309,000000,3840000,3840000,3840000,3840000,0,0
SBFM.US,D,20110310,000000,4720000,4720000,4720000,4720000,0,0
SBFM.US,D,20110322,000000,1600000,4080000,1600000,4080000,0,0
SBFM.US,D,20110331,000000,3200000,3200000,3200000,3200000,0,0
SBFM.US,D,20110401,000000,4000000,4800000,4000000,4800000,0,0
SBFM.US,D,20110404,000000,4800000,4800000,4800000,4800000,0,0
SBFM.US,D,20110405,000000,4800000,4800000,4800000,4800000,0,0
SBFM.US,D,20110406,000000,4800000,4800000,4720000,4800000,0,0
SBFM.US,D,20110407,000000,4800000,4800000,4800000,4800000,0,0
SBFM.US,D,20110408,000000,4160000,5600000,4160000,5600000,0,0
SBFM.US,D,20110411,000000,4800000,4800000,4800000,4800000,0,0
SBFM.US,D,20110412,000000,5200000,5200000,5200000,5200000,0,0
SBFM.US,D,20110413,000000,5600000,6000000,5600000,5600000,0,0
SBFM.US,D,20110414,000000,4800000,4800000,4800000,4800000,0,0
SBFM.US,D,20110418,000000,4560000,4560000,4560000,4560000,0,0
SBFM.US,D,20110420,000000,5600000,5600000,5600000,5600000,0,0
SBFM.US,D,20110421,000000,4160000,4160000,4160000,4160000,0,0
SBFM.US,D,20110425,000000,4400000,4400000,4400000,4400000,0,0
SBFM.US,D,20110426,000000,4160000,4400000,4160000,4160000,0,0
SBFM.US,D,20110427,000000,4160000,4160000,4160000,4160000,0,0
SBFM.US,D,20110428,000000,4160000,4160000,4160000,4160000,0,0
SBFM.US,D,20110502,000000,4160000,4800000,4160000,4800000,0,0
SBFM.US,D,20110503,000000,2400000,4800000,2400000,4800000,0,0
SBFM.US,D,20110509,000000,2400000,3600000,2400000,3600000,0,0
SBFM.US,D,20110513,000000,3440000,3440000,3440000,3440000,0,0
SBFM.US,D,20110519,000000,3600000,3600000,3600000,3600000,0,0
SBFM.US,D,20110525,000000,3600000,3600000,3600000,3600000,0,0
SBFM.US,D,20110608,000000,2960000,2960000,800000,2960000,0,0
SBFM.US,D,20110617,000000,2960000,3600000,2960000,3600000,0,0
SBFM.US,D,20110622,000000,1560000,3200000,800000,3200000,0,0
SBFM.US,D,20110623,000000,800000,2800000,800000,2800000,0,0
SBFM.US,D,20110624,000000,2240000,3600000,2240000,3600000,0,0
SBFM.US,D,20110627,000000,3600000,4800000,1600000,2640000,0,0
SBFM.US,D,20110628,000000,1600000,4000000,1600000,4000000,0,0
SBFM.US,D,20110629,000000,880000,4000000,880000,4000000,0,0
SBFM.US,D,20110630,000000,2560000,4400000,1600000,4400000,0,0
SBFM.US,D,20110705,000000,4000000,4000000,2400000,3360000,0,0
SBFM.US,D,20110707,000000,3200000,3200000,3200000,3200000,0,0
SBFM.US,D,20110708,000000,3200000,4400000,2400000,3600000,0.01,0
SBFM.US,D,20110711,000000,4800000,5600000,4000000,5600000,0,0
SBFM.US,D,20110712,000000,5600000,7600000,4800000,7600000,0.01,0
SBFM.US,D,20110713,000000,6800000,8400000,6800000,8160000,0.01,0
SBFM.US,D,20110714,000000,7600000,8080000,7200000,7520000,0,0
SBFM.US,D,20110715,000000,8000000,8080000,7600000,8080000,0.01,0
SBFM.US,D,20110718,000000,8000000,8480000,8000000,8080000,0,0
SBFM.US,D,20110719,000000,7600000,7920000,7600000,7840000,0,0
SBFM.US,D,20110720,000000,7840000,7840000,6400000,6408000,0,0
SBFM.US,D,20110721,000000,7840000,7920000,5600000,7600000,0.01,0
SBFM.US,D,20110722,000000,5680000,7600000,5600000,7600000,0,0
SBFM.US,D,20110725,000000,7600000,7680000,7360000,7680000,0,0
SBFM.US,D,20110726,000000,7680000,7760000,7600000,7600000,0,0
SBFM.US,D,20110727,000000,7760000,8240000,7600000,8240000,0.01,0
SBFM.US,D,20110728,000000,8240000,9680000,8240000,9680000,0.01,0
SBFM.US,D,20110729,000000,9680000,10880000,9600000,10400000,0.01,0
SBFM.US,D,20110801,000000,10880000,11200000,10880000,11200000,0,0
SBFM.US,D,20110802,000000,11600000,11600000,9200000,10000000,0,0
SBFM.US,D,20110803,000000,10400000,10480000,8800000,9120000,0,0
SBFM.US,D,20110804,000000,8480000,8480000,5200000,7600000,0.01,0
SBFM.US,D,20110805,000000,7600000,7600000,7600000,7600000,0,0
SBFM.US,D,20110808,000000,6800000,7040000,5200000,6400000,0,0
SBFM.US,D,20110809,000000,6400000,6800000,5200000,5200000,0,0
SBFM.US,D,20110810,000000,6240000,6400000,5280000,6000000,0.01,0
SBFM.US,D,20110811,000000,5440000,6400000,4800000,5600000,0.01,0
SBFM.US,D,20110812,000000,5600000,5600000,4000000,5600000,0,0
SBFM.US,D,20110815,000000,5800000,6000000,4000000,4000000,0,0
SBFM.US,D,20110816,000000,3200000,5040000,3200000,4000000,0,0
SBFM.US,D,20110817,000000,4800000,5200000,4400000,4400000,0,0
SBFM.US,D,20110818,000000,4800000,4800000,4000000,4800000,0,0
SBFM.US,D,20110822,000000,2480000,4400000,2480000,4400000,0,0
SBFM.US,D,20110824,000000,4000000,4800000,4000000,4800000,0,0
SBFM.US,D,20110825,000000,5040000,5200000,5040000,5200000,0,0
SBFM.US,D,20110829,000000,5200000,5840000,5200000,5840000,0,0
SBFM.US,D,20110830,000000,5760000,6000000,5200000,6000000,0,0
SBFM.US,D,20110831,000000,6000000,6000000,4880000,6000000,0,0
SBFM.US,D,20110901,000000,6000000,6000000,4880000,6000000,0,0
