<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCDS.US,D,20240820,000000,52.96,52.96,52.9374,52.9374,100,0
SCDS.US,D,20240821,000000,53.7064,53.7064,53.7064,53.7064,10,0
SCDS.US,D,20240822,000000,53.42,53.42,53.2897,53.2897,232,0
SCDS.US,D,20240823,000000,54.901,54.901,54.901,54.901,22,0
SCDS.US,D,20240826,000000,54.8329,54.8329,54.8329,54.8329,49,0
SCDS.US,D,20240827,000000,54.5872,54.5872,54.5872,54.5872,70,0
SCDS.US,D,20240828,000000,54.2568,54.2568,54.2568,54.2568,91,0
SCDS.US,D,20240829,000000,54.6935,54.6935,54.6935,54.6935,134,0
SCDS.US,D,20240830,000000,55.0906,55.0906,55.0906,55.0906,30,0
SCDS.US,D,20240903,000000,53.7048,53.7048,53.7048,53.7048,26,0
SCDS.US,D,20240904,000000,53.5313,53.5313,53.5313,53.5313,22,0
SCDS.US,D,20240905,000000,52.9722,52.9722,52.9722,52.9722,46,0
SCDS.US,D,20240906,000000,53.25,53.25,52.0176,52.0176,165,0
SCDS.US,D,20240909,000000,52.3429,52.3429,52.3429,52.3429,46,0
SCDS.US,D,20240910,000000,52.2679,52.2679,52.2679,52.2679,10,0
SCDS.US,D,20240911,000000,52.3688,52.3688,52.3688,52.3688,64,0
SCDS.US,D,20240912,000000,52.8669,52.8669,52.8669,52.8669,25,0
SCDS.US,D,20240913,000000,54.0889,54.0889,54.0889,54.0889,45,0
SCDS.US,D,20240916,000000,54.1827,54.1827,54.1827,54.1827,25,0
SCDS.US,D,20240917,000000,54.86,54.86,54.54,54.5864,200,0
SCDS.US,D,20240918,000000,54.5327,54.5327,54.5327,54.5327,26,0
SCDS.US,D,20240919,000000,55.5075,55.5075,55.5075,55.5075,1,0
SCDS.US,D,20240920,000000,55.0013,55.0013,55.0013,55.0013,2,0
SCDS.US,D,20240923,000000,54.7195,54.7195,54.7195,54.7195,11,0
SCDS.US,D,20240924,000000,54.7905,54.7905,54.7905,54.7905,1,0
SCDS.US,D,20240925,000000,54.0781,54.0781,54.0781,54.0781,12,0
SCDS.US,D,20240926,000000,54.5057,54.5057,54.5057,54.5057,1,0
SCDS.US,D,20240927,000000,54.8055,54.8055,54.8055,54.8055,20,0
SCDS.US,D,20241001,000000,54.102,54.102,54.102,54.102,12,0
SCDS.US,D,20241002,000000,54.0325,54.0325,54.0325,54.0325,22,0
SCDS.US,D,20241003,000000,53.642,53.642,53.642,53.642,11,0
SCDS.US,D,20241004,000000,54.4115,54.4115,54.4115,54.4115,7,0
SCDS.US,D,20241007,000000,53.8783,53.8783,53.8783,53.8783,73,0
SCDS.US,D,20241008,000000,53.9615,53.9615,53.9615,53.9615,11,0
SCDS.US,D,20241009,000000,54.1553,54.1553,54.1553,54.1553,20,0
SCDS.US,D,20241010,000000,53.9122,53.9122,53.9122,53.9122,7,0
SCDS.US,D,20241011,000000,55.0286,55.0286,55.0286,55.0286,1,0
SCDS.US,D,20241014,000000,55.3459,55.3459,55.3459,55.3459,3,0
SCDS.US,D,20241015,000000,55.4552,55.4552,55.4552,55.4552,10,0
SCDS.US,D,20241016,000000,56.1778,56.1778,56.1778,56.1778,10,0
SCDS.US,D,20241017,000000,56.0955,56.0955,56.0955,56.0955,4,0
SCDS.US,D,20241018,000000,55.7736,55.7736,55.7736,55.7736,4,0
SCDS.US,D,20241021,000000,54.8972,54.8972,54.8972,54.8972,2,0
SCDS.US,D,20241022,000000,54.7966,54.7966,54.7966,54.7966,8,0
SCDS.US,D,20241023,000000,54.1588,54.1588,54.1588,54.1588,4,0
SCDS.US,D,20241024,000000,54.2529,54.2529,54.2529,54.2529,1,0
SCDS.US,D,20241025,000000,54.0262,54.0262,54.0262,54.0262,1,0
SCDS.US,D,20241028,000000,54.6,54.9493,54.6,54.9493,202,0
