<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEEM.US,D,20241015,000000,25.25,25.25,24.7444,24.7444,5209,0
SEEM.US,D,20241016,000000,25.04,25.04,24.8837,24.9165,8756,0
SEEM.US,D,20241017,000000,24.84,24.86,24.7865,24.8022,12061,0
SEEM.US,D,20241018,000000,25.09,25.11,25.0579,25.0579,2291,0
SEEM.US,D,20241021,000000,24.9,24.93,24.81,24.8367,3290,0
SEEM.US,D,20241022,000000,24.81,24.87,24.81,24.8175,5682,0
SEEM.US,D,20241023,000000,24.74,24.78,24.61,24.67,12591,0
SEEM.US,D,20241024,000000,24.66,24.68,24.55,24.625,6338,0
SEEM.US,D,20241025,000000,24.71,24.77,24.595,24.5976,4980,0
SEEM.US,D,20241028,000000,24.69,24.83,24.69,24.7429,7424790,0
SEEM.US,D,20241029,000000,24.66,24.74,24.64,24.66,6158,0
