<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEIE.US,D,20241015,000000,26.38,26.38,25.1,25.1183,39964,0
SEIE.US,D,20241016,000000,25.3,25.3,25.12,25.21,59805,0
SEIE.US,D,20241017,000000,25.19,25.37,25.18,25.2022,54266,0
SEIE.US,D,20241018,000000,25.28,25.4,25.28,25.36,10776,0
SEIE.US,D,20241021,000000,25.23,25.24,25.0344,25.0344,11378,0
SEIE.US,D,20241022,000000,24.91,24.96,24.87,24.9078,26581,0
SEIE.US,D,20241023,000000,24.72,24.74,24.53,24.6406,12294,0
SEIE.US,D,20241024,000000,24.84,24.85,24.71,24.7806,19362,0
SEIE.US,D,20241025,000000,24.85,24.91,24.7069,24.7069,12511,0
SEIE.US,D,20241028,000000,24.83,25,24.83,24.927,18554884,0
SEIE.US,D,20241029,000000,24.83,24.85,24.75,24.8,19164,0
