<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFHG.US,D,20241015,000000,4.99,6.92,4.62,5.3,1908127,0
SFHG.US,D,20241016,000000,5.6,6.39,5.6,6.38,528304,0
SFHG.US,D,20241017,000000,6.5,9.74,6.5,9.25,306547,0
SFHG.US,D,20241018,000000,9.78,9.85,7.02,8.97,310670,0
SFHG.US,D,20241021,000000,8.18,9.19,8.18,8.99,359370,0
SFHG.US,D,20241022,000000,9.28,9.75,8.4,9.75,343526,0
SFHG.US,D,20241023,000000,10.15,10.15,8.6401,9.36,505770,0
SFHG.US,D,20241024,000000,9.39,9.64,9.09,9.4,141114,0
SFHG.US,D,20241025,000000,9.41,9.88,9.25,9.6,42765,0
SFHG.US,D,20241028,000000,10.29,10.98,9.3,10.78,1980975,0
SFHG.US,D,20241029,000000,10.65,12,10,11.35,487026,0
