<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIMA.US,D,20240903,000000,9.97,9.99,9.97,9.98,101695,0
SIMA.US,D,20240904,000000,9.97,9.99,9.97,9.98,1940820,0
SIMA.US,D,20240905,000000,9.99,9.99,9.97,9.97,72005,0
SIMA.US,D,20240906,000000,9.99,9.99,9.97,9.97,1302,0
SIMA.US,D,20240909,000000,9.99,9.99,9.97,9.97,94177,0
SIMA.US,D,20240910,000000,9.99,9.99,9.97,9.975,546534,0
SIMA.US,D,20240911,000000,9.99,9.99,9.965,9.975,358643,0
SIMA.US,D,20240912,000000,9.97,9.97,9.97,9.97,263552,0
SIMA.US,D,20240913,000000,9.97,10,9.97,9.9952,96888,0
SIMA.US,D,20240916,000000,9.97,9.975,9.97,9.975,104919,0
SIMA.US,D,20240917,000000,9.97,10,9.97,10,676541,0
SIMA.US,D,20240918,000000,10.0015,10.0015,9.98,9.98,83399,0
SIMA.US,D,20240923,000000,9.97,9.97,9.97,9.97,45637,0
SIMA.US,D,20240924,000000,9.9716,10.015,9.9716,9.995,516740,0
SIMA.US,D,20240925,000000,9.9919,9.9919,9.9919,9.9919,57370,0
SIMA.US,D,20240926,000000,10.042,10.042,9.99,9.99,39438,0
SIMA.US,D,20240930,000000,10.0091,10.0091,9.9915,9.9915,33381,0
SIMA.US,D,20241001,000000,9.99,9.99,9.99,9.99,37414,0
SIMA.US,D,20241004,000000,10,10.01,10,10,6270,0
SIMA.US,D,20241008,000000,9.995,9.995,9.995,9.995,200,0
SIMA.US,D,20241009,000000,9.995,9.995,9.99,9.99,12474,0
SIMA.US,D,20241010,000000,9.9701,9.98,9.9701,9.98,4035,0
SIMA.US,D,20241014,000000,9.99,9.99,9.99,9.99,5004,0
SIMA.US,D,20241015,000000,9.97,9.98,9.97,9.975,82842,0
SIMA.US,D,20241016,000000,9.98,9.98,9.97,9.97,10103,0
SIMA.US,D,20241023,000000,9.979,9.979,9.979,9.979,727,0
SIMA.US,D,20241024,000000,9.97,9.9804,9.97,9.97,33445,0
SIMA.US,D,20241028,000000,9.9747,9.98,9.9747,9.98,65061,0
