<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SISI.US,D,20160928,000000,767.7,3139.2,662.4,2599.2,212.4,0
SISI.US,D,20160929,000000,3030.3,3030.3,1445.4,1474.6,168,0
SISI.US,D,20160930,000000,1373.4,1405.3,900,1007.1,1226.5,0
SISI.US,D,20161003,000000,990,990,810,821.7,292.9,0
SISI.US,D,20161004,000000,821.7,821.7,631.8,637.2,1214.9,0
SISI.US,D,20161005,000000,630,674.99,553.5,558,659.4,0
SISI.US,D,20161006,000000,581.4,664.84,539.1,595.8,1010.5,0
SISI.US,D,20161007,000000,621.9,674.1,562.5,571.5,910.2,0
SISI.US,D,20161010,000000,542.7,578.7,476.28,517.5,528.3,0
SISI.US,D,20161011,000000,518.4,549,485.1,486,644,0
SISI.US,D,20161012,000000,468.9,534.19,463.5,470.7,409.7,0
SISI.US,D,20161013,000000,490.5,498.6,450,454.5,305.5,0
SISI.US,D,20161014,000000,489.82,489.82,452.7,470.7,434,0
SISI.US,D,20161017,000000,511.2,513,464.92,485.1,476.9,0
SISI.US,D,20161018,000000,513,517.5,459.9,494.1,461.8,0
SISI.US,D,20161019,000000,471.6,504,471.6,504,302,0
SISI.US,D,20161020,000000,501.46,504.63,477,496.8,338,0
SISI.US,D,20161021,000000,504,504,477,486,401.3,0
SISI.US,D,20161024,000000,490.5,499.5,473.4,486,455.3,0
SISI.US,D,20161025,000000,477,486,462.6,477,730.5,0
SISI.US,D,20161026,000000,475.2,513,450,466.2,838.9,0
SISI.US,D,20161027,000000,470.7,479.83,450,450,327.6,0
SISI.US,D,20161028,000000,450,463.5,432,441,120.7,0
SISI.US,D,20161031,000000,430.2,452.51,405.9,414,472.5,0
SISI.US,D,20161101,000000,424.8,436.5,384.3,387,556.5,0
SISI.US,D,20161102,000000,383.4,396.9,305.1,321.3,295.6,0
SISI.US,D,20161103,000000,324,360,324,342,100.9,0
SISI.US,D,20161104,000000,366.3,366.3,312.3,312.3,175.3,0
SISI.US,D,20161107,000000,342.9,349.2,333,340.2,176.1,0
SISI.US,D,20161108,000000,355.5,355.5,316.31,325.8,96.6,0
SISI.US,D,20161109,000000,324,355.5,321.3,333.9,258.9,0
SISI.US,D,20161110,000000,348.3,520.2,347.67,454.5,2132,0
SISI.US,D,20161111,000000,450,489.72,416.7,432.9,448.4,0
SISI.US,D,20161114,000000,458.1,458.1,395.1,432,316.4,0
SISI.US,D,20161115,000000,423.81,468.26,396.68,416.7,574.1,0
SISI.US,D,20161116,000000,424.8,494.99,423,440.1,490.5,0
SISI.US,D,20161117,000000,445.5,569.7,445.5,504,3134.1,0
SISI.US,D,20161118,000000,538.2,538.2,468,499.5,349.8,0
SISI.US,D,20161121,000000,465.8,506.13,423,436.5,875,0
SISI.US,D,20161122,000000,442.8,446.04,391.6,416.25,915.4,0
SISI.US,D,20161123,000000,410.4,423,360.9,395.1,286.1,0
SISI.US,D,20161125,000000,393.3,393.3,362.7,379.8,489.6,0
SISI.US,D,20161128,000000,390.6,450,360.9,393.3,756.8,0
SISI.US,D,20161129,000000,398.7,399.6,364.5,391.5,284.5,0
SISI.US,D,20161130,000000,398.4,401.63,373.74,385.2,248.7,0
SISI.US,D,20161201,000000,383.4,405,369,405,487.3,0
SISI.US,D,20161202,000000,414.9,423,378,399.6,1070.5,0
SISI.US,D,20161205,000000,399.6,414,369,388.8,133.5,0
SISI.US,D,20161206,000000,399.6,402.3,382.5,400.5,61.7,0
SISI.US,D,20161207,000000,391.5,423,375.3,420.3,640,0
SISI.US,D,20161208,000000,432.9,435.6,400.5,409.5,501,0
SISI.US,D,20161209,000000,413.1,431.49,400.5,417.6,616.7,0
SISI.US,D,20161212,000000,410.4,414,382.51,412.2,486.4,0
SISI.US,D,20161213,000000,413.1,413.1,373.5,387,248.1,0
SISI.US,D,20161214,000000,399.6,399.6,360.9,372.6,212.2,0
SISI.US,D,20161215,000000,375.3,418.14,372.6,384.3,189.2,0
SISI.US,D,20161216,000000,384.3,391.5,360.9,361.8,513.8,0
SISI.US,D,20161219,000000,368.55,405,368.55,380.7,160.2,0
SISI.US,D,20161220,000000,385.2,385.2,364.5,373.5,141,0
SISI.US,D,20161221,000000,369,377.7,329.4,363.6,244.3,0
SISI.US,D,20161222,000000,374.4,374.4,355.5,363.6,26.3,0
SISI.US,D,20161223,000000,374.4,374.4,364.5,371.7,28,0
SISI.US,D,20161227,000000,342,378.9,342,369.9,114.7,0
SISI.US,D,20161228,000000,369,369,337.5,337.5,74.7,0
SISI.US,D,20161229,000000,372.6,377.55,338.4,360,70.3,0
SISI.US,D,20161230,000000,360.9,382.4,360,378,105.1,0
SISI.US,D,20170103,000000,378,378,353.7,353.7,109.8,0
SISI.US,D,20170104,000000,377.1,377.1,343.8,343.8,114.1,0
SISI.US,D,20170105,000000,361.8,361.8,342.86,353.7,132,0
SISI.US,D,20170106,000000,367.2,367.2,341.1,343.8,129,0
SISI.US,D,20170109,000000,360.9,360.9,346.5,349.2,140.2,0
SISI.US,D,20170110,000000,358.2,358.2,348.3,350.1,122.5,0
SISI.US,D,20170111,000000,349.83,349.83,345.6,349.67,103.1,0
SISI.US,D,20170112,000000,353.7,353.7,347.4,353.7,85.3,0
SISI.US,D,20170113,000000,355.5,355.5,343.8,345.6,112.4,0
SISI.US,D,20170117,000000,354.6,354.6,345.6,349.2,95.1,0
SISI.US,D,20170118,000000,352.8,352.8,340.2,347.4,117.9,0
SISI.US,D,20170119,000000,345.6,346.5,342,342.9,108.5,0
SISI.US,D,20170120,000000,349.19,349.19,330.3,346.5,364.5,0
SISI.US,D,20170123,000000,358.2,382.5,346.05,346.05,410.8,0
SISI.US,D,20170124,000000,351,360,338.4,338.4,56.4,0
SISI.US,D,20170125,000000,348.3,348.3,328.5,333.9,41.6,0
SISI.US,D,20170126,000000,329.4,346.73,324,337.5,142.4,0
SISI.US,D,20170127,000000,329.4,329.4,320.4,329.4,35.9,0
SISI.US,D,20170130,000000,329.4,329.4,316.8,316.8,137.4,0
SISI.US,D,20170131,000000,333,344.57,315.9,315.9,50,0
SISI.US,D,20170201,000000,318.6,331.65,318.6,324,180.4,0
SISI.US,D,20170202,000000,325.8,325.8,320.4,320.4,59.7,0
SISI.US,D,20170203,000000,324,324.9,322.2,322.2,79,0
SISI.US,D,20170206,000000,320.4,328.5,315,320.4,66.8,0
SISI.US,D,20170207,000000,321.3,322.91,274.5,288.9,543.1,0
SISI.US,D,20170208,000000,281.74,288.45,271.8,271.8,241.3,0
SISI.US,D,20170209,000000,273.6,300.6,272.7,300.6,253.8,0
SISI.US,D,20170210,000000,297.9,327.6,292.5,316.8,426.2,0
SISI.US,D,20170213,000000,320.67,342,302.4,336.6,435.4,0
