<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SJLD.US,D,20240913,000000,25.06,25.075,25.06,25.075,300,0
SJLD.US,D,20240916,000000,25.02,25.05,25.02,25.05,300,0
SJLD.US,D,20240927,000000,25.08,25.08,25.08,25.08,29,0
SJLD.US,D,20241003,000000,25.1199,25.1199,25.0803,25.0803,129,0
SJLD.US,D,20241004,000000,25.0903,25.0903,25.0903,25.0903,29,0
SJLD.US,D,20241007,000000,25.08,25.08,25.0515,25.0515,1000,0
SJLD.US,D,20241008,000000,24.9991,24.9991,24.9991,24.9991,29,0
SJLD.US,D,20241009,000000,25.0606,25.0606,25.0606,25.0606,29,0
SJLD.US,D,20241010,000000,25.0606,25.0606,25.0606,25.0606,29,0
SJLD.US,D,20241011,000000,25.0815,25.0815,25.0815,25.0815,29,0
SJLD.US,D,20241014,000000,25.0866,25.0866,25.0866,25.0866,29,0
SJLD.US,D,20241015,000000,25.0806,25.0806,25.0806,25.0806,29,0
SJLD.US,D,20241016,000000,25.0809,25.0809,25.0809,25.0809,29,0
SJLD.US,D,20241017,000000,25.0747,25.0747,25.0747,25.0747,29,0
SJLD.US,D,20241018,000000,25.0912,25.0912,25.0912,25.0912,29,0
SJLD.US,D,20241021,000000,25.0903,25.0903,25.0903,25.0903,29,0
SJLD.US,D,20241022,000000,25.0912,25.0912,25.0912,25.0912,29,0
SJLD.US,D,20241023,000000,25.0909,25.0909,25.0909,25.0909,29,0
SJLD.US,D,20241024,000000,25.0909,25.0909,25.0909,25.0909,29,0
SJLD.US,D,20241025,000000,25.1015,25.1015,25.1015,25.1015,1,0
SJLD.US,D,20241028,000000,25.1015,25.1015,25.1015,25.1015,29,0
