<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMST.US,D,20240823,000000,18.96,19.345,15.7901,16.1864,187974,0
SMST.US,D,20240826,000000,16.43,16.72,15.85,16.6857,112704,0
SMST.US,D,20240827,000000,17.06,18.0672,17.06,17.846,130683,0
SMST.US,D,20240828,000000,18.24,19.61,18.23,19.4,100794,0
SMST.US,D,20240829,000000,18.36,19.54,17.83,19.2734,60673,0
SMST.US,D,20240830,000000,18.99,20.115,18.8,19.38,75796,0
SMST.US,D,20240903,000000,19.38,21.52,19.38,21.493,113997,0
SMST.US,D,20240904,000000,22.04,22.6,20.6,20.8206,133109,0
SMST.US,D,20240905,000000,21.45,22.1988,20.5,22.1662,151995,0
SMST.US,D,20240906,000000,21.2,23.68,20.8,23.6224,134369,0
SMST.US,D,20240909,000000,22.12,22.4,20.25,20.3,143462,0
SMST.US,D,20240910,000000,20.65,21.0397,19.11,19.11,108672,0
SMST.US,D,20240911,000000,20.29,20.81,18.99,19.14,151710,0
SMST.US,D,20240912,000000,19.22,19.535,18.17,18.9073,82687,0
SMST.US,D,20240913,000000,18.83,19.02,16.22,16.574,153630,0
SMST.US,D,20240916,000000,17.27,18.02,17.27,17.7622,272868,0
SMST.US,D,20240917,000000,17,18.83,16.7,18.4261,275744,0
SMST.US,D,20240918,000000,18.5,18.975,16.75,18.1593,315169,0
SMST.US,D,20240919,000000,16.49,16.65,14.9,15.59,136671,0
SMST.US,D,20240920,000000,15.58,16.1,15.13,15.6435,142634,0
SMST.US,D,20240923,000000,15.27,15.44,14.56,14.8119,147040,0
SMST.US,D,20240924,000000,14.8,15.2529,14.19,14.2218,274894,0
SMST.US,D,20240925,000000,14.36,14.4824,13.67,14.4795,159134,0
SMST.US,D,20240926,000000,13.65,13.84,12.33,12.5108,314689,0
SMST.US,D,20240927,000000,11.98,12.17,11,11.3,751467,0
SMST.US,D,20240930,000000,12.08,12.16,11.38,12.09,515282,0
SMST.US,D,20241001,000000,12.08,13.26,12.08,12.6906,463911,0
SMST.US,D,20241002,000000,12.98,13.07,11.445,12.4584,359549,0
SMST.US,D,20241003,000000,12.63,13.21,12.36,12.62,304626,0
SMST.US,D,20241004,000000,12.19,12.47,11.07,11.07,500333,0
SMST.US,D,20241007,000000,10.79,10.83,9.66,10.1734,828682,0
SMST.US,D,20241008,000000,10.18,10.28,9.17,9.6946,707448,0
SMST.US,D,20241009,000000,9.86,10.2,9.22,9.94,742744,0
SMST.US,D,20241010,000000,9.67,10.7742,9.67,10.34,845581,0
SMST.US,D,20241011,000000,9.88,9.98,7.8901,7.9,993328,0
SMST.US,D,20241014,000000,7.2,8.49,7.08,8.48,1216009,0
SMST.US,D,20241015,000000,8.16,9.22,7.89,8.94,1669191,0
SMST.US,D,20241016,000000,8.53,9.11,8.52,8.95,754725,0
SMST.US,D,20241017,000000,9.04,9.54,8.65,8.99,1200395,0
SMST.US,D,20241018,000000,8.7,8.75,7.261,7.45,1184553,0
SMST.US,D,20241021,000000,7.5,7.81,7.0791,7.27,1127867,0
SMST.US,D,20241022,000000,7.41,7.62,7.18,7.25,676634,0
SMST.US,D,20241023,000000,7.49,7.95,7.099,7.52,609429,0
SMST.US,D,20241024,000000,7.19,7.27,6.35,6.4111,602530,0
SMST.US,D,20241025,000000,6.34,6.7,5.99,6.43,1559640,0
SMST.US,D,20241028,000000,5.99,6.0151,5.42,5.5734,1005281,0
SMST.US,D,20241029,000000,5.26,5.695,5.16,5.46,2359860,0
