<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNES.US,D,20161208,000000,39600,40920,38400,39168,80.087499967965,0
SNES.US,D,20161209,000000,38640,40704,38400,38400,6.470833330745,0
SNES.US,D,20161212,000000,39840,39840,38400,38400,3.44999999862,0
SNES.US,D,20161213,000000,38400,39840,35712,38400,10.654166662405,0
SNES.US,D,20161214,000000,38640,38640,38400,38400,35.09166665263,0
SNES.US,D,20161215,000000,39456,39456,38400,38400,11.120833328885,0
SNES.US,D,20161216,000000,39120,39120,38400,38400,0.437499999825,0
SNES.US,D,20161219,000000,39120,39360,38424,38880,3.070833332105,0
SNES.US,D,20161220,000000,39120,39120,38503.2,39062.4,1.0833333329,0
SNES.US,D,20161221,000000,38784,38784,38400,38592,1.81666666594,0
SNES.US,D,20161222,000000,38400,38496,38400,38481.6,5.01666666466,0
SNES.US,D,20161223,000000,38880,39840,38592,39024,12.212499995115,0
SNES.US,D,20161227,000000,43104,43104,38928,39600,9.3333333296,0
SNES.US,D,20161228,000000,40656,41472,38400,38400,19.304166658945,0
SNES.US,D,20161229,000000,39024,40320,38688,39120,15.09166666063,0
SNES.US,D,20161230,000000,39360,40224,38736,39120,4.462499998215,0
SNES.US,D,20170103,000000,40560,40838.4,38496,38496,16.27499999349,0
SNES.US,D,20170104,000000,40704,40704,39168,39504,4.537499998185,0
SNES.US,D,20170105,000000,39792,40800,39264,39552,5.070833331305,0
SNES.US,D,20170106,000000,40512,40512,38400,39168,8.99166666307,0
SNES.US,D,20170109,000000,38640,39552,36624,37584,17.65833332627,0
SNES.US,D,20170110,000000,39408,39408,35424,37872,9.479166662875,0
SNES.US,D,20170111,000000,38448,39504,36960,38880,2.94166666549,0
SNES.US,D,20170112,000000,39360,39504,38445.6,38736,8.287499996685,0
SNES.US,D,20170113,000000,39072,45792,38664,45792,7.01666666386,0
SNES.US,D,20170117,000000,48576,51288,45120,46800,10.09999999596,0
SNES.US,D,20170118,000000,46800,50762.4,44880,47376,6.7499999973,0
SNES.US,D,20170119,000000,47280,47280,40329.6,45120,4.595833331495,0
SNES.US,D,20170120,000000,44400,44400,41328,42360,2.545833332315,0
SNES.US,D,20170123,000000,37440,40272,33912,36000,45.329166648535,0
SNES.US,D,20170124,000000,38112,38112,34704,35424,34.60833331949,0
SNES.US,D,20170125,000000,37344,37872,34608,34656,10.44166666249,0
SNES.US,D,20170126,000000,35616,36837.6,33840,34224,7.320833330405,0
SNES.US,D,20170127,000000,35904,37596,35040,35952,7.470833330345,0
SNES.US,D,20170130,000000,35661.6,37401.6,35136,36288,7.170833330465,0
SNES.US,D,20170131,000000,37872,39235.2,35932.8,37152,4.9166666647,0
SNES.US,D,20170201,000000,43152,43152,38496,39096,2.962499998815,0
SNES.US,D,20170202,000000,40752,41520,39504,39840,9.154166663005,0
SNES.US,D,20170203,000000,43152,43152,40656,40800,3.73333333184,0
SNES.US,D,20170206,000000,42672,42672,40560,40608,7.462499997015,0
SNES.US,D,20170207,000000,41280,42096,40800,41280,2.64999999894,0
