<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SONN.US,D,20130118,000000,200200,227427,184184,214614,0.32142856982143,0
SONN.US,D,20130122,000000,217818,217818,192993,195395,0.21103895998377,0
SONN.US,D,20130123,000000,230630,230630,202602,205005,0.25649350521104,0
SONN.US,D,20130124,000000,200200,216216,184184,189790,0.25324675198052,0
SONN.US,D,20130125,000000,190590,216207,190590,216207,0.0097402596915584,0
SONN.US,D,20130128,000000,194594,206606,192201,193803,0.051948051688312,0
SONN.US,D,20130129,000000,188188,197733,184184,184184,0.048701298457792,0
SONN.US,D,20130130,000000,184184,190575,176176,190575,0.17857142767857,0
SONN.US,D,20130131,000000,188989,188989,156957,163354,0.49025973780844,0
SONN.US,D,20130201,000000,157758,160961,154564,160160,0.1331168824513,0
SONN.US,D,20130204,000000,161762,161771,140140,148148,0.30194805043831,0
SONN.US,D,20130205,000000,160961,164164,144144,156156,0.11363636306818,0
SONN.US,D,20130206,000000,152152,160952,137738,144144,0.42857142642857,0
SONN.US,D,20130207,000000,144945,144945,140941,144144,0.13636363568182,0
SONN.US,D,20130208,000000,145746,159359,145746,159359,0.035714285535714,0
SONN.US,D,20130211,000000,160160,160952,136136,148148,0.22402597290584,0
SONN.US,D,20130212,000000,141742,144153,135335,136136,0.75324674948052,0
SONN.US,D,20130213,000000,132933,144144,120921,138538,0.41233766027597,0
SONN.US,D,20130214,000000,144144,159359,140941,143343,0.084415583993506,0
SONN.US,D,20130215,000000,142542,142542,140140,140140,0.11363636306818,0
SONN.US,D,20130219,000000,129730,147347,129730,144144,0.14610389537338,0
SONN.US,D,20130220,000000,139850,148148,139850,144144,0.077922077532468,0
SONN.US,D,20130221,000000,136136,156156,136136,136937,0.071428571071429,0
SONN.US,D,20130222,000000,151351,151351,140941,144144,0.022727272613636,0
SONN.US,D,20130225,000000,147347,147347,121722,131331,0.10714285660714,0
SONN.US,D,20130226,000000,132132,148148,112112,130521,0.5162337636526,0
SONN.US,D,20130227,000000,130530,158558,126526,158558,0.17857142767857,0
SONN.US,D,20130228,000000,151351,154554,144144,154554,0.17532467444805,0
SONN.US,D,20130301,000000,153744,153744,153744,153744,0.012987012922078,0
SONN.US,D,20130304,000000,152953,154554,148148,154554,0.074675324301948,0
SONN.US,D,20130305,000000,153994,154545,153754,153754,0.042207791996753,0
SONN.US,D,20130306,000000,154554,160160,154554,160160,0.06168831137987,0
SONN.US,D,20130307,000000,168168,168168,168168,168168,0.042207791996753,0
SONN.US,D,20130308,000000,166566,168168,160961,160961,0.006493506461039,0
SONN.US,D,20130311,000000,164173,175366,160961,175366,0.16558441475649,0
SONN.US,D,20130312,000000,176176,176176,168168,168168,0.081168830762987,0
SONN.US,D,20130313,000000,175375,175375,149750,160160,0.048701298457792,0
SONN.US,D,20130314,000000,165766,175375,165766,167367,0.025974025844156,0
SONN.US,D,20130315,000000,160961,160961,159350,159359,0.029220779074675,0
SONN.US,D,20130318,000000,152953,152953,144144,144144,0.055194804918831,0
SONN.US,D,20130319,000000,152953,152953,152953,152953,0.006493506461039,0
SONN.US,D,20130320,000000,153754,153763,144936,144936,0.087662337224026,0
SONN.US,D,20130321,000000,143023,143023,143023,143023,0.006493506461039,0
SONN.US,D,20130322,000000,149830,149830,136136,136136,0.035714285535714,0
SONN.US,D,20130325,000000,140941,141742,140941,141742,0.012987012922078,0
SONN.US,D,20130326,000000,144144,144144,141742,141742,0.094155843685065,0
SONN.US,D,20130328,000000,129730,151342,128929,150550,0.13636363568182,0
SONN.US,D,20130402,000000,148949,148949,132132,136946,0.081168830762987,0
SONN.US,D,20130403,000000,132933,136937,128128,136937,0.15584415506494,0
SONN.US,D,20130404,000000,140140,144144,136937,140140,0.16883116798701,0
SONN.US,D,20130405,000000,143343,148139,129730,140140,0.45454545227273,0
SONN.US,D,20130408,000000,150550,152152,144144,152152,0.15584415506494,0
SONN.US,D,20130409,000000,151351,160961,140149,160961,0.17857142767857,0
SONN.US,D,20130410,000000,160160,192192,160160,184985,0.50649350396104,0
SONN.US,D,20130411,000000,181782,198598,181782,196196,0.15909090829545,0
SONN.US,D,20130412,000000,196196,203403,192192,192192,0.23701298582792,0
SONN.US,D,20130415,000000,196196,196997,176176,180180,0.18181818090909,0
SONN.US,D,20130416,000000,186577,190581,176176,190581,0.12012986952922,0
SONN.US,D,20130417,000000,201802,205806,188188,200200,0.06493506461039,0
SONN.US,D,20130418,000000,200209,205796,200200,200200,0.17532467444805,0
SONN.US,D,20130419,000000,204204,211411,204204,211411,0.29220779074675,0
SONN.US,D,20130422,000000,212212,224224,212203,224224,0.31493506336039,0
SONN.US,D,20130423,000000,229029,229830,220220,224224,0.30519480366883,0
SONN.US,D,20130424,000000,225025,225025,212212,212212,0.34090908920455,0
SONN.US,D,20130425,000000,221822,221822,188188,199390,0.17532467444805,0
SONN.US,D,20130426,000000,197798,209634,196196,209634,0.084415583993506,0
SONN.US,D,20130429,000000,231431,231431,170570,196196,0.30519480366883,0
SONN.US,D,20130430,000000,196372,196372,196372,196372,0.019480519383117,0
SONN.US,D,20130501,000000,200200,204195,183383,192192,0.15259740183442,0
SONN.US,D,20130502,000000,197197,207398,197197,207398,0.012987012922078,0
SONN.US,D,20130503,000000,207888,219410,207407,208208,0.20779220675325,0
SONN.US,D,20130506,000000,208208,208208,193794,200200,0.032467532305195,0
SONN.US,D,20130507,000000,200200,201802,200200,200200,0.012987012922078,0
SONN.US,D,20130509,000000,192993,193794,188989,192432,0.090909090454545,0
SONN.US,D,20130510,000000,192192,192192,192192,192192,0.029220779074675,0
SONN.US,D,20130514,000000,205285,206606,193994,200200,0.042207791996753,0
SONN.US,D,20130515,000000,200200,200200,160160,189780,0.22077921967532,0
SONN.US,D,20130516,000000,199399,199399,190590,196877,0.025974025844156,0
SONN.US,D,20130517,000000,200209,200640,196196,196196,0.11363636306818,0
SONN.US,D,20130520,000000,202602,208199,197788,197788,0.022727272613636,0
SONN.US,D,20130521,000000,195746,196205,190590,190806,0.081168830762987,0
SONN.US,D,20130522,000000,192328,192328,192328,192328,0.006493506461039,0
SONN.US,D,20130524,000000,190600,193704,190590,193704,0.029220779074675,0
SONN.US,D,20130528,000000,195395,195395,189790,189790,0.0097402596915584,0
SONN.US,D,20130529,000000,189790,189799,176176,180180,0.032467532305195,0
SONN.US,D,20130530,000000,178578,184985,176176,184976,0.048701298457792,0
SONN.US,D,20130531,000000,176977,176977,176977,176977,0,0
SONN.US,D,20130605,000000,176176,177457,176176,176176,0.042207791996753,0
SONN.US,D,20130606,000000,176176,176185,176176,176176,0.035714285535714,0
SONN.US,D,20130607,000000,176176,180340,176176,180340,0.16233766152597,0
SONN.US,D,20130610,000000,176977,176977,176977,176977,0.012987012922078,0
SONN.US,D,20130611,000000,180180,188188,180180,181782,0.21103895998377,0
SONN.US,D,20130612,000000,189790,189790,184184,188179,0.22077921967532,0
SONN.US,D,20130613,000000,188989,188989,188980,188980,0.016233766152597,0
SONN.US,D,20130614,000000,188989,193794,188989,193784,0.42857142642857,0
SONN.US,D,20130617,000000,193794,229830,193784,228228,0.52272727011364,0
SONN.US,D,20130618,000000,235435,268268,222622,252252,0.74350648978896,0
SONN.US,D,20130619,000000,240240,264264,240240,263463,0.1331168824513,0
SONN.US,D,20130620,000000,264264,264264,255455,259459,0.12012986952922,0
SONN.US,D,20130621,000000,246646,278678,215415,239439,1.3701298632792,0
