<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOWG.US,D,20240502,000000,10,10.5,9.5,9.75,265700,0
SOWG.US,D,20240503,000000,10.13,10.3,9.51,10.22,89100,0
SOWG.US,D,20240506,000000,10.22,10.2699,9.99,10.15,69442,0
SOWG.US,D,20240507,000000,10.06,10.14,10,10.08,5552,0
SOWG.US,D,20240508,000000,10.05,10.095,10,10.05,17618,0
SOWG.US,D,20240509,000000,10.123,10.2,10.02,10.02,9094,0
SOWG.US,D,20240510,000000,10.1,10.7,10.1,10.45,73102,0
SOWG.US,D,20240513,000000,10.5,11.05,10.5,10.9,32631,0
SOWG.US,D,20240514,000000,11.68,11.68,10.44,11.11,69991,0
SOWG.US,D,20240515,000000,11.77,15.8,11.47,15.76,385826,0
SOWG.US,D,20240516,000000,18,18,16.51,17.55,173236,0
SOWG.US,D,20240517,000000,17.74,18.075,15.92,16.96,144259,0
SOWG.US,D,20240520,000000,16.84,18.518,16.1591,18.4,96635,0
SOWG.US,D,20240521,000000,18.72,18.9399,17.5,18.42,30873,0
SOWG.US,D,20240522,000000,18,18,16.425,16.72,82666,0
SOWG.US,D,20240523,000000,16.5,17.3298,15.86,16.07,50752,0
SOWG.US,D,20240524,000000,16.9,17.295,16.51,17,34089,0
SOWG.US,D,20240528,000000,17.6,17.89,16.9,17,74033,0
SOWG.US,D,20240529,000000,17.21,17.24,16.84,16.92,25851,0
SOWG.US,D,20240530,000000,16.92,18.45,16.92,18.36,87234,0
SOWG.US,D,20240531,000000,18.69,19.49,17.0501,18.01,65466,0
SOWG.US,D,20240603,000000,18.63,20.998,18.63,19.85,124208,0
SOWG.US,D,20240604,000000,20,21.54,19.26,21.02,157917,0
SOWG.US,D,20240605,000000,21.5,22.25,19.7101,21,155351,0
SOWG.US,D,20240606,000000,21.32,23.0935,21.11,22.71,131728,0
SOWG.US,D,20240607,000000,22.88,23.4699,21.7601,22.76,64043,0
SOWG.US,D,20240610,000000,22.74,24.1,21.84,23.68,136483,0
SOWG.US,D,20240611,000000,23.72,24.53,23.15,23.23,53808,0
SOWG.US,D,20240612,000000,23.68,23.9999,21.49,22.9,108680,0
SOWG.US,D,20240613,000000,23,23.235,20,21.34,147132,0
SOWG.US,D,20240614,000000,20.84,21.26,19.66,20.63,127956,0
SOWG.US,D,20240617,000000,20.88,22.24,20.88,21.77,100306,0
SOWG.US,D,20240618,000000,22.27,22.27,19.07,20.43,189285,0
SOWG.US,D,20240620,000000,20.61,21.71,20.61,21.24,218742,0
SOWG.US,D,20240621,000000,20.88,21.36,20.15,20.72,166166,0
SOWG.US,D,20240624,000000,20.99,21.62,20.0601,21,157528,0
SOWG.US,D,20240625,000000,20.54,21.44,20.165,21.32,120305,0
SOWG.US,D,20240626,000000,20.84,21.1899,19.25,19.26,106903,0
SOWG.US,D,20240627,000000,19.27,20.3599,19.27,20.02,42593,0
SOWG.US,D,20240628,000000,20.09,22.25,19.4674,20.02,46029,0
SOWG.US,D,20240701,000000,20.02,20.68,19.35,19.55,49359,0
SOWG.US,D,20240702,000000,19.47,19.76,18.74,18.86,85602,0
SOWG.US,D,20240703,000000,19.08,19.4617,18.6,19.11,24572,0
SOWG.US,D,20240705,000000,19.28,22.22,19.28,22.03,148736,0
SOWG.US,D,20240708,000000,22.02,23.9899,21.79,22.27,170787,0
SOWG.US,D,20240709,000000,22.93,23.2499,20.43,21.5,110552,0
SOWG.US,D,20240710,000000,21.43,24.02,21.43,23.56,234113,0
SOWG.US,D,20240711,000000,23.9,24.83,23.03,23.44,142168,0
SOWG.US,D,20240712,000000,23.12,23.6,22.17,22.56,58181,0
SOWG.US,D,20240715,000000,22.36,23.0499,21.6,22.62,82110,0
SOWG.US,D,20240716,000000,22.77,23.76,21.72,22.02,132637,0
SOWG.US,D,20240717,000000,22.02,23.99,19.37,19.52,182833,0
SOWG.US,D,20240718,000000,19.44,20.6,18.5,18.62,112704,0
SOWG.US,D,20240719,000000,18.6,19.72,18.21,18.56,58388,0
SOWG.US,D,20240722,000000,18.45,19.44,18.36,18.73,92041,0
SOWG.US,D,20240723,000000,18.26,19.17,17,18.32,125491,0
SOWG.US,D,20240724,000000,18.62,19.2171,16.75,17.95,118928,0
SOWG.US,D,20240725,000000,17.58,18.5,17.15,17.27,53724,0
SOWG.US,D,20240726,000000,17.61,19.62,17.56,18.33,133183,0
SOWG.US,D,20240729,000000,18.44,18.76,17.07,17.79,42902,0
SOWG.US,D,20240730,000000,18,18.5,17.34,17.81,33311,0
SOWG.US,D,20240731,000000,18.055,18.86,18.055,18.86,16961,0
SOWG.US,D,20240801,000000,18.87,18.99,17.52,18.35,25228,0
SOWG.US,D,20240802,000000,17.94,18.37,17.04,17.53,32803,0
SOWG.US,D,20240805,000000,17.04,17.73,16.27,16.95,32569,0
SOWG.US,D,20240806,000000,16.79,17.49,16.3,17,22149,0
SOWG.US,D,20240807,000000,17.04,18.58,16.14,16.15,32100,0
SOWG.US,D,20240808,000000,16.34,17.2,16.13,17.12,17602,0
SOWG.US,D,20240809,000000,16.96,17.5,15.62,16.27,50313,0
SOWG.US,D,20240812,000000,16,18.4499,15.8,18.1,45819,0
SOWG.US,D,20240813,000000,18.75,18.75,17.3,17.45,19024,0
SOWG.US,D,20240814,000000,17.85,20.69,17.8,20.25,124562,0
SOWG.US,D,20240815,000000,16.81,18.91,12.89,13.21,585638,0
SOWG.US,D,20240816,000000,13.5,15.66,13.49,15.38,436402,0
SOWG.US,D,20240819,000000,15.37,15.37,13.5001,14.98,176855,0
SOWG.US,D,20240820,000000,14.45,16.12,14.45,15.6,90689,0
SOWG.US,D,20240821,000000,15.47,15.89,14.06,14.77,84258,0
SOWG.US,D,20240822,000000,14.27,14.92,14.27,14.48,45906,0
SOWG.US,D,20240823,000000,14.72,14.8071,14.275,14.52,27200,0
SOWG.US,D,20240826,000000,14.52,14.96,14.39,14.75,41227,0
SOWG.US,D,20240827,000000,14.64,14.64,13.1601,13.74,51182,0
SOWG.US,D,20240828,000000,13.58,14.1,13.29,13.65,44520,0
SOWG.US,D,20240829,000000,13.66,13.765,12,12.66,108042,0
SOWG.US,D,20240830,000000,12.81,13.09,11.16,11.72,159736,0
SOWG.US,D,20240903,000000,11.69,12.07,10.83,11.76,100279,0
SOWG.US,D,20240904,000000,11.34,11.93,10.92,11.02,53693,0
SOWG.US,D,20240905,000000,11.03,12.5,10.91,11.34,98399,0
SOWG.US,D,20240906,000000,11.24,11.6,11.09,11.15,55928,0
SOWG.US,D,20240909,000000,11.03,11.72,10.4,10.72,82289,0
SOWG.US,D,20240910,000000,11.05,11.6,10.515,11.27,53466,0
SOWG.US,D,20240911,000000,11.26,11.4221,10.56,10.65,42733,0
SOWG.US,D,20240912,000000,10.71,10.92,10.25,10.32,71273,0
SOWG.US,D,20240913,000000,10.65,10.85,10.35,10.76,34247,0
SOWG.US,D,20240916,000000,10.72,11.05,10.2,10.48,83137,0
SOWG.US,D,20240917,000000,10.45,11.88,10.418542,11.17,74499,0
SOWG.US,D,20240918,000000,10.884155,11.82,10.87,11.51,39526,0
SOWG.US,D,20240919,000000,11.89,12.41,11.55,12.4,74726,0
SOWG.US,D,20240920,000000,12.28,13.55,12.16,12.46,197120,0
SOWG.US,D,20240923,000000,12.61,13.08,10.8,11.19,111127,0
SOWG.US,D,20240924,000000,11.03,11.15,10.32,10.95,71645,0
SOWG.US,D,20240925,000000,10.87,11.19,10.11,10.6,86532,0
SOWG.US,D,20240926,000000,10.67,11,10.43,10.6,151866,0
SOWG.US,D,20240927,000000,10.8,12.13,10.77,11.66,53049,0
SOWG.US,D,20240930,000000,11.9,12.02,11.36,11.69,36337,0
SOWG.US,D,20241001,000000,11.705,11.73,11.03,11.5,33305,0
SOWG.US,D,20241002,000000,11.444,11.585,10.71,10.89,34068,0
SOWG.US,D,20241003,000000,11.16,11.16,10.55,10.74,24528,0
SOWG.US,D,20241004,000000,11,11,10.41,10.64,15539,0
SOWG.US,D,20241007,000000,10.7,11,10.54,10.67,54546,0
SOWG.US,D,20241008,000000,10.42,11.0199,10.03,10.14,48716,0
SOWG.US,D,20241009,000000,10.13,10.48,9.66,10.35,116569,0
SOWG.US,D,20241010,000000,10.46,10.46,10.1381,10.36,28124,0
SOWG.US,D,20241011,000000,10.35,10.5,10.21,10.36,20324,0
SOWG.US,D,20241014,000000,10.265,10.61,10.06,10.55,57083,0
SOWG.US,D,20241015,000000,10.5,11,10.47,10.8,64425,0
SOWG.US,D,20241016,000000,11.02,11.12,10.51,10.9,133856,0
SOWG.US,D,20241017,000000,10.82,10.91,10.33,10.46,42431,0
SOWG.US,D,20241018,000000,10.49,10.49,10.34,10.42,56595,0
SOWG.US,D,20241021,000000,10.45,10.62,10.34,10.36,42133,0
SOWG.US,D,20241022,000000,10.5,10.5,10.05,10.23,47623,0
SOWG.US,D,20241023,000000,10.33,10.37,9.55,10.13,59794,0
SOWG.US,D,20241024,000000,10.411,10.52,9.97,10.23,24344,0
SOWG.US,D,20241025,000000,10.03,10.19,10.01,10.09,15529,0
SOWG.US,D,20241028,000000,10.7828,10.7828,9.87,10,40308,0
SOWG.US,D,20241029,000000,10,10,9.4,9.54,43643,0
