<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPGC.US,D,20230815,000000,4.4,30,4.2,28.97,8145000,0
SPGC.US,D,20230816,000000,20,21.9,4.18,4.47,11671427,0
SPGC.US,D,20230817,000000,3.63,4.9,2.95,3.15,5599720,0
SPGC.US,D,20230818,000000,3.15,3.27,2.5,2.51,2993425,0
SPGC.US,D,20230821,000000,2.63,3.28,2.36,2.76,8158441,0
SPGC.US,D,20230822,000000,2.6,2.6899,2.25,2.35,1282678,0
SPGC.US,D,20230823,000000,2.36,2.88,2.28,2.54,3009529,0
SPGC.US,D,20230824,000000,2.78,2.78,2.28,2.47,952116,0
SPGC.US,D,20230825,000000,2.47,3.06,2.429,2.76,2613665,0
SPGC.US,D,20230828,000000,2.75,3.0499,2.68,2.77,746975,0
SPGC.US,D,20230829,000000,2.76,3.09,2.73,2.81,1002004,0
SPGC.US,D,20230830,000000,2.94,2.94,2.27,2.35,1289170,0
SPGC.US,D,20230831,000000,2.49,2.49,2.27,2.27,334502,0
SPGC.US,D,20230901,000000,2.3,2.3699,2.16,2.24,291302,0
SPGC.US,D,20230905,000000,2.26,2.36,2.12,2.14,168663,0
SPGC.US,D,20230906,000000,2.14,2.4,1.82,1.88,549503,0
SPGC.US,D,20230907,000000,1.81,1.81,1.51,1.64,453569,0
SPGC.US,D,20230908,000000,1.58,1.7101,1.57,1.63,269773,0
SPGC.US,D,20230911,000000,1.69,1.69,1.46,1.6493,237067,0
SPGC.US,D,20230912,000000,1.64,1.6681,1.54,1.545,95172,0
SPGC.US,D,20230913,000000,1.55,1.622,1.41,1.445,153056,0
SPGC.US,D,20230914,000000,1.5,1.5452,1.3727,1.4,140347,0
SPGC.US,D,20230915,000000,1.37,1.44,1.35,1.4,59493,0
SPGC.US,D,20230918,000000,1.4,1.69,1.37,1.43,452573,0
SPGC.US,D,20230919,000000,1.38,1.497,1.358,1.4,228478,0
SPGC.US,D,20230920,000000,1.41,1.44,1.37,1.4,73386,0
SPGC.US,D,20230921,000000,1.35,1.4645,1.31,1.31,155406,0
SPGC.US,D,20230922,000000,1.31,1.37,1.15,1.29,605547,0
SPGC.US,D,20230925,000000,1.2,1.51,1.2,1.36,477806,0
SPGC.US,D,20230926,000000,1.26,1.3,1.24,1.24,103040,0
SPGC.US,D,20230927,000000,1.23,1.28,1.1619,1.17,84082,0
SPGC.US,D,20230928,000000,1.16,1.24,1.16,1.19,46502,0
SPGC.US,D,20230929,000000,1.3,1.3,1.16,1.16,52790,0
SPGC.US,D,20231002,000000,1.18,1.21,1.12,1.14,77549,0
SPGC.US,D,20231003,000000,1.2,1.25,1.05,1.08,74284,0
SPGC.US,D,20231004,000000,1.08,1.18,1.04,1.08,21815,0
SPGC.US,D,20231005,000000,1.085,1.25,1.05,1.1797,249834,0
SPGC.US,D,20231006,000000,1.1,1.16,1.1,1.11,34458,0
SPGC.US,D,20231009,000000,1.12,1.1699,1.02,1.02,88637,0
SPGC.US,D,20231010,000000,1.02,1.05,0.9,1,86433,0
SPGC.US,D,20231011,000000,1.07,1.07,0.97,0.99,91080,0
SPGC.US,D,20231012,000000,1,1.1,0.9843,1.02,91670,0
SPGC.US,D,20231013,000000,1.01,1.19,0.9608,1.11,91293,0
SPGC.US,D,20231016,000000,1.11,1.1399,1.05,1.12,82353,0
SPGC.US,D,20231017,000000,1.2,1.21,1.07,1.0901,124774,0
SPGC.US,D,20231018,000000,1.13,1.2,1.0515,1.09,75985,0
SPGC.US,D,20231019,000000,1.07,1.1,1.01,1.0188,46293,0
SPGC.US,D,20231020,000000,1.03,1.1285,0.9906,1.0299,50676,0
SPGC.US,D,20231023,000000,0.998,1,0.925,0.9326,41368,0
SPGC.US,D,20231024,000000,0.93,0.96,0.9206,0.9303,20951,0
SPGC.US,D,20231025,000000,0.95,0.96,0.8306,0.864,89423,0
SPGC.US,D,20231026,000000,0.834,0.8554,0.805,0.8554,43193,0
SPGC.US,D,20231027,000000,0.862,0.862,0.77,0.78,73523,0
SPGC.US,D,20231030,000000,0.8155,0.9,0.783,0.783,25653,0
SPGC.US,D,20231031,000000,0.8,0.84495,0.7504,0.77,47557,0
SPGC.US,D,20231101,000000,0.7794,0.8539,0.7515,0.84,63838,0
SPGC.US,D,20231102,000000,0.8076,0.83,0.79,0.7911,37575,0
SPGC.US,D,20231103,000000,0.79,0.8433,0.778,0.8,56931,0
SPGC.US,D,20231106,000000,0.841,0.841,0.7611,0.7611,52251,0
SPGC.US,D,20231107,000000,0.799899,0.799899,0.738,0.745,47225,0
SPGC.US,D,20231108,000000,0.785,0.785,0.702901,0.7295,36264,0
