<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPKLW.US,D,20231129,000000,0.12,0.12,0.11,0.11,345,0
SPKLW.US,D,20231130,000000,0.11,0.12,0.11,0.12,115568,0
SPKLW.US,D,20231201,000000,0.1,0.1101,0.1,0.1101,125104,0
SPKLW.US,D,20231205,000000,0.1,0.105,0.1,0.105,49951,0
SPKLW.US,D,20231206,000000,0.1,0.11,0.1,0.1,7300,0
SPKLW.US,D,20231207,000000,0.1,0.1,0.1,0.1,15100,0
SPKLW.US,D,20231211,000000,0.1,0.1,0.1,0.1,10100,0
SPKLW.US,D,20231212,000000,0.105,0.105,0.105,0.105,5000,0
SPKLW.US,D,20231214,000000,0.1,0.1,0.1,0.1,202,0
SPKLW.US,D,20231218,000000,0.1,0.1,0.1,0.1,1308,0
SPKLW.US,D,20231219,000000,0.12,0.12,0.12,0.12,289,0
SPKLW.US,D,20231220,000000,0.12,0.12,0.11,0.12,9846,0
SPKLW.US,D,20240102,000000,0.12,0.12,0.12,0.12,48700,0
SPKLW.US,D,20240103,000000,0.15,0.15,0.11,0.11,63900,0
SPKLW.US,D,20240112,000000,0.12,0.13,0.12,0.13,6705,0
SPKLW.US,D,20240118,000000,0.1255,0.3796,0.1255,0.179,33093,0
SPKLW.US,D,20240124,000000,0.15,0.16,0.13,0.13,2280,0
SPKLW.US,D,20240125,000000,0.13,0.17,0.1201,0.13,14539,0
SPKLW.US,D,20240126,000000,0.169,0.2005,0.16,0.16,7938,0
SPKLW.US,D,20240129,000000,0.1442,0.15,0.13,0.15,4126,0
SPKLW.US,D,20240130,000000,0.15,0.15,0.1432,0.1432,11503,0
SPKLW.US,D,20240206,000000,0.15,0.15,0.15,0.15,100,0
SPKLW.US,D,20240207,000000,0.14,0.14,0.13,0.14,2418,0
SPKLW.US,D,20240208,000000,0.14,0.14,0.1399,0.14,2400,0
SPKLW.US,D,20240212,000000,0.14,0.14,0.13,0.13,14288,0
SPKLW.US,D,20240215,000000,0.14,0.14,0.13,0.13,15000,0
SPKLW.US,D,20240216,000000,0.14,0.14,0.14,0.14,2154,0
SPKLW.US,D,20240220,000000,0.13,0.14,0.1299,0.14,10368,0
SPKLW.US,D,20240221,000000,0.14,0.15,0.14,0.15,6384,0
SPKLW.US,D,20240222,000000,0.15,0.15,0.15,0.15,6769,0
SPKLW.US,D,20240226,000000,0.11,0.15,0.11,0.15,3316,0
SPKLW.US,D,20240228,000000,0.1267,0.1267,0.116,0.1191,7042,0
SPKLW.US,D,20240229,000000,0.1162,0.16,0.111,0.111,22958,0
SPKLW.US,D,20240301,000000,0.1527,0.16,0.1458,0.16,10723,0
SPKLW.US,D,20240304,000000,0.14,0.14,0.14,0.14,324,0
SPKLW.US,D,20240305,000000,0.16,0.17,0.16,0.17,500,0
SPKLW.US,D,20240307,000000,0.14,0.14,0.14,0.14,216,0
SPKLW.US,D,20240313,000000,0.1501,0.1502,0.1501,0.1502,714,0
SPKLW.US,D,20240318,000000,0.16,0.2798,0.15,0.15,25609,0
SPKLW.US,D,20240320,000000,0.1502,0.1502,0.15,0.15,10000,0
SPKLW.US,D,20240321,000000,0.1464,0.16,0.1401,0.1568,2704,0
SPKLW.US,D,20240325,000000,0.1372,0.2,0.1313,0.191,10426,0
SPKLW.US,D,20240327,000000,0.15,0.15,0.15,0.15,33461,0
SPKLW.US,D,20240328,000000,0.165,0.2,0.16,0.2,521,0
SPKLW.US,D,20240401,000000,0.1425,0.1626,0.1425,0.1601,2124,0
SPKLW.US,D,20240408,000000,0.16,0.16,0.16,0.16,1433,0
SPKLW.US,D,20240409,000000,0.15,0.17,0.15,0.17,77893,0
SPKLW.US,D,20240410,000000,0.16,0.18,0.15,0.17,23300,0
SPKLW.US,D,20240411,000000,0.18,0.18,0.18,0.18,500,0
SPKLW.US,D,20240412,000000,0.18,0.18,0.17,0.17,500,0
SPKLW.US,D,20240416,000000,0.17,0.17,0.17,0.17,405,0
SPKLW.US,D,20240424,000000,0.180001,0.180001,0.16,0.16,2049,0
SPKLW.US,D,20240502,000000,0.1601,0.1601,0.1601,0.1601,582,0
SPKLW.US,D,20240506,000000,0.16,0.17,0.16,0.17,166996,0
SPKLW.US,D,20240507,000000,0.16,0.16,0.16,0.16,8393,0
SPKLW.US,D,20240513,000000,0.16,0.17,0.16,0.17,12690,0
SPKLW.US,D,20240516,000000,0.2,0.2,0.2,0.2,1000,0
SPKLW.US,D,20240517,000000,0.16,0.1601,0.15,0.16,1593,0
SPKLW.US,D,20240520,000000,0.1594,0.16,0.15,0.16,3352,0
SPKLW.US,D,20240521,000000,0.16,0.16,0.16,0.16,1047,0
SPKLW.US,D,20240523,000000,0.155,0.155,0.155,0.155,357,0
SPKLW.US,D,20240524,000000,0.15,0.15,0.15,0.15,2222,0
SPKLW.US,D,20240603,000000,0.16,0.16,0.16,0.16,500,0
SPKLW.US,D,20240604,000000,0.16,0.16,0.16,0.16,49620,0
SPKLW.US,D,20240612,000000,0.16,0.16,0.16,0.16,282,0
SPKLW.US,D,20240614,000000,0.16,0.16,0.16,0.16,1155,0
SPKLW.US,D,20240626,000000,0.17,0.1701,0.17,0.1701,754,0
SPKLW.US,D,20240627,000000,0.171,0.1711,0.171,0.1711,472,0
SPKLW.US,D,20240710,000000,0.17,0.17,0.17,0.17,145,0
SPKLW.US,D,20240712,000000,0.2,0.2,0.15,0.15,27886,0
SPKLW.US,D,20240715,000000,0.155,0.1599,0.155,0.155,200,0
SPKLW.US,D,20240716,000000,0.16,0.17,0.16,0.17,200,0
SPKLW.US,D,20240723,000000,0.2377,0.2377,0.2377,0.2377,795,0
SPKLW.US,D,20240724,000000,0.2377,0.2377,0.18,0.234,819,0
SPKLW.US,D,20240725,000000,0.2377,0.2377,0.2377,0.2377,100,0
SPKLW.US,D,20240729,000000,0.2,0.205,0.1825,0.2049,109548,0
SPKLW.US,D,20240730,000000,0.2377,0.2377,0.175,0.175,995,0
SPKLW.US,D,20240731,000000,0.18,0.18,0.18,0.18,795,0
SPKLW.US,D,20240802,000000,0.17,0.1835,0.165,0.17,149334,0
