<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPYB.US,D,20240905,000000,23.9309,23.9309,23.6557,23.6557,149,0
SPYB.US,D,20240906,000000,22.97,22.97,22.89,22.89,370,0
SPYB.US,D,20240909,000000,23.32,23.3973,23.32,23.3973,190,0
SPYB.US,D,20240910,000000,23.49,23.59,23.12,23.5893,3546,0
SPYB.US,D,20240911,000000,23.41,24.1179,23.41,24.1179,1018,0
SPYB.US,D,20240912,000000,24.08,24.4115,24.08,24.4115,702,0
SPYB.US,D,20240913,000000,24.73,24.74,24.6877,24.6877,446,0
SPYB.US,D,20240916,000000,24.71,24.7678,24.71,24.7678,2141,0
SPYB.US,D,20240917,000000,25,25,24.7228,24.7228,347,0
SPYB.US,D,20240918,000000,24.62,24.62,24.6,24.6125,216,0
SPYB.US,D,20240919,000000,25.4261,25.4261,25.4261,25.4261,4,0
SPYB.US,D,20240920,000000,25.2,25.37,25.2,25.3236,3433,0
SPYB.US,D,20240923,000000,25.4075,25.4712,25.4075,25.4712,525,0
SPYB.US,D,20240924,000000,25.5559,25.5559,25.5559,25.5559,44,0
SPYB.US,D,20240925,000000,25.5433,25.5433,25.46,25.5,252,0
SPYB.US,D,20240926,000000,25.64,25.7009,25.64,25.7009,299,0
SPYB.US,D,20240927,000000,25.7662,25.7662,25.57,25.57,451,0
SPYB.US,D,20241001,000000,25.2,25.44,25.2,25.3032,534,0
SPYB.US,D,20241002,000000,25.03,25.3439,25.03,25.3439,520,0
SPYB.US,D,20241003,000000,25.2491,25.2491,25.2491,25.2491,14,0
SPYB.US,D,20241004,000000,25.49,25.66,25.4899,25.66,488,0
SPYB.US,D,20241007,000000,25.1883,25.1883,25.1883,25.1883,36,0
SPYB.US,D,20241008,000000,25.7021,25.7021,25.7021,25.7021,105,0
SPYB.US,D,20241009,000000,26.064,26.064,26.064,26.064,135,0
SPYB.US,D,20241010,000000,25.98,25.99,25.9489,25.9489,247,0
SPYB.US,D,20241011,000000,26.17,26.247,26.17,26.247,234,0
SPYB.US,D,20241014,000000,26.4292,26.74,26.4292,26.6635,29101,0
SPYB.US,D,20241015,000000,26.69,26.69,26.2091,26.2091,1117,0
SPYB.US,D,20241016,000000,26.5,26.5,26.4603,26.4603,478,0
SPYB.US,D,20241017,000000,26.49,26.69,26.48,26.48,753,0
SPYB.US,D,20241018,000000,26.55,26.729,26.55,26.648,415,0
SPYB.US,D,20241021,000000,26.5271,26.5271,26.5271,26.5271,174,0
SPYB.US,D,20241022,000000,26.36,26.63,26.36,26.5353,735,0
SPYB.US,D,20241023,000000,26.05,26.05,26.0138,26.0138,281,0
SPYB.US,D,20241024,000000,26.091,26.16,26.091,26.1403,567,0
SPYB.US,D,20241025,000000,26.08,26.0857,26.08,26.0857,409,0
SPYB.US,D,20241028,000000,26.47,26.47,26.24,26.2474,1630,0
