<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STFS.US,D,20241011,000000,3.75,3.84,2.82,3.26,554800,0
STFS.US,D,20241014,000000,3.06,3.75,2.93,3.36,420775,0
STFS.US,D,20241015,000000,3.54,3.54,2.99,3.02,175495,0
STFS.US,D,20241016,000000,3.01,3.26,2.92,3.12,146085,0
STFS.US,D,20241017,000000,3.2,4.19,3.2,3.985,333739,0
STFS.US,D,20241018,000000,3.99,4.14,3.26,3.66,829050,0
STFS.US,D,20241021,000000,3.76,4.1,3.66,3.75,423791,0
STFS.US,D,20241022,000000,4,4,3.4,3.5935,369759,0
STFS.US,D,20241023,000000,3.64,3.7,3.36,3.62,252247,0
STFS.US,D,20241024,000000,3.572,3.8,3.43,3.67,499194,0
STFS.US,D,20241025,000000,3.67,3.85,3.55,3.69,591892,0
STFS.US,D,20241028,000000,3.87,3.89,3.5017,3.74,487715,0
STFS.US,D,20241029,000000,3.62,3.8,3.58,3.75,151672,0
