<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVMHW.US,D,20231212,000000,0.02,0.0299,0.0151,0.0299,24167,0
SVMHW.US,D,20231213,000000,0.021,0.021,0.015,0.016,12600,0
SVMHW.US,D,20231214,000000,0.03,0.03,0.0162,0.0201,188322,0
SVMHW.US,D,20231215,000000,0.029899,0.029899,0.025,0.025,1700,0
SVMHW.US,D,20231218,000000,0.0251,0.0251,0.021,0.021,300,0
SVMHW.US,D,20231219,000000,0.02,0.0294,0.015,0.02,81543,0
SVMHW.US,D,20231220,000000,0.0202,0.0202,0.015,0.0151,13606,0
SVMHW.US,D,20231221,000000,0.0155,0.0165,0.015,0.015,7833,0
SVMHW.US,D,20231222,000000,0.015,0.0151,0.015,0.015,9607,0
SVMHW.US,D,20231226,000000,0.0198,0.0223,0.0071,0.0073,143219,0
SVMHW.US,D,20231227,000000,0.0073,0.0112,0.0073,0.0112,2023,0
SVMHW.US,D,20240102,000000,0.0076,0.0285,0.0076,0.025,10964,0
SVMHW.US,D,20240103,000000,0.0248,0.0248,0.0248,0.0248,133,0
SVMHW.US,D,20240110,000000,0.024,0.024,0.0081,0.01,15822,0
SVMHW.US,D,20240111,000000,0.019451,0.019451,0.015,0.015,3617,0
SVMHW.US,D,20240112,000000,0.0185,0.024,0.0185,0.0201,117738,0
SVMHW.US,D,20240117,000000,0.0202,0.0202,0.0105,0.019,981,0
SVMHW.US,D,20240118,000000,0.0189,0.019969,0.0168,0.0169,51298,0
SVMHW.US,D,20240122,000000,0.0138,0.0275,0.0138,0.0275,647,0
SVMHW.US,D,20240123,000000,0.0222,0.0222,0.0222,0.0222,536,0
SVMHW.US,D,20240124,000000,0.021501,0.024,0.0105,0.024,3558,0
SVMHW.US,D,20240130,000000,0.0222,0.0222,0.0222,0.0222,139,0
SVMHW.US,D,20240131,000000,0.0218,0.022,0.0218,0.0218,3280,0
SVMHW.US,D,20240201,000000,0.0212,0.0212,0.0184,0.0184,13408,0
SVMHW.US,D,20240202,000000,0.0111,0.0212,0.0111,0.0212,2216,0
SVMHW.US,D,20240208,000000,0.021,0.021,0.02,0.02,3045,0
SVMHW.US,D,20240209,000000,0.019953,0.019953,0.019953,0.019953,500,0
SVMHW.US,D,20240212,000000,0.02,0.025,0.0119,0.0121,45214,0
SVMHW.US,D,20240213,000000,0.0219,0.0219,0.0125,0.0125,2200,0
SVMHW.US,D,20240214,000000,0.0199,0.0199,0.0183,0.0183,778,0
SVMHW.US,D,20240215,000000,0.02,0.0248,0.0199,0.0247,91743,0
SVMHW.US,D,20240216,000000,0.02,0.0246,0.02,0.0246,4729,0
SVMHW.US,D,20240220,000000,0.024,0.03,0.0153,0.03,31011,0
SVMHW.US,D,20240221,000000,0.02,0.02,0.02,0.02,100,0
SVMHW.US,D,20240222,000000,0.028,0.028,0.028,0.028,4546,0
SVMHW.US,D,20240223,000000,0.0294,0.0294,0.0294,0.0294,2149,0
SVMHW.US,D,20240228,000000,0.0295,0.03,0.0213,0.03,22629,0
SVMHW.US,D,20240229,000000,0.03,0.03,0.0213,0.0277,4928,0
SVMHW.US,D,20240301,000000,0.0213,0.0213,0.0213,0.0213,118,0
SVMHW.US,D,20240304,000000,0.03,0.0453,0.03,0.04,45783,0
SVMHW.US,D,20240305,000000,0.0307,0.045,0.0307,0.0447,10222,0
SVMHW.US,D,20240306,000000,0.04,0.045,0.031,0.0449,42215,0
SVMHW.US,D,20240308,000000,0.0312,0.0312,0.03,0.03,23525,0
SVMHW.US,D,20240311,000000,0.025,0.025,0.0153,0.02,64625,0
SVMHW.US,D,20240312,000000,0.02,0.02,0.02,0.02,450,0
SVMHW.US,D,20240315,000000,0.0248,0.0248,0.02,0.02,11545,0
SVMHW.US,D,20240318,000000,0.02,0.0219,0.0155,0.0156,206349,0
SVMHW.US,D,20240320,000000,0.02,0.02,0.02,0.02,300,0
SVMHW.US,D,20240321,000000,0.02,0.02,0.0157,0.02,22000,0
SVMHW.US,D,20240322,000000,0.02,0.02,0.02,0.02,300,0
SVMHW.US,D,20240325,000000,0.02,0.023,0.0183,0.0186,567268,0
SVMHW.US,D,20240326,000000,0.02,0.0209,0.0183,0.0184,29869,0
SVMHW.US,D,20240328,000000,0.02,0.02,0.0157,0.0158,52673,0
SVMHW.US,D,20240401,000000,0.02,0.021,0.0158,0.0158,84414,0
SVMHW.US,D,20240403,000000,0.02,0.02,0.02,0.02,64776,0
SVMHW.US,D,20240409,000000,0.0169,0.0209,0.0169,0.0169,76865,0
SVMHW.US,D,20240410,000000,0.019899,0.0208,0.019899,0.0205,71750,0
SVMHW.US,D,20240411,000000,0.018099,0.018099,0.018099,0.018099,500,0
SVMHW.US,D,20240423,000000,0.0199,0.02,0.016,0.016,15676,0
