<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXTP.US,D,20230713,000000,6.9,8.65,4.4,4.53,22009468,0
SXTP.US,D,20230714,000000,3.96,4.24,3.65,3.82,1626998,0
SXTP.US,D,20230717,000000,3.54,3.8,3,3.07,1391771,0
SXTP.US,D,20230718,000000,2.85,2.97,2.375,2.42,831336,0
SXTP.US,D,20230719,000000,3.21,3.53,2.83,3.3,17417835,0
SXTP.US,D,20230720,000000,3.04,3.0718,2.73,2.92,929852,0
SXTP.US,D,20230721,000000,2.73,2.78,2.54,2.67,615444,0
SXTP.US,D,20230724,000000,2.65,2.65,2.315,2.35,423887,0
SXTP.US,D,20230725,000000,2.25,2.28,2.1101,2.13,413580,0
SXTP.US,D,20230726,000000,2.08,2.24,2.0101,2.23,280960,0
SXTP.US,D,20230727,000000,2.29,2.29,2.07,2.19,183721,0
SXTP.US,D,20230728,000000,2.135,2.19,2.0799,2.11,206482,0
SXTP.US,D,20230731,000000,2.14,2.28,2.06,2.24,1005883,0
SXTP.US,D,20230801,000000,2.12,2.1505,2.031,2.15,241143,0
SXTP.US,D,20230802,000000,2.07,2.15,2,2.13,242677,0
SXTP.US,D,20230803,000000,2.13,2.13,2,2.03,183186,0
SXTP.US,D,20230804,000000,2.03,2.08,1.83,1.86,238993,0
SXTP.US,D,20230807,000000,1.85,1.93,1.5201,1.7,159475,0
SXTP.US,D,20230808,000000,1.62,1.6771,1.5201,1.57,95340,0
SXTP.US,D,20230809,000000,1.54,1.585,1.4801,1.5501,62497,0
SXTP.US,D,20230810,000000,1.55,1.6107,1.52,1.53,26878,0
SXTP.US,D,20230811,000000,1.5999,1.79,1.56,1.62,288061,0
SXTP.US,D,20230814,000000,1.73,1.73,1.64,1.66,33688,0
SXTP.US,D,20230815,000000,1.66,1.839,1.66,1.78,148618,0
SXTP.US,D,20230816,000000,1.82,1.98,1.78,1.81,288840,0
SXTP.US,D,20230817,000000,1.77,1.86,1.56,1.6,124383,0
SXTP.US,D,20230818,000000,1.57,1.65,1.56,1.62,27187,0
SXTP.US,D,20230821,000000,1.56,1.65,1.52,1.52,51739,0
SXTP.US,D,20230822,000000,1.56,1.64,1.381,1.43,170817,0
SXTP.US,D,20230823,000000,1.39,1.44,1.38,1.4,35993,0
SXTP.US,D,20230824,000000,1.42,1.52,1.36,1.52,95942,0
SXTP.US,D,20230825,000000,1.48,1.5592,1.44,1.46,69636,0
SXTP.US,D,20230828,000000,1.47,1.55,1.37,1.38,83451,0
SXTP.US,D,20230829,000000,1.35,1.44,1.35,1.39,21349,0
SXTP.US,D,20230830,000000,1.4,1.4878,1.372,1.4878,31464,0
SXTP.US,D,20230831,000000,1.51,1.54,1.36,1.3999,34830,0
SXTP.US,D,20230901,000000,1.42,1.42,1.3502,1.408,73479,0
SXTP.US,D,20230905,000000,1.38,1.419,1.32,1.35,47456,0
SXTP.US,D,20230906,000000,1.33,1.38,1.2701,1.325,72645,0
SXTP.US,D,20230907,000000,1.3,1.3,1.18,1.21,100731,0
SXTP.US,D,20230908,000000,1.17,1.24,1.13,1.14,55108,0
SXTP.US,D,20230911,000000,1.12,1.21,1.0801,1.2,79297,0
SXTP.US,D,20230912,000000,1.2,1.26,1.17,1.23,54373,0
SXTP.US,D,20230913,000000,1.202,1.25,1.1615,1.1999,37268,0
SXTP.US,D,20230914,000000,1.11,1.2,1.05,1.14,36716,0
SXTP.US,D,20230915,000000,1.14,1.14,1.07,1.11,27400,0
SXTP.US,D,20230918,000000,1.13,1.19,1.11,1.1548,55526,0
SXTP.US,D,20230919,000000,0.85,0.93,0.84,0.8605,154782,0
SXTP.US,D,20230920,000000,0.8347,0.88,0.822,0.84,39112,0
SXTP.US,D,20230921,000000,0.811,0.83,0.79,0.8,33739,0
SXTP.US,D,20230922,000000,0.78,0.8,0.71,0.7149,50482,0
SXTP.US,D,20230925,000000,0.695,0.75,0.67,0.67,30197,0
SXTP.US,D,20230926,000000,0.6975,0.78,0.67,0.7589,68613,0
SXTP.US,D,20230927,000000,0.779,0.83,0.7526,0.78,27296,0
SXTP.US,D,20230928,000000,0.75,0.778,0.72,0.74,15136,0
SXTP.US,D,20230929,000000,0.74,0.826,0.74,0.74,21259,0
SXTP.US,D,20231002,000000,0.82,0.82,0.71,0.73,33258,0
SXTP.US,D,20231003,000000,0.72,0.78,0.7,0.74,26443,0
SXTP.US,D,20231004,000000,0.74,0.74,0.68,0.72,10250,0
SXTP.US,D,20231005,000000,0.7,0.779899,0.67,0.67,16582,0
SXTP.US,D,20231006,000000,0.74,0.766,0.67,0.708,66234,0
SXTP.US,D,20231009,000000,0.75,0.8609,0.6801,0.829,76082,0
SXTP.US,D,20231010,000000,0.83,0.8762,0.7719,0.79,102444,0
SXTP.US,D,20231011,000000,0.755,0.79,0.74,0.743,41210,0
SXTP.US,D,20231012,000000,0.743,0.8198,0.6876,0.7027,67069,0
SXTP.US,D,20231013,000000,0.7671,0.799,0.72,0.75,91213,0
SXTP.US,D,20231016,000000,0.75,0.7984,0.74,0.741,15521,0
SXTP.US,D,20231017,000000,0.7942,0.83,0.76,0.7776,26208,0
SXTP.US,D,20231018,000000,0.8164,0.828156,0.7401,0.7582,13798,0
SXTP.US,D,20231019,000000,0.7889,0.83,0.7601,0.82,65759,0
SXTP.US,D,20231020,000000,0.7955,0.831,0.7398,0.7425,34028,0
SXTP.US,D,20231023,000000,0.765,0.767801,0.72,0.73,11538,0
SXTP.US,D,20231024,000000,0.735,0.75,0.6901,0.7088,26097,0
SXTP.US,D,20231025,000000,0.7401,0.75,0.66,0.6601,15699,0
SXTP.US,D,20231026,000000,0.6601,0.73,0.66,0.661,20056,0
SXTP.US,D,20231027,000000,0.661,0.7118,0.65,0.65,10871,0
SXTP.US,D,20231030,000000,0.67,0.67,0.5505,0.5986,58211,0
SXTP.US,D,20231031,000000,0.5986,0.6173,0.5504,0.573,7290,0
SXTP.US,D,20231101,000000,0.6344,0.6344,0.5503,0.611,67993,0
SXTP.US,D,20231102,000000,0.58,0.67,0.5656,0.59,23269,0
SXTP.US,D,20231103,000000,0.626,0.707,0.59,0.66,52005,0
SXTP.US,D,20231106,000000,0.6,0.6399,0.6,0.6,27499,0
SXTP.US,D,20231107,000000,0.6,0.6298,0.58,0.6,11109,0
SXTP.US,D,20231108,000000,0.61395,0.61395,0.6,0.6,28627,0
SXTP.US,D,20231109,000000,0.6,0.6175,0.57,0.6,5149,0
SXTP.US,D,20231110,000000,0.6,0.6175,0.5701,0.5701,39556,0
SXTP.US,D,20231113,000000,0.5701,0.63,0.5701,0.5968,8839,0
SXTP.US,D,20231114,000000,0.602845,0.6899,0.6,0.6513,48449,0
SXTP.US,D,20231115,000000,0.7182,0.82,0.69,0.7681,660614,0
SXTP.US,D,20231116,000000,0.71,0.77,0.67,0.68,127739,0
SXTP.US,D,20231117,000000,0.683,0.72,0.602101,0.6951,102757,0
SXTP.US,D,20231120,000000,0.653,0.6561,0.5111,0.6347,44380,0
SXTP.US,D,20231121,000000,0.6301,0.64,0.601,0.6146,40570,0
SXTP.US,D,20231122,000000,0.6147,0.63,0.56,0.566,27416,0
SXTP.US,D,20231124,000000,0.5757,0.68,0.566,0.566,15468,0
SXTP.US,D,20231127,000000,0.5703,0.62,0.5661,0.59,52826,0
SXTP.US,D,20231128,000000,0.6,0.6,0.5801,0.59,32050,0
SXTP.US,D,20231129,000000,0.5881,0.6636,0.588,0.6355,25463,0
SXTP.US,D,20231130,000000,0.64,0.64,0.594,0.62,10673,0
SXTP.US,D,20231201,000000,0.6,0.6855,0.6,0.6855,41155,0
SXTP.US,D,20231204,000000,0.6569,0.698,0.65,0.698,14893,0
SXTP.US,D,20231205,000000,0.695,0.697,0.6501,0.6799,21016,0
SXTP.US,D,20231206,000000,0.67,0.6903,0.6501,0.653,36722,0
SXTP.US,D,20231207,000000,0.6575,0.68,0.6575,0.666,21583,0
SXTP.US,D,20231208,000000,0.656,0.6889,0.656,0.6888,16905,0
SXTP.US,D,20231211,000000,0.688,0.7737,0.6728,0.7737,66076,0
SXTP.US,D,20231212,000000,0.734501,0.734501,0.7,0.7061,32283,0
SXTP.US,D,20231213,000000,0.7001,0.72,0.65,0.671,43415,0
SXTP.US,D,20231214,000000,0.659,0.74,0.659,0.715,24129,0
SXTP.US,D,20231215,000000,0.74,0.74,0.6619,0.699,28827,0
SXTP.US,D,20231218,000000,0.7899,0.8374,0.6991,0.791,271269,0
SXTP.US,D,20231219,000000,0.7673,0.92,0.7673,0.859,235844,0
SXTP.US,D,20231220,000000,0.88,1.39,0.8069,1.17,1966417,0
SXTP.US,D,20231221,000000,1.37,1.44,1.04,1.1,4282395,0
SXTP.US,D,20231222,000000,0.91,1.08,0.860101,0.9017,488039,0
SXTP.US,D,20231226,000000,1.2,1.53,1.07,1.155,23604055,0
SXTP.US,D,20231227,000000,1.03,1.2,1,1.18,1076322,0
SXTP.US,D,20231228,000000,1.2,1.25,1.08,1.11,476259,0
SXTP.US,D,20231229,000000,1.09,1.11,0.98,1.02,283007,0
SXTP.US,D,20240102,000000,1.04,1.05,0.93,1.03,96252,0
SXTP.US,D,20240103,000000,0.9785,1.04,0.96,1.04,81519,0
SXTP.US,D,20240104,000000,1.04,1.1,1.01,1.09,84572,0
SXTP.US,D,20240105,000000,1.11,1.11,1.0475,1.11,92209,0
SXTP.US,D,20240108,000000,1.11,1.1299,1.06,1.09,86859,0
SXTP.US,D,20240109,000000,1.11,1.11,1.07,1.08,43186,0
SXTP.US,D,20240110,000000,1.08,1.1199,1.01,1.06,99671,0
SXTP.US,D,20240111,000000,1.04,1.1,0.973128,0.99605,44575,0
SXTP.US,D,20240112,000000,1,1.02,0.97,0.985,59017,0
SXTP.US,D,20240116,000000,0.996,1.02,0.963,0.99515,70288,0
SXTP.US,D,20240117,000000,0.96,0.99,0.9029,0.9333,66573,0
SXTP.US,D,20240118,000000,0.89,0.91715,0.7074,0.733,158141,0
SXTP.US,D,20240119,000000,0.71,0.71,0.6145,0.626,71677,0
