<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEM.US,D,20240614,000000,40,43.88,37,40.25,6338800,0
TEM.US,D,20240617,000000,42.79,43,33.84,36.48,3747445,0
TEM.US,D,20240618,000000,36.99,37.75,30.19,30.33,4184885,0
TEM.US,D,20240620,000000,30.87,31.2,24,27.26,4586261,0
TEM.US,D,20240621,000000,27.26,29,26.2,28.64,932510,0
TEM.US,D,20240624,000000,29.5,29.5,25.29,25.31,1558252,0
TEM.US,D,20240625,000000,25.31,26.1,22.89,24.96,2234970,0
TEM.US,D,20240626,000000,24.96,27.74,23.05,27.56,1513789,0
TEM.US,D,20240627,000000,28.4,31.25,27.68,30.83,1481470,0
TEM.US,D,20240628,000000,32.77,35.17,31.25,35,1191485,0
TEM.US,D,20240701,000000,37,37,32,33.34,897237,0
TEM.US,D,20240702,000000,34.45,36.34,33.74,35.98,721098,0
TEM.US,D,20240703,000000,37,37.65,32.8,34.39,1092567,0
TEM.US,D,20240705,000000,36.22,36.63,30.77,30.88,622032,0
TEM.US,D,20240708,000000,31.07,33.8,31,33.2,511514,0
TEM.US,D,20240709,000000,34.71,35.75,30.81,34.5,2065089,0
TEM.US,D,20240710,000000,35.5,36.49,34.45,35,1079337,0
TEM.US,D,20240711,000000,35.78,37.585,34.82,37.5,982889,0
TEM.US,D,20240712,000000,38.88,41.78,37.68,39.76,1633543,0
TEM.US,D,20240715,000000,39.76,40.8,36.4,36.6,1039671,0
TEM.US,D,20240716,000000,38.5,41.88,37.3065,40.74,1161680,0
TEM.US,D,20240717,000000,40,45.11,38.71,39.85,1146184,0
TEM.US,D,20240718,000000,41.56,42.25,39.5,40.14,959130,0
TEM.US,D,20240719,000000,41,42.8451,39.9,41.4,442787,0
TEM.US,D,20240722,000000,42.45,43.85,41.1,42.98,926987,0
TEM.US,D,20240723,000000,43,43.4,40.2,40.7,448166,0
TEM.US,D,20240724,000000,40.82,40.9254,37.68,38.05,623887,0
TEM.US,D,20240725,000000,38.5,40.1,37.2601,40.02,651257,0
TEM.US,D,20240726,000000,40.1,42.07,39.71,41.92,711779,0
TEM.US,D,20240729,000000,41.71,44.17,41.4182,43.87,519513,0
TEM.US,D,20240730,000000,44.71,46.55,42.76,45.97,865501,0
TEM.US,D,20240731,000000,46.58,47.09,43.12,43.28,573705,0
TEM.US,D,20240801,000000,44.92,45.58,39.01,39.28,605515,0
TEM.US,D,20240802,000000,38,39.48,36.11,39.045,680750,0
