<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLTQ.US,D,20241003,000000,24.549,24.549,24.549,24.549,85,0
TLTQ.US,D,20241004,000000,23.97,23.975,23.8602,23.975,688,0
TLTQ.US,D,20241007,000000,23.65,23.65,23.6309,23.6309,101,0
TLTQ.US,D,20241008,000000,23.49,23.6212,23.49,23.6212,895,0
TLTQ.US,D,20241009,000000,23.44,23.4438,23.44,23.4438,200,0
TLTQ.US,D,20241010,000000,23.27,23.27,23.18,23.25,801,0
TLTQ.US,D,20241011,000000,23.09,23.13,23.09,23.13,561,0
TLTQ.US,D,20241014,000000,22.99,23.1006,22.99,23.1006,1729,0
TLTQ.US,D,20241015,000000,23.62,23.62,23.62,23.62,65,0
TLTQ.US,D,20241016,000000,23.755,23.755,23.755,23.755,60,0
TLTQ.US,D,20241017,000000,23.125,23.125,23.125,23.125,1,0
TLTQ.US,D,20241018,000000,23.13,23.13,23.13,23.13,97,0
TLTQ.US,D,20241021,000000,22.72,22.72,22.36,22.36,129,0
TLTQ.US,D,20241022,000000,22.35,22.35,22.35,22.35,12,0
TLTQ.US,D,20241023,000000,22.3403,22.3403,22.3403,22.3403,6,0
TLTQ.US,D,20241024,000000,22.59,22.59,22.59,22.59,6,0
TLTQ.US,D,20241025,000000,22.35,22.35,22.35,22.35,6,0
TLTQ.US,D,20241028,000000,22.25,22.25,22.25,22.25,6,0
