<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRNR.US,D,20230428,000000,8.35,8.5,5.75,6.61,838800,0
TRNR.US,D,20230501,000000,6.2,7.05,5.82,6.6,414180,0
TRNR.US,D,20230502,000000,6.5,6.5,6.06,6.3,55274,0
TRNR.US,D,20230503,000000,6.7,7.1,6.25,6.35,88430,0
TRNR.US,D,20230504,000000,6.3657,6.8835,6.03,6.8,187338,0
TRNR.US,D,20230505,000000,6.8,6.9,4.8,4.85,274661,0
TRNR.US,D,20230508,000000,4.59,4.75,3.31,3.54,189933,0
TRNR.US,D,20230509,000000,3.55,4.39,3.55,3.83,85048,0
TRNR.US,D,20230510,000000,3.73,4.43,3.61,4.07,46599,0
TRNR.US,D,20230511,000000,4.2,4.2,3.5,3.73,39192,0
TRNR.US,D,20230512,000000,3.67,3.82,3.21,3.61,84901,0
TRNR.US,D,20230515,000000,3.72,3.965,3.5,3.77,24460,0
TRNR.US,D,20230516,000000,3.92,4.77,3.74,4.25,105069,0
TRNR.US,D,20230517,000000,4.06,5.53,4.03,4.74,141827,0
TRNR.US,D,20230518,000000,4.75,5.97,4.75,5.71,482250,0
TRNR.US,D,20230519,000000,5.96,7.11,5.9501,7.08,462555,0
TRNR.US,D,20230522,000000,7.11,7.1382,5.0204,5.81,379927,0
TRNR.US,D,20230523,000000,5.46,6.15,5.4,6.12,196078,0
TRNR.US,D,20230524,000000,6.38,6.6,5.7501,6.5,120219,0
TRNR.US,D,20230525,000000,6.13,6.45,5.55,6.025,71485,0
TRNR.US,D,20230526,000000,5.8,6.33,5.2746,6,94810,0
TRNR.US,D,20230530,000000,5.6,5.9299,5.3001,5.4,24585,0
TRNR.US,D,20230531,000000,5.2,5.27,4.91,5.08,26300,0
TRNR.US,D,20230601,000000,5.44,5.44,4.9291,5.08,35444,0
TRNR.US,D,20230602,000000,4.9,5.3879,4.9,5.03,13825,0
TRNR.US,D,20230605,000000,4.93,5.1556,4.9,4.9,11896,0
TRNR.US,D,20230606,000000,4.9,5.279,4.8,4.89,101026,0
TRNR.US,D,20230607,000000,4.8,5,4.8,4.86,3426,0
TRNR.US,D,20230608,000000,4.8,4.9277,4.41,4.59,15912,0
TRNR.US,D,20230609,000000,4.8,5.69,4.7707,5.22,392438,0
TRNR.US,D,20230612,000000,5.31,5.34,4.1009,4.59,186984,0
TRNR.US,D,20230613,000000,4.3,4.65,4.05,4.4,35044,0
TRNR.US,D,20230614,000000,4.32,4.682,4.04,4.45,53510,0
TRNR.US,D,20230615,000000,4.14,4.75,4.14,4.31,61838,0
TRNR.US,D,20230616,000000,4.25,4.45,3.89,3.89,34560,0
TRNR.US,D,20230620,000000,3.81,3.95,3.38,3.7,35101,0
TRNR.US,D,20230621,000000,3.6,3.76,3.49,3.49,5181,0
TRNR.US,D,20230622,000000,3.49,3.4901,3.34,3.46,9046,0
TRNR.US,D,20230623,000000,3.33,3.4599,3.07,3.37,31338,0
TRNR.US,D,20230626,000000,3.25,3.37,3.05,3.08,38371,0
TRNR.US,D,20230627,000000,3.05,3.17,2.71,2.7498,55726,0
TRNR.US,D,20230628,000000,2.75,2.93,2.7,2.7,34116,0
TRNR.US,D,20230629,000000,2.66,2.741,2.55,2.59,23880,0
TRNR.US,D,20230630,000000,2.7,3.05,2.5,2.79,91882,0
TRNR.US,D,20230703,000000,2.82,3.1,2.82,2.91,13147,0
TRNR.US,D,20230705,000000,2.93,3.0799,2.8,2.8,10653,0
TRNR.US,D,20230706,000000,2.9,2.9,2.62,2.68,23371,0
TRNR.US,D,20230707,000000,2.81,2.85,2.5538,2.61,13352,0
TRNR.US,D,20230710,000000,2.49,2.96,2.49,2.875,13574,0
TRNR.US,D,20230711,000000,2.77,2.99,2.77,2.8,8567,0
TRNR.US,D,20230712,000000,2.91,2.9499,2.79,2.79,28580,0
TRNR.US,D,20230713,000000,2.85,2.915,2.75,2.84,25484,0
TRNR.US,D,20230714,000000,2.76,2.85,2.61,2.63,13672,0
TRNR.US,D,20230717,000000,2.64,2.79,2.61,2.67,4796,0
TRNR.US,D,20230718,000000,2.74,2.7481,2.53,2.56,14927,0
TRNR.US,D,20230719,000000,2.58,2.73,2.53,2.625,12354,0
TRNR.US,D,20230720,000000,2.61,2.61,2.55,2.55,3877,0
TRNR.US,D,20230721,000000,2.65,2.65,2.5,2.51,4078,0
TRNR.US,D,20230724,000000,2.49,2.5499,2,2.26,35434,0
TRNR.US,D,20230725,000000,2.28,2.37,2.16,2.16,9079,0
TRNR.US,D,20230726,000000,2.25,2.31,1.911,2.09,24805,0
TRNR.US,D,20230727,000000,2.21,2.21,1.94,1.95,15054,0
TRNR.US,D,20230728,000000,2.06,2.06,1.92,1.92,5221,0
TRNR.US,D,20230731,000000,2.02,2.86,2.01,2.48,609081,0
TRNR.US,D,20230801,000000,2.21,2.4244,2.09,2.1701,75100,0
TRNR.US,D,20230802,000000,2.09,2.41,2.0401,2.27,68631,0
TRNR.US,D,20230803,000000,2.71,2.7599,1.97,2.15,1559488,0
TRNR.US,D,20230804,000000,2.18,2.24,1.98,2.1,220075,0
TRNR.US,D,20230807,000000,2.08,2.0987,1.61,1.76,216365,0
TRNR.US,D,20230808,000000,1.71,1.7518,1.6,1.63,112451,0
TRNR.US,D,20230809,000000,1.6,1.6,1.44,1.5,153183,0
TRNR.US,D,20230810,000000,1.55,1.55,1.41,1.47,31626,0
TRNR.US,D,20230811,000000,1.47,1.5,1.41,1.42,139500,0
TRNR.US,D,20230814,000000,1.4,1.45,1.21,1.41,195832,0
TRNR.US,D,20230815,000000,1.5,1.56,1.21,1.31,99924,0
TRNR.US,D,20230816,000000,1.3,1.305,1.21,1.23,57713,0
TRNR.US,D,20230817,000000,1.25,1.28,1.14,1.15,76491,0
TRNR.US,D,20230818,000000,1.25,1.25,1.1101,1.21,44621,0
TRNR.US,D,20230821,000000,1.26,1.3699,1.2102,1.36,40181,0
TRNR.US,D,20230822,000000,1.4,1.43,1.26,1.32,54543,0
TRNR.US,D,20230823,000000,1.25,1.33,1.22,1.29,68202,0
TRNR.US,D,20230824,000000,1.285,1.4,1.22,1.25,84567,0
TRNR.US,D,20230825,000000,1.26,1.3899,1.115,1.2501,92602,0
TRNR.US,D,20230828,000000,1.42,1.42,1.23,1.33,98110,0
TRNR.US,D,20230829,000000,1.3,1.32,1.26,1.27,28294,0
TRNR.US,D,20230830,000000,1.29,1.34,1.225,1.24,42433,0
TRNR.US,D,20230831,000000,1.25,1.28,1.2101,1.28,20618,0
TRNR.US,D,20230901,000000,1.28,1.28,1.23,1.23,13524,0
TRNR.US,D,20230905,000000,1.24,1.35,1.22,1.31,71179,0
TRNR.US,D,20230906,000000,1.28,1.49,1.2709,1.36,140742,0
TRNR.US,D,20230907,000000,1.37,1.53,1.33,1.42,102499,0
TRNR.US,D,20230908,000000,1.4358,1.5183,1.38,1.5,81774,0
TRNR.US,D,20230911,000000,1.475,1.528,1.42,1.43,9697,0
TRNR.US,D,20230912,000000,1.43,1.55,1.42,1.5,43105,0
TRNR.US,D,20230913,000000,1.45,1.51,1.44,1.46,28206,0
TRNR.US,D,20230914,000000,1.47,1.6,1.45,1.6,32864,0
TRNR.US,D,20230915,000000,1.67,1.76,1.59,1.72,100028,0
TRNR.US,D,20230918,000000,1.73,1.78,1.45,1.45,184526,0
TRNR.US,D,20230919,000000,1.6,1.71,1.5,1.5,131259,0
TRNR.US,D,20230920,000000,1.6,1.64,1.28,1.38,154206,0
TRNR.US,D,20230921,000000,1.47,1.61,1.4,1.44,56070,0
TRNR.US,D,20230922,000000,1.55,1.64,1.4,1.52,75614,0
TRNR.US,D,20230925,000000,1.65,1.65,1.36,1.42,108045,0
TRNR.US,D,20230926,000000,1.43,1.52,1.37,1.4,61601,0
TRNR.US,D,20230927,000000,1.55,1.5797,1.3,1.38,225589,0
TRNR.US,D,20230928,000000,1.48,1.48,1.2998,1.34,81460,0
TRNR.US,D,20230929,000000,1.4,1.4,1.32,1.36,66352,0
TRNR.US,D,20231002,000000,1.33,1.4498,1.27,1.3,121294,0
