<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLL.US,D,20220810,000000,24.3141,24.3423,22.6974,23.9195,503080.06374498,0
TSLL.US,D,20220811,000000,24.2014,24.3986,22.8949,23.0452,612876.39603361,0
TSLL.US,D,20220812,000000,23.3181,24.596,22.8008,24.5584,521547.74023015,0
TSLL.US,D,20220815,000000,24.8593,26.2033,24.7653,25.7052,1125762.1927098,0
TSLL.US,D,20220816,000000,26.0341,26.3913,24.9533,25.3949,1736427.6172774,0
TSLL.US,D,20220817,000000,24.9344,25.7417,24.5492,25.0753,1266536.5972959,0
TSLL.US,D,20220818,000000,25.3198,25.3563,24.8066,24.9063,540230.34271923,0
TSLL.US,D,20220819,000000,24.4177,24.5396,23.6374,24.1543,956725.0186086,0
TSLL.US,D,20220822,000000,23.506,23.5905,22.8666,23.3084,623582.264605,0
TSLL.US,D,20220823,000000,23.4872,24.3799,23.0736,24.1073,717105.93202273,0
TSLL.US,D,20220824,000000,24.2389,24.9625,24.0979,24.1543,799486.4309304,0
TSLL.US,D,20220825,000000,24.7934,24.8593,23.4963,24.0417,732871.07360714,0
TSLL.US,D,20220826,000000,24.2014,24.7275,22.9702,23.0641,1046915.2049854,0
TSLL.US,D,20220829,000000,22.3968,22.9889,22.1619,22.6788,854734.11782861,0
TSLL.US,D,20220830,000000,23.0265,23.0641,21.2127,21.8237,881399.83817609,0
TSLL.US,D,20220831,000000,22.1525,22.1713,21.1376,21.5415,772314.25128656,0
TSLL.US,D,20220901,000000,21.1749,21.7577,20.4608,21.7577,900240.97519281,0
TSLL.US,D,20220902,000000,22.19,22.3029,20.7625,20.9307,714818.35326816,0
TSLL.US,D,20220906,000000,21.128,21.5509,20.3949,21.4004,597227.22937209,0
TSLL.US,D,20220907,000000,21.2314,22.4813,21.1563,22.4813,648782.87055944,0
TSLL.US,D,20220908,000000,22.1619,23.1393,22.0114,23.1393,682622.01228521,0
TSLL.US,D,20220909,000000,23.4026,24.3799,23.3554,24.3705,1190365.5447191,0
TSLL.US,D,20220912,000000,24.455,25.0472,24.455,24.9439,911707.59669887,0
TSLL.US,D,20220913,000000,23.5152,24.0509,23.224,23.4307,1476421.4160327,0
TSLL.US,D,20220914,000000,23.4495,25.0659,23.3648,24.6712,1274975.1029249,0
TSLL.US,D,20220915,000000,24.5773,25.4626,24.4739,24.8122,801403.74112377,0
TSLL.US,D,20220916,000000,24.267,24.7748,23.8066,24.7371,745753.8659608,0
TSLL.US,D,20220919,000000,24.3328,25.5266,24.0979,25.442,782753.05833823,0
TSLL.US,D,20220920,000000,25.1694,25.9496,25.0094,25.3855,907497.17983082,0
TSLL.US,D,20220921,000000,25.3385,25.9875,24.4078,24.4173,991016.13951388,0
TSLL.US,D,20220922,000000,24.2762,24.4453,22.5933,22.9222,1078038.5879355,0
TSLL.US,D,20220923,000000,22.2548,22.3956,21.0324,21.3427,1285882.4723726,0
TSLL.US,D,20220926,000000,20.9196,22.3299,20.7785,21.418,934261.53642381,0
TSLL.US,D,20220927,000000,22.339,22.847,21.6152,22.2265,1119364.6519723,0
TSLL.US,D,20220928,000000,22.2077,22.9034,21.5778,22.7718,1043449.3477209,0
TSLL.US,D,20220929,000000,22.1606,22.2548,20.1674,20.4777,1330194.0533763,0
TSLL.US,D,20220930,000000,20.1768,21.2581,19.829,20.111,840009.81873806,0
TSLL.US,D,20221003,000000,18.8417,18.9264,17.3469,17.5066,2527693.7366787,0
TSLL.US,D,20221004,000000,18.3904,19.0438,17.4451,18.3058,2516501.5047431,0
TSLL.US,D,20221005,000000,17.7512,17.9204,16.4818,17.2811,1642938.3893336,0
TSLL.US,D,20221006,000000,17.1775,17.6854,16.717,17.0272,1336994.6930225,0
TSLL.US,D,20221007,000000,16.557,16.5945,15.2783,15.4005,1645108.1273502,0
TSLL.US,D,20221010,000000,15.4758,15.7673,14.8929,15.3629,1283188.381002,0
TSLL.US,D,20221011,000000,15.1562,15.6451,14.5356,14.6954,1198315.4622527,0
TSLL.US,D,20221012,000000,14.5825,14.9774,14.1971,14.78,1463143.6867464,0
TSLL.US,D,20221013,000000,13.8585,15.3441,13.6517,15.2312,2293983.1715731,0
TSLL.US,D,20221014,000000,15.4476,15.6638,13.4073,13.5014,1620985.7458715,0
TSLL.US,D,20221017,000000,14.009,15.1411,13.9432,14.921,1080377.4378858,0
TSLL.US,D,20221018,000000,15.9176,15.9551,14.6907,15.0056,2031628.8738572,0
TSLL.US,D,20221019,000000,14.9399,15.2641,14.7517,15.222,1918297.2883872,0
TSLL.US,D,20221020,000000,13.7457,14.4902,13.1158,13.6706,3491704.0830654,0
TSLL.US,D,20221021,000000,13.5672,14.3662,13.3415,14.3662,1543610.1228473,0
TSLL.US,D,20221024,000000,13.492,14.2442,12.7585,14.0468,2275826.506043,0
TSLL.US,D,20221025,000000,13.9151,15.3254,13.9151,15.1375,1891195.771524,0
TSLL.US,D,20221026,000000,14.8364,15.9551,14.7424,15.3724,2375506.8231585,0
TSLL.US,D,20221027,000000,15.899,16.2936,15.1844,15.4195,1740334.0999493,0
TSLL.US,D,20221028,000000,15.4195,15.786,14.5074,15.758,2235682.0983477,0
TSLL.US,D,20221031,000000,15.504,15.8801,15.0715,15.6545,1182303.0084096,0
TSLL.US,D,20221101,000000,16.3315,16.6416,15.6357,15.6826,1398851.3712428,0
TSLL.US,D,20221102,000000,15.4758,15.6638,14.3287,14.3475,1721692.4341567,0
TSLL.US,D,20221103,000000,13.9715,14.9587,13.868,14.3756,1743490.856044,0
TSLL.US,D,20221104,000000,15.1279,15.2031,13.144,13.5952,2378164.7522289,0
TSLL.US,D,20221107,000000,13.727,13.727,12.5241,12.5705,2099620.3799597,0
TSLL.US,D,20221108,000000,12.2603,12.3826,11.574,12.0157,3599851.696431,0
TSLL.US,D,20221109,000000,11.9313,12.4201,10.6807,10.7185,4181722.2526295,0
TSLL.US,D,20221110,000000,11.809,11.9219,10.9346,11.9029,5623339.7983377,0
TSLL.US,D,20221111,000000,11.4518,12.4297,11.1366,12.3638,3613791.1995906,0
TSLL.US,D,20221114,000000,12.0911,12.3523,11.4706,11.9124,2078514.3597629,0
TSLL.US,D,20221115,000000,12.3543,12.8151,12.0064,12.232,2652159.0562456,0
TSLL.US,D,20221116,000000,11.9406,12.044,11.3953,11.5268,2040442.9027511,0
TSLL.US,D,20221117,000000,11.2262,11.433,10.9534,11.1697,2015767.4507976,0
TSLL.US,D,20221118,000000,11.3389,11.3389,10.5555,10.8877,2747860.4567336,0
TSLL.US,D,20221121,000000,10.4739,10.568,9.74059,9.77816,3549906.2417636,0
TSLL.US,D,20221122,000000,9.83455,10.0314,9.61837,9.93804,2376341.7468561,0
TSLL.US,D,20221123,000000,10.2672,11.1414,10.173,11.1133,4560484.058533,0
TSLL.US,D,20221125,000000,11.2637,11.2729,10.8687,11.0756,2075563.9414992,0
TSLL.US,D,20221128,000000,10.7936,11.574,10.7185,11.0756,2770723.539285,0
