<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLQ.US,D,20220715,000000,42.5097,43.3305,41.9351,42.6911,334474.43140141,0
TSLQ.US,D,20220718,000000,42.0776,42.7243,40.8249,42.5875,913737.68460502,0
TSLQ.US,D,20220719,000000,41.8012,43.1833,41.421,41.7494,593882.15802807,0
TSLQ.US,D,20220720,000000,41.4556,41.9912,40.8249,41.3865,1133493.4692409,0
TSLQ.US,D,20220721,000000,40.0533,40.1337,37.0578,37.2651,2533958.1630917,0
TSLQ.US,D,20220722,000000,36.7122,37.437,36.0296,37.2288,1447954.4335989,0
TSLQ.US,D,20220725,000000,37.196,37.8699,36.9636,37.7958,941906.07235087,0
TSLQ.US,D,20220726,000000,38.0514,39.4252,37.9304,39.0709,1127037.5868,0
TSLQ.US,D,20220727,000000,38.3279,38.6389,36.5134,36.6948,1245182.087281,0
TSLQ.US,D,20220728,000000,35.9863,36.9282,35.5631,35.8654,1217562.2990829,0
TSLQ.US,D,20220729,000000,35.8999,36.0901,33.6362,33.7831,1693743.2343235,0
TSLQ.US,D,20220801,000000,33.3252,34.0336,32.1318,33.7399,3392018.7805219,0
TSLQ.US,D,20220802,000000,34.1374,34.2756,32.5648,33.3856,1813056.6916467,0
TSLQ.US,D,20220803,000000,32.8932,33.351,32.4352,32.6339,1378788.0674193,0
TSLQ.US,D,20220804,000000,32.2365,32.8845,31.9954,32.5044,883845.95355432,0
TSLQ.US,D,20220805,000000,33.1351,34.9365,32.9795,34.6557,2916704.7251573,0
TSLQ.US,D,20220808,000000,33.8781,34.5607,32.6339,34.1374,1453214.7393884,0
TSLQ.US,D,20220809,000000,34.3966,35.7098,34.1987,35.2347,1981663.0914505,0
TSLQ.US,D,20220810,000000,33.5066,35.2346,33.472,33.8781,2321284.4051063,0
TSLQ.US,D,20220811,000000,33.5758,34.8458,33.4203,34.7335,1171456.7894172,0
TSLQ.US,D,20220812,000000,34.4225,34.915,33.1178,33.1351,1533643.5996577,0
TSLQ.US,D,20220815,000000,32.9018,32.9883,31.6836,32.0723,1716541.3648937,0
TSLQ.US,D,20220816,000000,31.8563,32.7549,31.5453,32.3574,2652407.055305,0
TSLQ.US,D,20220817,000000,32.729,33.0833,32.0711,32.6253,1105928.0780443,0
TSLQ.US,D,20220818,000000,32.4439,32.8759,32.3834,32.8068,710622.75291559,0
TSLQ.US,D,20220819,000000,33.2129,33.8609,33.0919,33.3856,1208371.5205847,0
TSLQ.US,D,20220822,000000,33.93,34.6126,33.93,34.1892,738729.7993618,0
TSLQ.US,D,20220823,000000,33.9991,34.3966,33.1524,33.4461,1178447.3828096,0
TSLQ.US,D,20220824,000000,33.2906,33.4203,32.6253,33.3684,880707.1308258,0
TSLQ.US,D,20220825,000000,32.729,33.9732,32.7031,33.4634,1176802.7415496,0
TSLQ.US,D,20220826,000000,33.3252,34.4484,32.8068,34.3793,1385293.7173297,0
TSLQ.US,D,20220829,000000,34.9927,35.2511,34.4234,34.7422,1255792.974735,0
TSLQ.US,D,20220830,000000,34.3706,36.2456,34.3188,35.6494,1863479.2399471,0
TSLQ.US,D,20220831,000000,35.2347,36.3838,35.1915,35.9086,1157645.7379351,0
TSLQ.US,D,20220901,000000,36.3233,37.1269,35.6667,35.7155,1825087.6880563,0
TSLQ.US,D,20220902,000000,35.1223,36.7727,35.0791,36.5825,1192656.5740478,0
TSLQ.US,D,20220906,000000,36.3233,37.2205,35.8395,36.0123,1535537.0782653,0
TSLQ.US,D,20220907,000000,36.2283,36.3061,34.8286,34.8891,950043.63230818,0
TSLQ.US,D,20220908,000000,35.1396,35.3038,34.1374,34.1374,827303.16388649,0
TSLQ.US,D,20220909,000000,33.8695,33.8868,32.8932,32.9278,1058272.8325255,0
TSLQ.US,D,20220912,000000,32.7895,32.8154,32.297,32.392,711071.81752425,0
TSLQ.US,D,20220913,000000,33.6362,33.8609,33.1351,33.7226,1485277.7209696,0
TSLQ.US,D,20220914,000000,33.6881,33.7399,32.1163,32.4784,1804252.4790744,0
TSLQ.US,D,20220915,000000,32.5735,32.6772,31.8045,32.392,1696829.9748165,0
TSLQ.US,D,20220916,000000,32.824,33.2388,32.392,32.4179,1712448.8585633,0
TSLQ.US,D,20220919,000000,32.7809,32.9926,31.7267,31.8045,2187950.4099758,0
TSLQ.US,D,20220920,000000,32.0292,32.1588,31.3725,31.8563,2005553.7915841,0
TSLQ.US,D,20220921,000000,31.8737,32.6858,31.3207,32.6858,1957863.824575,0
TSLQ.US,D,20220922,000000,32.7635,34.267,32.6167,33.9819,2475161.9486996,0
TSLQ.US,D,20220923,000000,34.6644,35.8265,34.4657,35.5112,2188850.8539592,0
TSLQ.US,D,20220926,000000,35.9777,36.1851,34.4225,35.4593,1721903.5203882,0
TSLQ.US,D,20220927,000000,34.4139,35.2606,33.8522,34.5607,1993277.4299759,0
TSLQ.US,D,20220928,000000,34.5607,35.2001,33.8263,33.9991,1734943.7547843,0
TSLQ.US,D,20220929,000000,34.578,36.5479,34.4743,36.2456,2456180.8673029,0
TSLQ.US,D,20220930,000000,36.5653,37.0404,35.3118,36.6603,1631276.9584003,0
TSLQ.US,D,20221003,000000,38.1982,40.0386,38.0945,39.8226,3313996.1195345,0
TSLQ.US,D,20221004,000000,38.5266,39.9349,37.5157,38.7166,4058414.4564003,0
TSLQ.US,D,20221005,000000,39.4252,41.2396,39.1746,40.1415,1818231.3510933,0
TSLQ.US,D,20221006,000000,40.2459,40.9623,39.4511,40.5484,1194489.8687388,0
TSLQ.US,D,20221007,000000,41.2137,43.2614,41.1528,43.0454,1256698.0482504,0
TSLQ.US,D,20221010,000000,42.8899,43.9698,42.3283,43.1145,1752136.6794275,0
TSLQ.US,D,20221011,000000,43.4861,44.6352,42.5875,44.376,1097599.54989,0
TSLQ.US,D,20221012,000000,44.5315,45.3696,43.8087,44.1859,1294919.4648384,0
TSLQ.US,D,20221013,000000,45.9225,46.3891,43.0535,43.3219,1636062.7371549,0
TSLQ.US,D,20221014,000000,42.864,46.726,42.4233,46.5446,1340831.691541,0
TSLQ.US,D,20221017,000000,45.4042,45.5338,42.743,43.2787,1588120.4606491,0
TSLQ.US,D,20221018,000000,41.3433,43.7021,41.2569,43.1145,899820.15388582,0
TSLQ.US,D,20221019,000000,43.2355,43.6242,42.6393,42.8121,1195236.3807816,0
TSLQ.US,D,20221020,000000,45.4647,46.657,44.039,45.672,2391705.3744709,0
TSLQ.US,D,20221021,000000,45.8708,46.3694,44.0131,44.0736,1459431.0435458,0
TSLQ.US,D,20221024,000000,45.8275,47.3396,44.2723,44.7043,1470722.4722108,0
TSLQ.US,D,20221025,000000,44.9635,44.9635,41.9568,42.4146,1502922.0249874,0
