<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLR.US,D,20230824,000000,26.16,26.16,24.75,24.75,785,0
TSLR.US,D,20230825,000000,25.39,26.4507,25.39,26.4507,2052,0
TSLR.US,D,20230828,000000,27.59,27.59,25.95,26.38,4045,0
TSLR.US,D,20230829,000000,26.55,29.86,26.315,29.6978,7303,0
TSLR.US,D,20230830,000000,29.5,30.2154,29.5,29.781,8583,0
TSLR.US,D,20230831,000000,30.29,30.42,29.53,30.0371,11817,0
TSLR.US,D,20230901,000000,31.21,31.21,26.8201,27.5,11606,0
TSLR.US,D,20230905,000000,27.7899,29.705,27.78,29.59,24083,0
TSLR.US,D,20230906,000000,29.05,29.05,27.0901,28.358,10252,0
TSLR.US,D,20230907,000000,27.29,28.65,27,28.5331,9213,0
TSLR.US,D,20230908,000000,29.02,29.44,27.6013,27.8984,21289,0
TSLR.US,D,20230911,000000,30.9859,33.21,30.3588,32.8241,103657,0
TSLR.US,D,20230912,000000,32.44,33.77,31.44,31.5147,73904,0
TSLR.US,D,20230913,000000,31.99,33.07,31.7301,32.3,181408,0
TSLR.US,D,20230914,000000,32.44,33.405,32.21,33.2991,109547,0
TSLR.US,D,20230915,000000,33.6,33.78,32.259,32.8956,164604,0
TSLR.US,D,20230918,000000,32.18,32.18,30.84,31.0072,149617,0
TSLR.US,D,20230919,000000,30.75,31.42,30.22,31.2303,106463,0
TSLR.US,D,20230920,000000,31.25,32.75,30.44,30.4717,152942,0
TSLR.US,D,20230921,000000,29.47,29.92,28.76,28.98,58339,0
TSLR.US,D,20230922,000000,29.31,29.34,26.81,26.81,83935,0
TSLR.US,D,20230925,000000,26.46,27.2198,25.62,27.09,72715,0
TSLR.US,D,20230926,000000,26.4,27.462,26.4,26.64,69288,0
TSLR.US,D,20230927,000000,26.72,26.8599,24.9015,25.95,75168,0
TSLR.US,D,20230928,000000,25.94,27.27,25.6575,26.99,88445,0
TSLR.US,D,20230929,000000,27.79,28.62,27.25,27.77,57775,0
TSLR.US,D,20231002,000000,26.46,28.49,26.46,28.03,50315,0
TSLR.US,D,20231003,000000,27.45,27.7368,26.683,27.08,101313,0
TSLR.US,D,20231004,000000,27.39,29.91,27.39,29.84,63308,0
TSLR.US,D,20231005,000000,29.38,30.29,28.9585,29.56,78993,0
TSLR.US,D,20231006,000000,28.39,29.8311,27.81,29.61,39818,0
TSLR.US,D,20231009,000000,28.61,29.76,28.01,29.47,98704,0
TSLR.US,D,20231010,000000,29.14,31.265,29.14,30.29,66095,0
TSLR.US,D,20231011,000000,30.83,31.24,29.725,30.16,139849,0
TSLR.US,D,20231012,000000,30.2,30.9684,28.88,29.28,90738,0
TSLR.US,D,20231013,000000,29.28,29.39,27.65,27.7352,39805,0
