<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLZ.US,D,20231023,000000,39.13,41.15,36.44,38.1709,70021,0
TSLZ.US,D,20231024,000000,35.9947,37.27,34.6408,36.47,10514,0
TSLZ.US,D,20231025,000000,36,37.85,36,37.85,18146,0
TSLZ.US,D,20231026,000000,37.66,40.46,37.66,40.27,13733,0
TSLZ.US,D,20231027,000000,38.03,39.991,38.03,39.68,14710,0
TSLZ.US,D,20231030,000000,38.88,44.31,38.7,43.56,51130,0
TSLZ.US,D,20231031,000000,44.27,45.099,41.5,42,44889,0
TSLZ.US,D,20231101,000000,40.84,43.2585,40.04,40.04,14552,0
TSLZ.US,D,20231102,000000,37.36,37.61,35,35.04,60933,0
TSLZ.US,D,20231103,000000,34.3,35.0699,32.58,34.68,54372,0
TSLZ.US,D,20231106,000000,33.31,36.2,33.06,34.81,56217,0
TSLZ.US,D,20231107,000000,34.6,35.99,33.889,33.92,42757,0
TSLZ.US,D,20231108,000000,33.795,35.27,33.795,33.95,13990,0
TSLZ.US,D,20231109,000000,34.961,38.6299,34.961,37.67,30900,0
TSLZ.US,D,20231110,000000,38.14,39.087,35.82,35.95,106101,0
TSLZ.US,D,20231113,000000,35.82,37.06,32.41,33.33,52178,0
TSLZ.US,D,20231114,000000,29.66,30.87,28.89,29.02,86114,0
TSLZ.US,D,20231115,000000,28.5,28.9918,26.76,27.67,60208,0
TSLZ.US,D,20231116,000000,28.41,30.39,28.291,29.81,83008,0
TSLZ.US,D,20231117,000000,30.33,31.539,28.82,29.54,128415,0
TSLZ.US,D,20231120,000000,30.275,30.33,29,29.24,36584,0
TSLZ.US,D,20231121,000000,28.9453,28.9453,27.33,27.88,49693,0
TSLZ.US,D,20231122,000000,27.83,30.11,27.41,29.5,69180,0
TSLZ.US,D,20231124,000000,29.9043,29.9043,27.7515,29.33,3816,0
TSLZ.US,D,20231127,000000,28.94,29.88,28.6,29.06,20318,0
TSLZ.US,D,20231128,000000,28.74,29.58,26.42,26.42,50442,0
