<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSMX.US,D,20241007,000000,26.61,27.6096,26.61,27.49,20366,0
TSMX.US,D,20241008,000000,27.51,28.0792,27.24,27.88,34883,0
TSMX.US,D,20241009,000000,28.49,28.49,26.94,28.225,32407,0
TSMX.US,D,20241010,000000,28,28,27.7315,27.89,17388,0
TSMX.US,D,20241011,000000,28.55,29.5,28.55,29.25,41291,0
TSMX.US,D,20241014,000000,29.36,30.51,29.29,29.83,126181,0
TSMX.US,D,20241015,000000,30.05,30.1,27.33,28.34,113063,0
TSMX.US,D,20241016,000000,28.98,29,28,28.2,149567,0
TSMX.US,D,20241017,000000,33.01,35.75,32.6,33.77,535285,0
TSMX.US,D,20241018,000000,33.59,33.63,32.071,32.08,244732,0
TSMX.US,D,20241021,000000,32.07,32.85,31.7042,32.36,147051,0
TSMX.US,D,20241022,000000,31.56,31.7,30.85,31.31,112777,0
TSMX.US,D,20241023,000000,30.72,32.72,30.69,31.8,216188,0
TSMX.US,D,20241024,000000,31.7,31.7743,30.911,31.1,144415,0
TSMX.US,D,20241025,000000,31.76,33.31,31.76,32.78,207343,0
TSMX.US,D,20241028,000000,31.58,31.58,29.9044,29.99,363889,0
TSMX.US,D,20241029,000000,29.85,31.18,29.6,30.64,189784,0
