<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSMZ.US,D,20241010,000000,23.6441,23.6441,23.6441,23.6441,38,0
TSMZ.US,D,20241011,000000,23.2,23.2,23.2,23.2,11,0
TSMZ.US,D,20241014,000000,22.79,22.98,22.79,22.98,204,0
TSMZ.US,D,20241015,000000,23.01,23.4908,23.01,23.4908,1217,0
TSMZ.US,D,20241016,000000,23.13,23.56,23.13,23.4563,48880,0
TSMZ.US,D,20241017,000000,21.48,21.6,20.331,21.14,110582,0
TSMZ.US,D,20241018,000000,21.285,21.69,21.285,21.69,11115,0
TSMZ.US,D,20241021,000000,21.5104,21.75,21.47,21.59,4328,0
TSMZ.US,D,20241022,000000,22.049,22.0499,21.9313,21.96,6011,0
TSMZ.US,D,20241023,000000,21.82,21.965,21.541,21.88,6605,0
TSMZ.US,D,20241024,000000,21.93,22.03,21.65,22.03,1114,0
TSMZ.US,D,20241025,000000,21.45,21.45,21.45,21.45,401,0
TSMZ.US,D,20241028,000000,22.1,22.3121,22.04,22.3121,5767,0
TSMZ.US,D,20241029,000000,22.43,22.43,21.95,22.02,1973,0
