<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSPY.US,D,20240819,000000,24.66,25.07,24.64,24.7352,15462,0
TSPY.US,D,20240820,000000,24.82,24.82,24.74,24.7638,6060,0
TSPY.US,D,20240821,000000,24.85,24.92,24.775,24.8215,3278,0
TSPY.US,D,20240822,000000,25.54,25.54,24.53,24.5493,18468,0
TSPY.US,D,20240823,000000,24.7575,25.15,24.71,24.9,4503,0
TSPY.US,D,20240826,000000,24.85,24.92,24.83,24.92,7442,0
TSPY.US,D,20240827,000000,24.84,24.8457,24.73,24.8457,5551,0
TSPY.US,D,20240828,000000,24.65,24.7184,24.64,24.7184,414,0
TSPY.US,D,20240829,000000,24.9688,24.9695,24.7116,24.7116,1647,0
TSPY.US,D,20240830,000000,25.01,25.01,25.01,25.01,49,0
TSPY.US,D,20240903,000000,24.7,24.7,24.46,24.52,44100,0
TSPY.US,D,20240904,000000,24.42,24.52,24.4014,24.4014,1182,0
TSPY.US,D,20240905,000000,24.5137,24.5137,24.3,24.319,6345,0
TSPY.US,D,20240906,000000,24.4,24.4,23.98,23.9823,1237,0
TSPY.US,D,20240909,000000,24.19,24.27,24.19,24.22,844,0
TSPY.US,D,20240910,000000,24.47,24.47,24.27,24.3475,2869,0
TSPY.US,D,20240911,000000,24.52,24.6277,24.081,24.6277,4313,0
TSPY.US,D,20240912,000000,24.615,24.78,24.57,24.7724,8811,0
TSPY.US,D,20240913,000000,24.86,24.96,24.86,24.9026,8735,0
TSPY.US,D,20240916,000000,24.93,24.93,24.885,24.9199,3307,0
TSPY.US,D,20240917,000000,25.06,25.12,24.9084,24.922,2790,0
TSPY.US,D,20240918,000000,24.93,26.01,24.93,25.105,3223,0
TSPY.US,D,20240919,000000,25.49,25.49,25.24,25.3058,2315,0
TSPY.US,D,20240920,000000,25.44,25.44,25.25,25.2653,1138,0
TSPY.US,D,20240923,000000,25.51,25.51,25.35,25.3758,2455,0
TSPY.US,D,20240924,000000,25.4089,25.4089,25.4089,25.4089,171,0
TSPY.US,D,20240925,000000,25.47,25.49,25.3625,25.3625,3907,0
TSPY.US,D,20240926,000000,25.565,25.565,25.45,25.4975,1114,0
TSPY.US,D,20240927,000000,25.58,25.59,25.4784,25.4784,799,0
TSPY.US,D,20240930,000000,25.425,25.61,25.3136,25.61,1367,0
TSPY.US,D,20241001,000000,25.33,25.45,25.27,25.3976,888,0
TSPY.US,D,20241002,000000,25.35,25.4,25.34,25.3545,897,0
TSPY.US,D,20241003,000000,25.09,25.09,24.95,25.0151,1403,0
TSPY.US,D,20241004,000000,25.22,25.26,25.075,25.2489,5389,0
TSPY.US,D,20241007,000000,25.35,25.35,25.0446,25.0446,7920,0
TSPY.US,D,20241008,000000,25.27,25.48,25.27,25.2888,680,0
TSPY.US,D,20241009,000000,25.33,25.71,25,25.4225,91938,0
TSPY.US,D,20241010,000000,25.56,25.62,25.29,25.5256,3060,0
TSPY.US,D,20241011,000000,25.23,25.714,25.23,25.714,2431,0
TSPY.US,D,20241014,000000,25.77,25.8,25.76,25.8,5417,0
TSPY.US,D,20241015,000000,25.56,25.71,25.41,25.71,4581,0
TSPY.US,D,20241016,000000,25.59,25.6687,25.55,25.6429,2549,0
TSPY.US,D,20241017,000000,25.6523,25.6523,25.61,25.6114,3796,0
TSPY.US,D,20241018,000000,25.71,25.71,25.65,25.7,1001,0
TSPY.US,D,20241021,000000,25.68,26.09,25.62,25.9125,14600,0
TSPY.US,D,20241022,000000,25.74,26.06,25.55,25.6318,8072,0
TSPY.US,D,20241023,000000,26.38,26.3899,25.5,25.6128,13850,0
TSPY.US,D,20241024,000000,25.7,25.9318,25.65,25.7149,9138,0
TSPY.US,D,20241025,000000,26.35,26.35,25.42,25.5,14117,0
TSPY.US,D,20241028,000000,25.83,25.83,25.5,25.5538,12548,0
TSPY.US,D,20241029,000000,25.5,25.67,25.39,25.63,13707,0
