<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TVGNW.US,D,20240216,000000,0.08,0.135,0.08,0.1,32922,0
TVGNW.US,D,20240220,000000,0.08,0.0801,0.0663,0.0675,234797,0
TVGNW.US,D,20240222,000000,0.065,0.0725,0.0301,0.055,60262,0
TVGNW.US,D,20240223,000000,0.059,0.063,0.055,0.063,7900,0
TVGNW.US,D,20240226,000000,0.069,0.07,0.06,0.065,1771,0
TVGNW.US,D,20240227,000000,0.07,0.0849,0.05,0.05,8498,0
TVGNW.US,D,20240228,000000,0.07,0.07,0.0575,0.06,16369,0
TVGNW.US,D,20240229,000000,0.0625,0.0799,0.06,0.06,27538,0
TVGNW.US,D,20240301,000000,0.0628,0.07,0.06,0.06,27746,0
TVGNW.US,D,20240304,000000,0.064999,0.078,0.064999,0.075,65641,0
TVGNW.US,D,20240305,000000,0.08,0.0889,0.075,0.0889,13519,0
TVGNW.US,D,20240306,000000,0.0721,0.0721,0.07,0.07,3002,0
TVGNW.US,D,20240307,000000,0.08,0.0889,0.08,0.08,10401,0
TVGNW.US,D,20240308,000000,0.0851,0.0851,0.08,0.08,4510,0
TVGNW.US,D,20240311,000000,0.0888,0.0888,0.0888,0.0888,12500,0
TVGNW.US,D,20240312,000000,0.08,0.0889,0.08,0.08,5100,0
TVGNW.US,D,20240314,000000,0.08,0.08,0.0799,0.0799,2107,0
TVGNW.US,D,20240315,000000,0.08,0.08,0.0799,0.08,1123,0
TVGNW.US,D,20240318,000000,0.07995,0.07995,0.0798,0.0798,1216,0
TVGNW.US,D,20240319,000000,0.08,0.08,0.072,0.072,1895,0
TVGNW.US,D,20240320,000000,0.0721,0.0721,0.068,0.068,2500,0
TVGNW.US,D,20240321,000000,0.08,0.0801,0.08,0.08,2301,0
TVGNW.US,D,20240326,000000,0.072,0.072,0.072,0.072,500,0
TVGNW.US,D,20240327,000000,0.072,0.0721,0.0709,0.0709,916,0
