<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPC.US,D,20210323,000000,31.56,34.314,26.04,28.5,342616.6673519,0
UPC.US,D,20210324,000000,27,28.44,25.02,25.02,29548.833392431,0
UPC.US,D,20210325,000000,25.2,25.2,22.5,24.3,19932.500039865,0
UPC.US,D,20210326,000000,24.6,26.7,24.3,24.36,20128.666706924,0
UPC.US,D,20210329,000000,63,71.94,30.96,33.66,8175726.1830181,0
UPC.US,D,20210330,000000,29.76,29.76,24.66,26.22,373965.83408126,0
UPC.US,D,20210331,000000,25.8,25.86,23.7,24.06,164049.16699476,0
UPC.US,D,20210401,000000,32.04,43.32,30.42,31.5,12658784.025318,0
UPC.US,D,20210405,000000,33.1416,33.9,31.44,33.9,353311.16737329,0
UPC.US,D,20210406,000000,33.42,33.6,30.6,31.08,196124.16705891,0
UPC.US,D,20210407,000000,30.72,32.88,27.6,30.6,190838.33371501,0
UPC.US,D,20210408,000000,28.8,29.7,28.2,28.74,44767.666756202,0
UPC.US,D,20210409,000000,27.72,28.8,27.36,27.84,48556.833430447,0
UPC.US,D,20210412,000000,27.3,27.36,24.54,25.32,58435.833450205,0
UPC.US,D,20210413,000000,24.78,24.9594,24.06,24.54,42574.833418483,0
UPC.US,D,20210414,000000,24.24,25.02,23.22,23.52,49112.333431558,0
UPC.US,D,20210415,000000,23.58,23.64,21,21.72,61662.333456658,0
UPC.US,D,20210416,000000,21.42,23.67,21.42,23.22,46638.500093277,0
UPC.US,D,20210419,000000,23.46,23.58,21.03,21.3,41615.666749898,0
UPC.US,D,20210420,000000,21.24,21.9,20.4,20.64,45809.000091618,0
UPC.US,D,20210421,000000,20.4,21.78,20.4,21.6,37274.166741215,0
UPC.US,D,20210422,000000,21.3,21.78,20.7414,21.3,33566.000067132,0
UPC.US,D,20210423,000000,21.06,21.78,20.76,21,28221.000056442,0
UPC.US,D,20210426,000000,21.3,22.44,21,22.38,32402.166731471,0
UPC.US,D,20210427,000000,22.14,22.32,21.24,21.6,32344.166731355,0
UPC.US,D,20210428,000000,21.48,23.34,21.48,22.5,41139.333415612,0
UPC.US,D,20210429,000000,22.62,23.04,21.6,22.26,33669.833400673,0
UPC.US,D,20210430,000000,21.66,22.38,21.66,22.08,14874.333363082,0
UPC.US,D,20210503,000000,21.96,21.96,20.5518,21.12,37706.166742079,0
UPC.US,D,20210504,000000,20.88,21.1206,20.52,20.94,23141.833379617,0
UPC.US,D,20210505,000000,20.7,20.883,20.4,20.58,17054.166700775,0
UPC.US,D,20210506,000000,20.4,20.427,18.54,19.14,27666.166721999,0
UPC.US,D,20210507,000000,18.9,19.8,18.72,19.14,21002.333375338,0
UPC.US,D,20210510,000000,18.84,19.5,18.12,18.36,11243.166689153,0
UPC.US,D,20210511,000000,18.6,20.13,18.18,19.8,32019.666730706,0
UPC.US,D,20210512,000000,19.98,20.88,19.32,19.38,27876.166722419,0
UPC.US,D,20210513,000000,19.26,20.4,18.06,18.54,42624.833418583,0
UPC.US,D,20210514,000000,18.12,19.62,18.09,19.44,37450.0000749,0
UPC.US,D,20210517,000000,19.38,19.734,18.84,19.14,16010.166698687,0
UPC.US,D,20210518,000000,18.84,19.86,18.66,19.14,38827.166744321,0
UPC.US,D,20210519,000000,18.72,19.26,18.6924,19.26,6491.333346316,0
UPC.US,D,20210520,000000,18.84,19.8,18.84,19.8,9395.833352125,0
UPC.US,D,20210521,000000,19.68,20.04,19.32,19.62,7346.500014693,0
UPC.US,D,20210524,000000,19.26,20.04,19.26,19.74,5241.833343817,0
UPC.US,D,20210525,000000,19.5,19.74,18.9,19.32,12436.66669154,0
UPC.US,D,20210526,000000,20.7,20.7,19.2,19.8,19522.000039044,0
UPC.US,D,20210527,000000,19.56,20.34,19.32,19.8,16769.833366873,0
UPC.US,D,20210528,000000,19.68,19.9194,18.9,19.26,11806.166690279,0
UPC.US,D,20210601,000000,19.14,19.38,18.78,19.2,10055.833353445,0
UPC.US,D,20210602,000000,19.0512,19.32,18.6,18.9,12921.66669251,0
UPC.US,D,20210603,000000,18.84,18.84,17.88,18.6,22047.500044095,0
UPC.US,D,20210604,000000,18.42,18.54,17.22,17.88,35199.166737065,0
UPC.US,D,20210607,000000,18,19.02,18,18.42,23069.833379473,0
UPC.US,D,20210608,000000,18.48,18.66,18,18.6,9314.833351963,0
UPC.US,D,20210609,000000,18.9,18.9,17.88,18.06,26404.333386142,0
UPC.US,D,20210610,000000,18.18,18.2394,17.52,17.7,18899.666704466,0
UPC.US,D,20210611,000000,17.76,18.06,17.46,17.82,8411.500016823,0
UPC.US,D,20210614,000000,17.76,18.66,17.76,18.54,15560.333364454,0
UPC.US,D,20210615,000000,18.4254,20.3736,18.36,19.44,60539.000121078,0
UPC.US,D,20210616,000000,19.32,19.32,18.42,18.6,19798.500039597,0
UPC.US,D,20210617,000000,18.72,19.059,18.12,18.24,11274.833355883,0
UPC.US,D,20210618,000000,18.24,18.3,17.82,18.06,9153.166684973,0
UPC.US,D,20210621,000000,17.82,18.123,17.76,17.82,6360.166679387,0
UPC.US,D,20210622,000000,18.06,18.3,17.64,18.1554,9417.333352168,0
UPC.US,D,20210623,000000,18.24,18.5994,17.8824,18.21,8201.833349737,0
UPC.US,D,20210624,000000,18.54,19.08,18.12,18.18,21717.833376769,0
UPC.US,D,20210625,000000,18.18,18.54,18.0606,18.3,10153.666686974,0
UPC.US,D,20210628,000000,18.3,18.3966,17.52,17.58,178549.16702376,0
UPC.US,D,20210629,000000,19.44,22.68,18.9,22.2,333003.00066601,0
UPC.US,D,20210630,000000,21.06,21.3654,18.6,19.02,77126.833487587,0
UPC.US,D,20210701,000000,19.26,19.7394,18.78,18.96,21688.833376711,0
UPC.US,D,20210702,000000,19.14,19.98,18.66,18.96,44669.333422672,0
UPC.US,D,20210706,000000,18.78,19.2,17.94,18,41494.500082989,0
UPC.US,D,20210707,000000,18.18,19.14,17.4,17.58,25758.166718183,0
UPC.US,D,20210708,000000,18.18,18.18,17.22,17.64,32636.500065273,0
UPC.US,D,20210709,000000,17.64,17.88,17.2248,17.7,13367.000026734,0
UPC.US,D,20210712,000000,18.24,18.2676,17.4,17.58,10810.333354954,0
UPC.US,D,20210713,000000,17.7,17.94,16.92,17.22,11253.000022506,0
UPC.US,D,20210714,000000,17.28,17.28,16.38,16.5,11718.833356771,0
UPC.US,D,20210715,000000,16.8702,17.5224,16.08,16.38,9820.166686307,0
UPC.US,D,20210716,000000,16.62,16.62,16.2,16.38,6263.33334586,0
UPC.US,D,20210719,000000,15.84,16.2,15.12,15.6,12213.833357761,0
UPC.US,D,20210720,000000,15.48,16.02,15.168,15.9,17298.000034596,0
UPC.US,D,20210721,000000,15.96,16.08,15.72,15.9,3866.000007732,0
UPC.US,D,20210722,000000,15.72,24.66,15.6,22.98,2166315.5043326,0
UPC.US,D,20210723,000000,27,30,16.8,18.24,2027637.8373886,0
UPC.US,D,20210726,000000,16.56,17.16,15.9,16.74,142063.16695079,0
UPC.US,D,20210727,000000,16.14,16.26,14.76,15.42,65627.333464588,0
UPC.US,D,20210728,000000,15,15.6,13.92,14.4,100024.83353338,0
UPC.US,D,20210729,000000,14.7,14.88,14.16,14.58,54195.333441724,0
UPC.US,D,20210730,000000,14.16,14.6352,14.04,14.22,31106.500062213,0
UPC.US,D,20210802,000000,15.18,15.84,14.64,15.54,82520.00016504,0
UPC.US,D,20210803,000000,15.24,15.54,14.34,14.34,32273.33339788,0
UPC.US,D,20210804,000000,14.7,18.24,14.34,16.2,373809.00074762,0
UPC.US,D,20210805,000000,15.66,17.28,15.3726,15.72,64210.500128421,0
UPC.US,D,20210806,000000,15.78,16.5,15.6,15.96,50565.333434464,0
UPC.US,D,20210809,000000,15.72,16.68,15.72,15.84,33742.666734152,0
UPC.US,D,20210810,000000,15.84,16.11,15.3,15.78,17688.000035376,0
UPC.US,D,20210811,000000,15.72,15.9138,14.88,15.18,32734.833398803,0
UPC.US,D,20210812,000000,15,15.24,14.6562,15.12,11632.833356599,0
UPC.US,D,20210813,000000,14.94,15.0216,14.46,14.58,13359.166693385,0
UPC.US,D,20210816,000000,14.58,14.625,14.0304,14.4,28380.833390095,0
UPC.US,D,20210817,000000,14.4,14.4,13.68,14.043,25376.000050752,0
UPC.US,D,20210818,000000,14.04,14.88,13.62,14.52,76793.500153587,0
UPC.US,D,20210819,000000,14.58,14.88,14.1,14.4,17121.166700909,0
UPC.US,D,20210820,000000,14.52,15.36,13.68,13.86,145895.00029179,0
UPC.US,D,20210823,000000,13.98,14.5194,13.8,14.04,43415.333420164,0
UPC.US,D,20210824,000000,14.16,14.7486,13.98,14.22,46639.166759945,0
UPC.US,D,20210825,000000,14.28,16.14,14.1,15,272743.00054549,0
UPC.US,D,20210826,000000,14.7,14.88,13.92,14.04,48597.500097195,0
UPC.US,D,20210827,000000,14.1,14.7,13.8,14.22,47352.166761371,0
