<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USOY.US,D,20240514,000000,19.9,19.9,19.6361,19.76,7435,0
USOY.US,D,20240515,000000,19.78,20.12,19.67,20.1135,7602,0
USOY.US,D,20240516,000000,20.23,20.23,20.15,20.15,5119,0
USOY.US,D,20240517,000000,20.18,20.29,20.18,20.28,3344,0
USOY.US,D,20240520,000000,20.21,20.38,20.13,20.2263,9948,0
USOY.US,D,20240521,000000,20.08,20.16,19.9725,20.1038,11426,0
USOY.US,D,20240522,000000,19.82,20.11,19.805,19.805,3452,0
USOY.US,D,20240523,000000,19.98,19.98,19.72,19.77,34738,0
USOY.US,D,20240524,000000,19.9,20.025,19.9,20.025,1645,0
USOY.US,D,20240528,000000,20.2423,20.32,20.2423,20.295,16831,0
USOY.US,D,20240529,000000,20.3,20.31,20.275,20.275,2191,0
USOY.US,D,20240530,000000,20.19,20.2666,20.01,20.0737,6883,0
USOY.US,D,20240531,000000,20.1,20.47,19.82,19.94,38530,0
USOY.US,D,20240603,000000,19.44,19.44,18.5599,18.5599,19539,0
USOY.US,D,20240604,000000,18.41,18.45,18.15,18.4,26585,0
USOY.US,D,20240605,000000,18.38,18.53,18.38,18.53,7678,0
USOY.US,D,20240606,000000,18.57,18.68,18.57,18.66,6020,0
USOY.US,D,20240607,000000,18.7,18.7132,18.6921,18.705,5857,0
USOY.US,D,20240610,000000,18.7,18.96,18.7,18.93,5834,0
USOY.US,D,20240611,000000,18.9166,18.98,18.88,18.965,7909,0
USOY.US,D,20240612,000000,19.1,19.1,19,19.07,2483,0
USOY.US,D,20240613,000000,19.1199,19.15,19.061,19.061,10463,0
USOY.US,D,20240614,000000,19.15,19.2399,19.14,19.1856,7628,0
USOY.US,D,20240617,000000,19.25,19.44,19.25,19.415,6414,0
USOY.US,D,20240618,000000,19.46,19.47,19.4443,19.4443,4787,0
USOY.US,D,20240620,000000,19.5001,19.62,19.5001,19.595,4241,0
USOY.US,D,20240621,000000,19.59,19.68,19.56,19.5788,7110,0
USOY.US,D,20240624,000000,19.49,19.78,19.49,19.745,10635,0
USOY.US,D,20240625,000000,19.7331,19.79,19.62,19.63,4859,0
USOY.US,D,20240626,000000,19.65,19.79,19.53,19.6021,8430,0
USOY.US,D,20240627,000000,19.77,19.81,19.725,19.79,17495,0
