<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VACH.US,D,20241001,000000,9.97,9.98,9.97,9.97,620897,0
VACH.US,D,20241002,000000,9.98,9.98,9.97,9.97,503907,0
VACH.US,D,20241003,000000,9.975,9.99,9.97,9.98,531502,0
VACH.US,D,20241004,000000,9.97,9.98,9.97,9.98,174098,0
VACH.US,D,20241007,000000,9.98,9.99,9.98,9.98,446082,0
VACH.US,D,20241008,000000,9.98,10,9.98,10,199636,0
VACH.US,D,20241009,000000,9.98,10.02,9.98,10.01,140945,0
VACH.US,D,20241010,000000,10.01,10.01,10,10,424659,0
VACH.US,D,20241011,000000,10,10,10,10,4709,0
VACH.US,D,20241014,000000,10,10,9.99,9.99,11413,0
VACH.US,D,20241016,000000,10.01,10.01,10.01,10.01,898,0
VACH.US,D,20241017,000000,10.01,10.01,10.01,10.01,38775,0
VACH.US,D,20241018,000000,10,10.02,10,10.02,38072,0
VACH.US,D,20241021,000000,10,10.0022,10,10.0022,279214,0
VACH.US,D,20241022,000000,10.0005,10.03,10.0005,10.03,41271,0
VACH.US,D,20241023,000000,10.015,10.03,10.01,10.01,301858,0
VACH.US,D,20241024,000000,10.02,10.02,10.02,10.02,319886,0
VACH.US,D,20241025,000000,10.05,10.05,10.015,10.02,536503,0
VACH.US,D,20241028,000000,10.02,10.03,10.02,10.02,135891,0
VACH.US,D,20241029,000000,10.02,10.08,10.02,10.08,133307,0
