<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VCICU.US,D,20240911,000000,9.98,10,9.98,10,189271,0
VCICU.US,D,20240912,000000,9.98,9.99,9.972,9.972,18892,0
VCICU.US,D,20240913,000000,9.98,9.99,9.98,9.99,56432,0
VCICU.US,D,20240916,000000,9.99,10,9.99,10,1736,0
VCICU.US,D,20240917,000000,9.9814,10,9.9814,10,6248,0
VCICU.US,D,20240918,000000,10.01,10.01,10.01,10.01,602,0
VCICU.US,D,20240919,000000,9.9903,10.01,9.9901,9.9901,1782,0
VCICU.US,D,20240920,000000,10,10,9.995,9.995,14220,0
VCICU.US,D,20240923,000000,10,10,9.99,10,5416,0
VCICU.US,D,20240924,000000,9.99,10,9.99,10,1793,0
VCICU.US,D,20240925,000000,10,10,10,10,1200,0
VCICU.US,D,20240926,000000,9.99,10.01,9.99,10,2001,0
VCICU.US,D,20240927,000000,10.01,10.01,10.01,10.01,5650,0
VCICU.US,D,20240930,000000,10.003,10.003,9.99,10,348587,0
VCICU.US,D,20241001,000000,10.01,10.02,10.01,10.01,680892,0
VCICU.US,D,20241002,000000,10.01,10.02,10.01,10.01,282148,0
VCICU.US,D,20241003,000000,10,10.01,10,10.01,1118,0
VCICU.US,D,20241004,000000,10.01,10.02,10.01,10.02,105954,0
VCICU.US,D,20241007,000000,10,10.02,10,10.01,108564,0
VCICU.US,D,20241008,000000,10,10,10,10,154,0
VCICU.US,D,20241009,000000,10,10.02,9.99,10.01,9219,0
VCICU.US,D,20241010,000000,10,10,10,10,224,0
VCICU.US,D,20241011,000000,10.02,10.02,10.01,10.01,25278,0
VCICU.US,D,20241014,000000,10.01,10.01,10,10,3011,0
VCICU.US,D,20241015,000000,10.01,10.01,10.01,10.01,326,0
VCICU.US,D,20241016,000000,10,10.02,10,10.02,538,0
VCICU.US,D,20241017,000000,10.01,10.01,10.01,10.01,382,0
VCICU.US,D,20241018,000000,10.02,10.02,10.01,10.02,291111,0
VCICU.US,D,20241021,000000,10,10,10,10,202,0
VCICU.US,D,20241022,000000,10.02,10.02,10.02,10.02,53322,0
VCICU.US,D,20241023,000000,10.02,10.02,10.02,10.02,290,0
VCICU.US,D,20241024,000000,10,10.0024,10,10.0024,102505,0
VCICU.US,D,20241028,000000,10.03,10.03,10.03,10.03,1089,0
VCICU.US,D,20241029,000000,10.02,10.03,10.02,10.03,4085,0
