<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VLYPN.US,D,20240816,000000,24.45,24.58,24.3,24.5099,49325,0
VLYPN.US,D,20240819,000000,24.58,24.62,24.48,24.58,71646,0
VLYPN.US,D,20240820,000000,24.65,24.65,24.5,24.58,78651,0
VLYPN.US,D,20240821,000000,24.58,24.94,24.55,24.9,143833,0
VLYPN.US,D,20240822,000000,24.9499,25.05,24.83,24.9,154149,0
VLYPN.US,D,20240823,000000,24.9,25.14,24.8466,25.14,111658,0
VLYPN.US,D,20240826,000000,25.028,25.25,24.92,25.25,104048,0
VLYPN.US,D,20240827,000000,25.2392,25.3599,25.195,25.2,101558,0
VLYPN.US,D,20240828,000000,25.2567,25.4,25.2,25.26,56495,0
VLYPN.US,D,20240829,000000,25.25,25.355,25.15,25.3,59522,0
VLYPN.US,D,20240830,000000,25.3,25.58,25.2308,25.58,894545,0
VLYPN.US,D,20240903,000000,25.5,25.54,25.35,25.39,28880,0
VLYPN.US,D,20240904,000000,25.4673,25.5,25.3,25.39,19769,0
VLYPN.US,D,20240905,000000,25.35,25.702,25.35,25.69,39742,0
VLYPN.US,D,20240906,000000,25.8,25.8,25.54,25.58,11036,0
VLYPN.US,D,20240909,000000,25.665,25.75,25.65,25.74,24807,0
VLYPN.US,D,20240910,000000,25.74,25.85,25.6795,25.85,41527,0
VLYPN.US,D,20240911,000000,25.85,26,25.75,25.91,121968,0
VLYPN.US,D,20240912,000000,25.75,25.95,25.7,25.95,93349,0
VLYPN.US,D,20240913,000000,25.91,26.05,25.82,26.05,35436,0
VLYPN.US,D,20240916,000000,25.775,26.33,25.77,26.28,16440,0
VLYPN.US,D,20240917,000000,26.29,26.88,26.1,26.1001,101631,0
VLYPN.US,D,20240918,000000,26.5586,26.5586,26.25,26.42,10299,0
VLYPN.US,D,20240919,000000,26.46,26.46,26.3,26.3,9060,0
VLYPN.US,D,20240920,000000,26.3934,26.4,26.33,26.34,6021,0
VLYPN.US,D,20240923,000000,26.32,26.4,26.225,26.4,7657,0
VLYPN.US,D,20240924,000000,26.32,26.59,26.17,26.57,20737,0
VLYPN.US,D,20240925,000000,26.47,26.85,26.3217,26.75,27333,0
VLYPN.US,D,20240926,000000,26.6,26.75,26.175,26.36,49637,0
VLYPN.US,D,20240927,000000,26.4,26.4,26.14,26.22,11597,0
VLYPN.US,D,20240930,000000,26.25,26.25,25.6381,25.85,86940,0
VLYPN.US,D,20241001,000000,25.6875,25.9277,25.6501,25.84,14271,0
VLYPN.US,D,20241002,000000,25.93,25.93,25.65,25.82,4299,0
VLYPN.US,D,20241003,000000,25.75,25.9499,25.7,25.84,25409,0
VLYPN.US,D,20241004,000000,25.75,25.95,25.75,25.8,37011,0
VLYPN.US,D,20241007,000000,25.92,25.9399,25.8,25.89,12066,0
VLYPN.US,D,20241008,000000,25.82,26.0738,25.81,26,17494,0
VLYPN.US,D,20241009,000000,26.0999,26.45,26,26.4,32071,0
VLYPN.US,D,20241010,000000,26.45,26.45,26.25,26.4,10340,0
VLYPN.US,D,20241011,000000,26.368,26.45,26.18,26.44,15277,0
VLYPN.US,D,20241014,000000,25.91,26.33,25.8032,26.19,48387,0
VLYPN.US,D,20241015,000000,26.24,26.3499,26.24,26.255,16137,0
VLYPN.US,D,20241016,000000,26.35,26.5,26.08,26.5,13207,0
VLYPN.US,D,20241017,000000,26.4199,26.5,26.19,26.48,23678,0
VLYPN.US,D,20241018,000000,26.47,26.52,26.26,26.26,31439,0
VLYPN.US,D,20241021,000000,26.33,26.52,26.26,26.29,16526,0
VLYPN.US,D,20241022,000000,26.065,26.51,26.065,26.47,16174,0
VLYPN.US,D,20241023,000000,26.4,26.82,26.2,26.57,62264,0
VLYPN.US,D,20241024,000000,26.7,26.7,26.7,26.7,3112,0
VLYPN.US,D,20241025,000000,26.61,26.7499,26.61,26.67,2962,0
VLYPN.US,D,20241028,000000,26.6699,26.6699,26.33,26.56,5573,0
VLYPN.US,D,20241029,000000,26.385,26.55,26.1,26.5,31854,0
