<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VMCAU.US,D,20240815,000000,11.88,12.01,11.61,12.01,1213,0
VMCAU.US,D,20240920,000000,11.48,11.48,11.48,11.48,100,0
VMCAU.US,D,20241010,000000,12,12.9,11.68,12.9,3015,0
VMCAU.US,D,20241011,000000,14.06,14.06,11.44,12.34,2669,0
VMCAU.US,D,20241014,000000,12.5,12.5,12.5,12.5,1004,0
VMCAU.US,D,20241016,000000,13.55,14,11.52,11.71,8303,0
VMCAU.US,D,20241017,000000,11.56,11.61,11.54,11.54,401,0
VMCAU.US,D,20241018,000000,13.16,13.7,11.62,11.64,4384,0
VMCAU.US,D,20241021,000000,11.69,11.7,11.55,11.7,1100,0
VMCAU.US,D,20241025,000000,11.9,11.9,11.53,11.53,302,0
VMCAU.US,D,20241028,000000,11.8,11.8,11.8,11.8,100,0
