<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VMOT.US,D,20170504,000000,23.919,23.927,23.832,23.9,280940,0
VMOT.US,D,20170505,000000,23.94,24.092,23.94,24.092,72664,0
VMOT.US,D,20170508,000000,24.092,24.092,24.024,24.024,6498,0
VMOT.US,D,20170509,000000,24.063,24.063,24.063,24.063,1190,0
VMOT.US,D,20170510,000000,24.102,24.158,24.018,24.158,5889,0
VMOT.US,D,20170511,000000,23.812,24.053,23.812,24.053,550,0
VMOT.US,D,20170512,000000,23.977,23.987,23.919,23.957,836,0
VMOT.US,D,20170515,000000,24.102,24.121,24.054,24.121,51607,0
VMOT.US,D,20170516,000000,24.102,24.12,24.102,24.12,741,0
VMOT.US,D,20170517,000000,23.832,23.832,23.822,23.822,1964,0
VMOT.US,D,20170518,000000,23.735,23.735,23.678,23.678,453,0
VMOT.US,D,20170519,000000,23.986,24.001,23.977,23.977,5155,0
VMOT.US,D,20170522,000000,24.024,24.034,23.989,24.034,1398,0
VMOT.US,D,20170523,000000,23.995,24.059,23.995,24.018,5369,0
VMOT.US,D,20170524,000000,24.014,24.014,23.938,23.977,1576,0
VMOT.US,D,20170525,000000,24.139,24.139,24.083,24.083,19207,0
VMOT.US,D,20170526,000000,24.014,24.054,23.926,24.054,10621,0
VMOT.US,D,20170530,000000,24.092,24.102,24.047,24.083,3650,0
VMOT.US,D,20170531,000000,24.121,24.121,23.967,24.044,1336,0
VMOT.US,D,20170601,000000,24.273,24.283,24.273,24.283,2198,0
VMOT.US,D,20170602,000000,24.349,24.523,24.349,24.513,39321,0
VMOT.US,D,20170605,000000,24.551,24.551,24.411,24.455,48996,0
VMOT.US,D,20170606,000000,24.369,24.405,24.318,24.339,13108,0
VMOT.US,D,20170607,000000,24.396,24.435,24.349,24.435,13594,0
VMOT.US,D,20170608,000000,24.405,24.523,24.405,24.503,10421,0
VMOT.US,D,20170609,000000,24.542,24.569,24.301,24.349,19081,0
VMOT.US,D,20170612,000000,24.31,24.31,24.206,24.216,2818,0
VMOT.US,D,20170613,000000,24.369,24.445,24.33,24.445,13155,0
VMOT.US,D,20170614,000000,24.301,24.429,24.273,24.273,8048,0
VMOT.US,D,20170615,000000,24.148,24.148,23.92,23.92,7658,0
VMOT.US,D,20170616,000000,24.044,24.044,23.995,24.024,4375,0
VMOT.US,D,20170619,000000,24.121,24.349,24.121,24.349,3963,0
VMOT.US,D,20170620,000000,24.255,24.278,24.129,24.158,15964,0
VMOT.US,D,20170621,000000,24.187,24.206,24.168,24.18,4941,0
VMOT.US,D,20170622,000000,24.024,24.245,24.024,24.216,4534,0
VMOT.US,D,20170623,000000,24.235,24.273,24.21,24.24,2266,0
VMOT.US,D,20170626,000000,24.349,24.369,24.249,24.287,11765,0
VMOT.US,D,20170627,000000,24.301,24.32,24.187,24.187,7071,0
VMOT.US,D,20170628,000000,24.226,24.359,24.226,24.359,14142,0
VMOT.US,D,20170629,000000,24.339,24.339,23.963,24.092,12638,0
VMOT.US,D,20170630,000000,24.044,24.187,24.044,24.168,22480,0
VMOT.US,D,20170703,000000,24.211,24.254,24.187,24.187,10530,0
VMOT.US,D,20170705,000000,24.206,24.216,24.119,24.168,3107,0
VMOT.US,D,20170706,000000,24.063,24.102,24.024,24.024,11955,0
VMOT.US,D,20170707,000000,24.083,24.129,24.078,24.129,4601,0
VMOT.US,D,20170710,000000,24.216,24.235,24.148,24.206,18964,0
VMOT.US,D,20170711,000000,24.206,24.245,24.177,24.245,8544,0
VMOT.US,D,20170712,000000,24.455,24.455,24.455,24.455,2606,0
VMOT.US,D,20170713,000000,24.542,24.589,24.474,24.589,24525,0
VMOT.US,D,20170714,000000,24.657,24.694,24.613,24.694,5340,0
VMOT.US,D,20170717,000000,24.685,24.703,24.676,24.676,9136,0
VMOT.US,D,20170718,000000,24.676,24.685,24.613,24.685,9482,0
VMOT.US,D,20170719,000000,24.838,24.905,24.812,24.876,9175,0
VMOT.US,D,20170720,000000,24.962,25.001,24.93,24.982,4270,0
VMOT.US,D,20170721,000000,24.972,24.972,24.786,24.868,11793,0
VMOT.US,D,20170724,000000,24.877,24.877,24.778,24.838,7270,0
VMOT.US,D,20170725,000000,24.887,24.953,24.887,24.933,1845,0
VMOT.US,D,20170726,000000,25.021,25.059,25.02,25.059,8139,0
VMOT.US,D,20170727,000000,25.088,25.105,24.925,24.982,14379,0
VMOT.US,D,20170728,000000,24.933,24.943,24.925,24.943,1054,0
VMOT.US,D,20170731,000000,25.021,25.04,24.915,25.001,20661,0
VMOT.US,D,20170801,000000,25.03,25.05,24.962,25.04,27378,0
VMOT.US,D,20170802,000000,25.105,25.105,24.915,25.011,29058,0
VMOT.US,D,20170803,000000,25.001,25.001,24.953,24.957,3076,0
VMOT.US,D,20170804,000000,24.972,25.001,24.943,25.001,10860,0
VMOT.US,D,20170807,000000,25.096,25.145,25.096,25.142,1285,0
VMOT.US,D,20170808,000000,25.194,25.213,25.074,25.096,15714,0
VMOT.US,D,20170809,000000,25.125,25.125,24.895,24.972,5618,0
VMOT.US,D,20170810,000000,24.752,24.752,24.467,24.475,9705,0
VMOT.US,D,20170811,000000,24.513,24.599,24.513,24.599,56745,0
VMOT.US,D,20170814,000000,24.814,24.858,24.814,24.848,5677,0
VMOT.US,D,20170815,000000,24.792,24.792,24.685,24.762,6108,0
VMOT.US,D,20170816,000000,24.925,24.958,24.894,24.925,8500,0
VMOT.US,D,20170817,000000,24.915,24.915,24.579,24.579,4426,0
VMOT.US,D,20170818,000000,24.532,24.676,24.532,24.63,6741,0
VMOT.US,D,20170821,000000,24.56,24.609,24.557,24.599,5647,0
VMOT.US,D,20170822,000000,24.703,24.905,24.703,24.81,7594,0
VMOT.US,D,20170823,000000,24.801,24.863,24.801,24.836,2936,0
VMOT.US,D,20170824,000000,24.953,24.982,24.811,24.833,6844,0
VMOT.US,D,20170825,000000,24.848,24.943,24.848,24.925,9389,0
VMOT.US,D,20170828,000000,24.887,24.887,24.801,24.811,865,0
VMOT.US,D,20170829,000000,24.801,24.847,24.733,24.847,11296,0
VMOT.US,D,20170830,000000,24.899,24.899,24.848,24.895,4535,0
VMOT.US,D,20170831,000000,24.972,25.203,24.972,25.19,6595,0
VMOT.US,D,20170901,000000,25.252,25.367,25.252,25.318,85770,0
VMOT.US,D,20170905,000000,25.318,25.318,25.068,25.15,47275,0
VMOT.US,D,20170906,000000,25.237,25.281,25.213,25.271,4034,0
VMOT.US,D,20170907,000000,25.318,25.424,25.318,25.404,7391,0
VMOT.US,D,20170908,000000,25.394,25.394,25.35,25.35,2298,0
VMOT.US,D,20170911,000000,25.557,25.625,25.551,25.568,8549,0
VMOT.US,D,20170912,000000,25.643,25.729,25.625,25.729,20037,0
VMOT.US,D,20170913,000000,25.702,25.702,25.662,25.692,10574,0
VMOT.US,D,20170914,000000,25.692,25.692,25.528,25.602,21529,0
VMOT.US,D,20170915,000000,25.711,25.711,25.625,25.702,19959,0
VMOT.US,D,20170918,000000,25.778,25.778,25.702,25.71,2214,0
VMOT.US,D,20170919,000000,25.777,25.827,25.753,25.827,22482,0
VMOT.US,D,20170920,000000,25.847,25.847,25.797,25.84,2033,0
VMOT.US,D,20170921,000000,25.837,25.837,25.634,25.662,22952,0
VMOT.US,D,20170922,000000,25.711,25.719,25.668,25.719,6053,0
VMOT.US,D,20170925,000000,25.629,25.697,25.629,25.65,8858,0
VMOT.US,D,20170926,000000,25.672,25.687,25.562,25.667,26754,0
VMOT.US,D,20170927,000000,25.715,25.88,25.706,25.871,10378,0
VMOT.US,D,20170928,000000,25.842,25.936,25.813,25.936,2979,0
VMOT.US,D,20170929,000000,26.013,26.12,26.013,26.097,10753,0
VMOT.US,D,20171002,000000,26.235,26.235,26.087,26.225,28218,0
VMOT.US,D,20171003,000000,26.265,26.274,26.205,26.274,31956,0
VMOT.US,D,20171004,000000,26.312,26.322,26.312,26.312,7686,0
VMOT.US,D,20171005,000000,26.312,26.332,26.293,26.319,14101,0
VMOT.US,D,20171006,000000,26.205,26.245,26.189,26.198,4179,0
VMOT.US,D,20171009,000000,26.139,26.196,26.134,26.139,3014,0
VMOT.US,D,20171010,000000,26.408,26.408,26.328,26.379,6787,0
VMOT.US,D,20171011,000000,26.417,26.466,26.399,26.437,14131,0
VMOT.US,D,20171012,000000,26.404,26.447,26.399,26.447,3400,0
VMOT.US,D,20171013,000000,26.527,26.555,26.527,26.544,3622,0
VMOT.US,D,20171016,000000,26.582,26.582,26.508,26.52,8560,0
VMOT.US,D,20171017,000000,26.562,26.562,26.494,26.504,2806,0
VMOT.US,D,20171018,000000,26.629,26.629,26.552,26.552,990,0
VMOT.US,D,20171019,000000,26.485,26.485,26.322,26.457,41476,0
VMOT.US,D,20171020,000000,26.602,26.638,26.597,26.606,11959,0
VMOT.US,D,20171023,000000,26.705,26.705,26.648,26.648,8972,0
VMOT.US,D,20171024,000000,26.715,26.725,26.62,26.705,7963,0
VMOT.US,D,20171025,000000,26.611,26.611,26.587,26.587,666,0
VMOT.US,D,20171026,000000,26.696,26.704,26.696,26.704,287,0
VMOT.US,D,20171027,000000,26.696,26.725,26.696,26.725,2673,0
VMOT.US,D,20171030,000000,26.705,26.715,26.62,26.715,10968,0
VMOT.US,D,20171031,000000,26.764,26.86,26.764,26.849,2078,0
VMOT.US,D,20171101,000000,26.97,27.025,26.918,26.918,5886,0
VMOT.US,D,20171102,000000,26.87,26.938,26.87,26.938,436,0
VMOT.US,D,20171103,000000,26.889,26.976,26.86,26.86,9278,0
VMOT.US,D,20171106,000000,26.85,27.035,26.85,27.011,3703,0
VMOT.US,D,20171107,000000,26.938,26.976,26.936,26.936,2824,0
VMOT.US,D,20171108,000000,27.015,27.059,27.015,27.059,965,0
VMOT.US,D,20171109,000000,26.86,26.889,26.725,26.801,11867,0
VMOT.US,D,20171110,000000,26.764,26.85,26.764,26.819,8587,0
VMOT.US,D,20171113,000000,26.725,26.82,26.725,26.817,16011,0
VMOT.US,D,20171114,000000,26.715,26.759,26.715,26.759,470,0
VMOT.US,D,20171115,000000,26.686,26.686,26.399,26.606,11485,0
VMOT.US,D,20171116,000000,26.638,26.638,26.638,26.638,612,0
VMOT.US,D,20171117,000000,27.1,27.144,27.061,27.129,10198,0
VMOT.US,D,20171120,000000,27.274,27.304,27.178,27.293,13906,0
VMOT.US,D,20171121,000000,27.504,27.504,27.49,27.495,1639,0
VMOT.US,D,20171122,000000,27.495,27.565,27.459,27.5,5187,0
VMOT.US,D,20171124,000000,27.631,27.631,27.618,27.621,5496,0
VMOT.US,D,20171127,000000,27.631,27.631,27.538,27.553,15069,0
VMOT.US,D,20171128,000000,27.523,27.533,27.523,27.533,429,0
VMOT.US,D,20171129,000000,27.67,27.67,27.573,27.573,1287,0
VMOT.US,D,20171130,000000,27.504,27.736,27.504,27.67,4790,0
VMOT.US,D,20171201,000000,27.421,27.447,27.351,27.428,2545,0
VMOT.US,D,20171204,000000,27.68,27.68,27.408,27.408,35610,0
VMOT.US,D,20171205,000000,27.342,27.371,27.244,27.245,3225,0
VMOT.US,D,20171206,000000,27.122,27.178,27.121,27.178,2649,0
VMOT.US,D,20171207,000000,27.386,27.418,27.379,27.418,6104,0
VMOT.US,D,20171208,000000,27.542,27.612,27.542,27.592,3638,0
VMOT.US,D,20171211,000000,27.592,27.641,27.481,27.481,31298,0
VMOT.US,D,20171212,000000,27.495,27.513,27.485,27.491,13404,0
VMOT.US,D,20171213,000000,27.542,27.542,27.542,27.542,140,0
VMOT.US,D,20171214,000000,27.582,27.582,27.356,27.408,11640,0
VMOT.US,D,20171215,000000,27.398,27.602,27.388,27.533,3471,0
VMOT.US,D,20171218,000000,27.774,28.004,27.774,28.004,4770,0
VMOT.US,D,20171219,000000,28.012,28.012,27.822,27.918,244644,0
VMOT.US,D,20171220,000000,28.072,28.072,27.884,27.966,8608,0
VMOT.US,D,20171221,000000,28.014,28.053,27.983,27.994,21223,0
VMOT.US,D,20171222,000000,27.966,27.994,27.931,27.985,1678,0
VMOT.US,D,20171226,000000,28.053,28.053,27.927,28.043,4618,0
VMOT.US,D,20171227,000000,28.102,28.112,28.032,28.032,74594,0
VMOT.US,D,20171228,000000,28.109,28.141,28.021,28.102,118277,0
VMOT.US,D,20171229,000000,28.15,28.15,28.018,28.018,32035,0
VMOT.US,D,20180102,000000,28.033,28.218,28.033,28.218,70834,0
VMOT.US,D,20180103,000000,28.44,28.449,28.383,28.42,11529,0
VMOT.US,D,20180104,000000,28.547,28.623,28.546,28.574,19562,0
VMOT.US,D,20180105,000000,28.721,28.789,28.701,28.76,9375,0
VMOT.US,D,20180108,000000,28.944,28.963,28.792,28.944,21713,0
VMOT.US,D,20180109,000000,29.079,29.079,28.873,28.991,35405,0
VMOT.US,D,20180110,000000,28.924,28.939,28.808,28.882,11684,0
VMOT.US,D,20180111,000000,28.976,29.126,28.976,29.126,32891,0
VMOT.US,D,20180112,000000,29.339,29.484,29.277,29.484,18133,0
VMOT.US,D,20180116,000000,29.658,29.717,29.329,29.427,59969,0
VMOT.US,D,20180117,000000,29.561,29.803,29.397,29.737,21508,0
VMOT.US,D,20180118,000000,29.736,29.736,29.559,29.685,17025,0
VMOT.US,D,20180119,000000,29.858,29.997,29.858,29.997,3548,0
VMOT.US,D,20180122,000000,29.968,30.161,29.852,30.161,28939,0
VMOT.US,D,20180123,000000,30.238,30.238,30.114,30.218,32379,0
VMOT.US,D,20180124,000000,30.344,30.344,29.978,30.008,20208,0
VMOT.US,D,20180125,000000,30.046,30.109,29.901,29.901,25146,0
VMOT.US,D,20180126,000000,30.171,30.218,30.171,30.218,20768,0
VMOT.US,D,20180129,000000,30.326,30.326,30.046,30.124,7608,0
VMOT.US,D,20180130,000000,29.938,29.938,29.6,29.669,28270,0
VMOT.US,D,20180131,000000,29.736,29.736,29.426,29.426,1612,0
VMOT.US,D,20180201,000000,29.585,29.735,29.552,29.592,10831,0
VMOT.US,D,20180202,000000,29.314,29.314,28.99,29.021,31206,0
VMOT.US,D,20180205,000000,29.001,29.001,27.697,27.851,93237,0
VMOT.US,D,20180206,000000,27.385,28.228,27.105,28.208,14698,0
VMOT.US,D,20180207,000000,28.295,28.392,28.104,28.104,5443,0
VMOT.US,D,20180208,000000,28.238,28.238,27.329,27.329,6198,0
VMOT.US,D,20180209,000000,27.385,27.385,26.672,27.068,12464,0
VMOT.US,D,20180212,000000,27.619,27.948,27.521,27.802,17369,0
VMOT.US,D,20180213,000000,27.802,27.926,27.682,27.926,11664,0
