<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRM.US,D,20200609,000000,3220,3910.4,3076.8,3832,204581.2625,0
VRM.US,D,20200610,000000,4116,4720,3600,3999.2,167514.05,0
VRM.US,D,20200611,000000,3476,3793.6,3324.8,3648,41714.45,0
VRM.US,D,20200612,000000,3780,3804,3329.6,3442.4,38186.825,0
VRM.US,D,20200615,000000,3240,3480,3200,3440,45072.9875,0
VRM.US,D,20200616,000000,3460,3527.2,3320,3368,17436.4625,0
VRM.US,D,20200617,000000,3364.8,3656,3328,3468.8,15586.25,0
VRM.US,D,20200618,000000,3402.4,3780.8,3402.4,3644.8,16055.1375,0
VRM.US,D,20200619,000000,3800,3908,3688.8,3800.8,23769.0125,0
VRM.US,D,20200622,000000,3848,4176.8,3779.48,4045.6,19119.825,0
VRM.US,D,20200623,000000,4080,4184,3806.66,4039.2,19888.875,0
VRM.US,D,20200624,000000,3927.2,4065.6,3764,3815.2,11418.9125,0
VRM.US,D,20200625,000000,3768,4631.2,3696,4603.2,25738.7875,0
VRM.US,D,20200626,000000,4451.2,4718.4,4244,4328,24184.3875,0
VRM.US,D,20200629,000000,4392,4480,4048,4400.8,12635.4625,0
VRM.US,D,20200630,000000,4324,4444,4049.6,4171.2,11799.125,0
VRM.US,D,20200701,000000,4196,4515.2,4165.91,4335.2,15029.9125,0
VRM.US,D,20200702,000000,4421.6,4559.2,4332.8,4344,7286.7625,0
VRM.US,D,20200706,000000,4519.2,4872.8,4456.8,4467.2,22273.5375,0
VRM.US,D,20200707,000000,4421.6,4466.4,4116,4169.6,11819.95,0
VRM.US,D,20200708,000000,4253.6,4284.4,4000,4019.2,15747.425,0
VRM.US,D,20200709,000000,4048,4155.2,3840,3916,10298.2875,0
VRM.US,D,20200710,000000,3918.4,4036.4,3880,3940.8,4884.7625,0
VRM.US,D,20200713,000000,4024,4160,3576.8,3595.2,19603.9875,0
VRM.US,D,20200714,000000,3556,3692.8,3457.2,3535.2,11120,0
VRM.US,D,20200715,000000,3626.4,3820.8,3552.8,3735.2,8853.5625,0
VRM.US,D,20200716,000000,3688.8,3725.46,3510.4,3523.2,11750.7125,0
VRM.US,D,20200717,000000,3584,3749.6,3577.2,3736,7477.5625,0
VRM.US,D,20200720,000000,3727.2,4008.8,3680,3973.6,10300.0125,0
VRM.US,D,20200721,000000,3983.2,4055.2,3784.8,3896.8,12590.05,0
VRM.US,D,20200722,000000,3888,3990,3879.6,3921.6,4347.2125,0
VRM.US,D,20200723,000000,3960,4108,3903.91,4017.6,6994.0125,0
VRM.US,D,20200724,000000,3848,4020,3797.6,3920,7028.6875,0
VRM.US,D,20200727,000000,3940,4079.2,3893.6,4052,5098.075,0
VRM.US,D,20200728,000000,4040,4238.4,4002.4,4022.4,10799.7,0
VRM.US,D,20200729,000000,4062.4,4445.6,4048,4400,12087.575,0
VRM.US,D,20200730,000000,4354.4,4583.2,4323.2,4497.6,9957.3125,0
VRM.US,D,20200731,000000,4552.8,4800,4470.4,4735.2,12985.9625,0
VRM.US,D,20200803,000000,4720.28,5000,4695.2,4753.6,11742.4125,0
VRM.US,D,20200804,000000,4708.8,4865.6,4640,4752.8,5831.3125,0
VRM.US,D,20200805,000000,4776,5131.2,4720,5068,15111.1125,0
VRM.US,D,20200806,000000,4991.2,5814.4,4920,5400.8,25959.7875,0
VRM.US,D,20200807,000000,5596,5680,5019.2,5117.6,16188.9,0
VRM.US,D,20200810,000000,5243.2,5351.98,5040.8,5120,9948.3875,0
VRM.US,D,20200811,000000,5118.4,5362.4,5081.6,5180.8,11316.125,0
VRM.US,D,20200812,000000,5266.4,5687.2,5179.2,5520.8,25296.3625,0
VRM.US,D,20200813,000000,4418.4,4904,4252,4509.6,85153.5625,0
VRM.US,D,20200814,000000,4440,4800,4402.4,4676,31350.6625,0
VRM.US,D,20200817,000000,4754.4,4759.2,4567.44,4665.6,9491.0625,0
VRM.US,D,20200818,000000,4686.4,4831.2,4640.01,4790.4,8400.55,0
VRM.US,D,20200819,000000,4826.4,4995.2,4688,4858.4,13016.1875,0
VRM.US,D,20200820,000000,4832,4880,4742.4,4788.8,5767.025,0
VRM.US,D,20200821,000000,4800,5065.6,4730.46,4970.4,9871.8125,0
VRM.US,D,20200824,000000,5022.4,5293.6,4985.6,5257.6,12187.7875,0
VRM.US,D,20200825,000000,5283.2,5318.4,5140.8,5228.8,7285.7875,0
VRM.US,D,20200826,000000,5364,5440,5211.2,5252.8,10517.325,0
VRM.US,D,20200827,000000,5275.2,5360,5192.01,5291.2,6318.9625,0
VRM.US,D,20200828,000000,5334.4,5398.8,5156.8,5200.8,7568.3625,0
VRM.US,D,20200831,000000,5222.4,5524,5162.4,5490.4,8441.9375,0
VRM.US,D,20200901,000000,5560.8,6039.2,5492.8,5909.6,12654.25,0
VRM.US,D,20200902,000000,5920,5952,5360,5509.6,16289.3,0
VRM.US,D,20200903,000000,5454.4,5465.6,4785.6,4838.4,15093.6,0
VRM.US,D,20200904,000000,4856.8,4941.6,4400.4,4643.2,15809.8,0
VRM.US,D,20200908,000000,4522.4,4800,4408.01,4498.4,10357.425,0
VRM.US,D,20200909,000000,4412.8,4808,4280,4576,24353.3875,0
VRM.US,D,20200910,000000,4621.6,4702.4,4324,4504.8,14745.3,0
VRM.US,D,20200911,000000,4440,4464,4060,4097.6,83587.175,0
VRM.US,D,20200914,000000,4188,4232,4038.4,4076.8,33730.6,0
VRM.US,D,20200915,000000,4132.8,4292.8,4132.8,4245.6,20677.675,0
VRM.US,D,20200916,000000,4223.2,4354.4,3968,4031.2,29113.825,0
VRM.US,D,20200917,000000,3988.8,4048,3750.4,3880,25882.2125,0
VRM.US,D,20200918,000000,3920,3960,3681.6,3735.2,52944.5625,0
VRM.US,D,20200921,000000,3660,3792.44,3526.4,3714.4,29112.6625,0
VRM.US,D,20200922,000000,4080.8,4393.6,3948,4260.8,85054.2625,0
VRM.US,D,20200923,000000,4298.4,4334.4,4088,4138.4,17881.45,0
VRM.US,D,20200924,000000,4032,4052,3784,3928.8,33353.5875,0
VRM.US,D,20200925,000000,3920,3995.2,3876.14,3962.4,25920.725,0
VRM.US,D,20200928,000000,4053.6,4091.2,3920,4069.6,11490.075,0
VRM.US,D,20200929,000000,4080,4179.2,4040,4156.8,9065.25,0
VRM.US,D,20200930,000000,4136,4244,4028.4,4142.4,19823.0875,0
VRM.US,D,20201001,000000,4171.2,4195.2,4040.9,4116,16514.45,0
VRM.US,D,20201002,000000,3932,4106.4,3900.81,4040.8,17952.5,0
VRM.US,D,20201005,000000,4099.2,4107.2,3983.2,4088,11214.25,0
VRM.US,D,20201006,000000,4040,4176,3921.6,3928,17480.725,0
VRM.US,D,20201007,000000,4002.4,4195.2,3929.6,4072.8,22545.7,0
VRM.US,D,20201008,000000,4099.2,4160.8,3969.6,3972,15357.025,0
VRM.US,D,20201009,000000,3989.6,4024,3940,3961.6,10347.6,0
VRM.US,D,20201012,000000,4009.6,4019.2,3760,3765.6,19700.6125,0
VRM.US,D,20201013,000000,3798.4,3849.59,3748.4,3784,20065.8875,0
VRM.US,D,20201014,000000,3856,3976,3846.4,3918.4,18693.775,0
VRM.US,D,20201015,000000,3804,3916,3752,3905.6,13624.65,0
VRM.US,D,20201016,000000,3944.8,4036,3870.4,3871.2,9752.45,0
VRM.US,D,20201019,000000,3952.8,4206.4,3922.4,3948.8,28708.0375,0
VRM.US,D,20201020,000000,3980,4051.2,3830.4,3988.8,19527.45,0
VRM.US,D,20201021,000000,4000,4140.79,3601.6,3616,26526.5625,0
VRM.US,D,20201022,000000,3640.8,3708.8,3544,3607.2,14291.1,0
VRM.US,D,20201023,000000,3692.8,3700,3550.4,3688,16050.025,0
VRM.US,D,20201026,000000,3629.6,3656.1,3336.8,3402.4,28884.725,0
VRM.US,D,20201027,000000,3394.4,3477.6,3304,3448,21707,0
